provnum	network	facname	phyaddr1	phyaddr2	phycity	phystate	phyzip	phonenum	shift	chainyn	chainnam	owntype	certdate	totstas	HD	PD	homehd	PURR_F	urrg65_f	URRG65_C	urrg65_u	urrg65_s	hctrd_f	hctg33_f	HCTG33_C	hctg33_u	hctg33_s	DATEURHT	PTSURV_F	PTSURV_C	ptsurvu1	ptsurvu2	ptsurvu3	ptsurvs1	ptsurvs2	ptsurvs3	DATESMR	CNTYNAME
012500	08	FMC CAPITOL CITY	255 S JACKSON STREET		MONTGOMERY	AL	36104	3342631028	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01SEP1976	34	Y	Y	N	70	86	001	92	92	90	97	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MONTGOMERY
012501	08	GADSDEN DIALYSIS	409 SOUTH FIRST STREET		GADSDEN	AL	35901	2565472457	N	Y	GAMBRO HEALTHCARE	1	01SEP1976	24	Y	N	N	83	93	001	92	92	97	94	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	ETOWAH
012502	08	TUSCALOOSA UNIVERSITY DIALYSIS	815 UNIVERSITY BLVD EAST		TUSCALOOSA	AL	35401	2057584775	N	Y	GAMBRO HEALTHCARE	1	21OCT1977	20	Y	Y	N	68	85	001	92	92	79	91	001	92	91	2005	3	001	100	4013	174	3	99	4	2002-2005	TUSCALOOSA
012505	08	PCD MONTGOMERY	1001 FOREST AVENUE		MONTGOMERY	AL	36106	3342699416	N	Y	DAVITA	1	14DEC1977	31	Y	Y	N	88	97	001	92	92	108	91	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MONTGOMERY
012506	08	DOTHAN DIALYSIS	1757 EAST MAIN STREET		DOTHAN	AL	36301	3347934077	N	Y	GAMBRO HEALTHCARE	1	28NOV1977	18	Y	Y	N	76	97	001	92	92	92	98	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	HOUSTON
012507	08	FMC MOBILE	2620 OLD SHELL RD		MOBILE	AL	36607	2514762762	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	04JAN1979	24	Y	N	N	89	88	001	92	92	89	91	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MOBILE
012508	08	BIRMINGHAM EAST DIALYSIS	1105 EAST PARK DRIVE		BIRMINGHAM	AL	35235	2058336003	N	Y	GAMBRO HEALTHCARE	1	28JUN1979	20	Y	N	N	64	84	001	92	92	63	94	001	92	91	2005	3	001	100	4013	174	3	99	4	2002-2005	JEFFERSON
012509	08	FMC NORTH ALABAMA	1311 N MEMORIAL PKWY #200		HUNTSVILLE	AL	35801	2565368571	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	16JUL1979	22	Y	Y	N	54	94	001	92	92	60	95	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MADISON
012512	08	FMC SELMA	905 MEDICAL CENTER PARKWAY		SELMA	AL	36701	3348749021	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	25AUG1980	26	Y	N	N	60	97	001	92	92	63	92	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	DALLAS
012513	08	FMC LANGDALE	8 MEDICAL PARK		VALLEY	AL	36854	3347564192	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	12FEB1981	10	Y	N	N	40	98	001	92	92	41	88	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	CHAMBERS
012515	08	FMC OPELIKA	2609 VILLAGE PROFESSIONAL DR	STE 2	OPELIKA	AL	36801	3347495085	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	07SEP1982	20	Y	Y	N	71	94	001	92	92	77	95	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	LEE
012516	08	NRI FMC NORWOOD	1424 NORTH CARRAWAY BLVD		BIRMINGHAM	AL	35234	2055025300	N	Y	NATIONAL RENAL INSTITUTES (NRI)	1	02DEC1982	20	Y	Y	Y	47	98	001	92	92	49	94	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	JEFFERSON
012517	08	ATHENS DIALYSIS	1005 WEST MARKET ST. STE 15		ATHENS	AL	35611	2562334730	N	Y	GAMBRO HEALTHCARE	1	21JAN1983	12	Y	N	N	50	84	001	92	92	53	94	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	LIMESTONE
012519	08	FMC SCOTTSBORO	901 JEFFERSON DRIVE		SCOTTSBORO	AL	35768	2562594777	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	05NOV1984	10	Y	N	N	30	97	001	92	92	34	97	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	JACKSON
012520	08	FMC TROY	606 BOTTS AVE		TROY	AL	36081	3345667266	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	19NOV1984	15	Y	N	N	36	94	001	92	92	38	97	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	PIKE
012521	08	DCI DOTHAN	1546 EAST MAIN STREET		DOTHAN	AL	36301	3347933519	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	11MAR1985	31	Y	Y	N	89	81	001	92	92	97	87	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	HOUSTON
012522	08	FMC HUNTSVILLE	2325 PANSY STREET STE C		HUNTSVILLE	AL	35801	2565361881	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	20AUG1985	32	Y	N	N	70	96	001	92	92	78	92	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MADISON
012523	08	PHENIX CITY DIALYSIS	1900 OPELIKA ROAD		PHENIX CITY	AL	36867	3342981941	N	Y	DAVITA	1	23SEP1985	20	Y	Y	N	48	90	001	92	92	62	98	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	RUSSELL
012524	08	FMC EAST MOBILE	1653 SPRINGHILL AVENUE		MOBILE	AL	36604	2514326854	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01DEC1985	17	Y	Y	Y	65	91	001	92	92	95	87	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MOBILE
012525	08	FMC WEST MOBILE	6601 WALL STREET SUITE A		MOBILE	AL	36695	2516332681	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	02DEC1985	20	Y	N	N	62	97	001	92	92	65	98	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MOBILE
012526	08	FMC BIRMINGHAM	708 COTTON AVE SW		BIRMINGHAM	AL	35211	2057853500	N	Y	RENAL CARE GROUP INC.	1	18SEP1985	34	Y	Y	Y	76	96	001	92	92	88	83	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	JEFFERSON
012527	08	DCI ENTERPRISE	502 PLAZA DRIVE		ENTERPRISE	AL	36330	3343478233	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	04JUL1986	16	Y	N	N	63	92	001	92	92	64	89	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	COFFEE
012528	08	FMC CAHABA VALLEY	120 CAHABA VALLEY PARKWAY SUITE 150		PELHAM	AL	35124	2059880469	N	Y	RENAL CARE GROUP INC.	1	17SEP1986	24	Y	N	N	50	96	001	92	92	55	76	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	SHELBY
012529	08	FLORENCE DIALYSIS	216 MARENGO	SUITE I	FLORENCE	AL	35630	2567645050	N	Y	GAMBRO HEALTHCARE	1	16SEP1986	14	Y	N	N	45	80	001	92	92	53	94	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	LAUDERDALE
