provnum	network	facname	phyaddr1	phyaddr2	phycity	phystate	phyzip	phonenum	shift	chainyn	chainnam	owntype	certdate	totstas	HD	PD	homehd	PURR_F	urrg65_f	URRG65_C	urrg65_u	urrg65_s	hgbrd_f	Hgbl10_f	Hgbl10_c	Hgbg12_f	Hgbg12_c	hgbl10_u	hgbl10_s	hgbg12_u	hgbg12_s	dateurhg	PTSURV_F	PTSURV_C	ptsurvu1	ptsurvu2	ptsurvu3	ptsurvs1	ptsurvs2	ptsurvs3	DATESMR	CNTYNAME
012500	08	FMC CAPITOL CITY	255 S JACKSON STREET		MONTGOMERY	AL	36104	3342631028	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01SEP1976	34	Y	Y	Y		97	001	97	96		1	001	6	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MONTGOMERY
012501	08	GADSDEN DIALYSIS	409 SOUTH FIRST STREET		GADSDEN	AL	35901	2565472457	N	Y	GAMBRO HEALTHCARE	1	01SEP1976	24	Y	N	N		91	001	97	96		2	001	1	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	ETOWAH
012502	08	TUSCALOOSA UNIVERSITY DIALYSIS	220 15TH STREET		TUSCALOOSA	AL	35401	2053456004	N	Y	GAMBRO HEALTHCARE	1	21OCT1977	24	Y	Y	N		93	001	97	96		5	001	0	001	3	4	11	8	2010	3	001	437	4174	552	2	92	21	2007-2010	TUSCALOOSA
012505	08	PCD MONTGOMERY	1001 FOREST AVENUE		MONTGOMERY	AL	36106	3342699416	N	Y	DAVITA	1	14DEC1977	31	Y	Y	Y		98	001	97	96		2	001	9	001	3	4	11	8	2010	3	001	437	4174	552	2	92	21	2007-2010	MONTGOMERY
012506	08	DOTHAN DIALYSIS	216 GRACELAND DR.		DOTHAN	AL	36305	3347934077	N	Y	GAMBRO HEALTHCARE	1	28NOV1977	27	Y	Y	Y		96	001	97	96		6	001	5	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	HOUSTON
012507	08	FMC MOBILE	2620 OLD SHELL RD		MOBILE	AL	36607	2514762762	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	04JAN1979	24	Y	N	N		100	001	97	96		7	001	3	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MOBILE
012508	08	BIRMINGHAM EAST DIALYSIS	1105 EAST PARK DRIVE		BIRMINGHAM	AL	35235	2058336003	N	Y	GAMBRO HEALTHCARE	1	28JUN1979	20	Y	N	N		98	001	97	96		10	001	2	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	JEFFERSON
012509	08	FMC NORTH ALABAMA	1311 N MEMORIAL PKWY #200		HUNTSVILLE	AL	35801	2565368571	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	16JUL1979	22	Y	Y	N		100	001	97	96		3	001	5	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MADISON
012512	08	FMC SELMA	905 MEDICAL CENTER PARKWAY		SELMA	AL	36701	3348749021	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	25AUG1980	26	Y	N	N		100	001	97	96		4	001	4	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	DALLAS
012513	08	FMC LANGDALE	8 MEDICAL PARK		VALLEY	AL	36854	3347564192	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	12FEB1981	12	Y	N	N		100	001	97	96		4	001	12	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	CHAMBERS
