"Provider Number","Network","Facility Name","Address Line 1","Address Line 2","City","STATE","Zip","County","Phone Number","Profit or Non-Profit?","Chain Owned?","Chain Organization","Late Shift?","# of Dialysis Stations","Offers In-Center Hemodialysis","Offers In-Cener Peritoneal Dialysis","Offers Home Hemodialysis Training","Certification Date","Claims Date","Mineral and Bone Disorder Date","STrR Date","Percentage of Medicare patients with Hgb<10 g/dL","Hgb <10 Data Availability Code","Percentage of Medicare patients with Hgb>12 g/dL","Hgb >12 Data Availability Code","Number of dialysis patients with Hgb data","Lists the facility’s Standardized Transfusion Ratio (FACILITY)","Lists the upper confident limit (97.5%) for Standardized Transfusion Ratio (STRr)","Lists the lower confident limit (2.5%) for Standardized Transfusion Ratio (STRr)","Patient Transfusion data availability Code","Patient transfusion category text","Lists the number of patients included in the facility’s transfusion summary (FACILITY)","Percentage of HD patients with URR>=65%","URR Data Availability Code","Percent of Adult HD patients with Kt/V >= 1.2","Adult HD Kt/V Data Availability Code","Percentage of Adult PD PTS with Kt/V >= 1.7","Adult PD Kt/V Data Availability Code","Percentage of Pediatric HD patients with Kt/V >= 1.2","Pediatric HD Kt/V Data Availability Code","Lists the number of heomodialysis patients included in the URR greater than or equal 65 percent summary (FACILITY)","Number of Adult HD patients with Kt/V data","Number of Adult HD patient-months with Kt/V data","Number of Adult PD patients with Kt/V data","Number of Adult PD patient-months with Kt/V data","Number of Pediatric HD patients with Kt/V data","Number of Pediatric HD patient-months with Kt/V data","Percentage of patients with arteriovenous fistulae in place","Arteriovenous fistulae in place Data Availability Code","Percentage of patients with vascular catheter in use for 90 days or longer","Vascular catheter Data Availability Code","Number of Adult patients included in arterial venous fistula and catheter summaries","Number of Adult patient-months included in arterial venous fistula and catheter summaries","Hypercalcemia Data Availability Code","Lists the number of patients included in the facility’s hypercalcemia summary (FACILITY)","Lists the number of patient-months included in the facility’s hypercalcemia summary (FACILITY)","Lists the percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL) (FACILITY)","Lists the number of patients included in the facility’s serum phosphorus summary (FACILITY)","Lists the number of patient-months included in the facility’s serum phosphorus summary (FACILITY)","Serum phosphorus Data Availability Code","Lists the percentage of Adult patients with serum phosphorus less than 3.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL (FACILITY)","SMR Date","SHR Date","SHR: Upper Confidence Limit (95%)","SMR: Upper Confidence Limit (95%)","SHR: Lower Confidence Limit (5%)","SMR: Lower Confidence Limit (5%)","Patient hospitalization category text","Patient hospitalization Data Availability Code","Patient survival category text","Patient survival Data Availability Code","Number of patients included in hospitalization summary","Number of patients included in survival summary","Standardized Hospitalization Ratio","Standardized Mortality Ratio"
"012500","08","FMC CAPITOL CITY","255 S JACKSON STREET","","MONTGOMERY","AL","36104","MONTGOMERY","(334) 263-1028","Profit","Yes","FRESENIUS MEDICAL CARE","0","34","1","1","1","1976-09-01 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","9","001","0","001","80","1.01","1.97","0.56","001","As Expected","103","98","001","83","001","78","001","","254","66","104","802","19","181","0","0","50","001","10","001","105","848","001","109","873","1","113","901","001","9","29","27","23","11","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.24","1.36","0.43","0.88","As Expected","001","As Expected","001","121","637","0.71","1.1"
"012501","08","GADSDEN DIALYSIS","409 SOUTH FIRST STREET","","GADSDEN","AL","35901","ETOWAH","(256) 547-2457","Profit","Yes","GAMBRO HEALTHCARE","0","24","1","0","0","1976-09-01 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","8","001","0","001","62","1.54","2.6","0.96","001","As Expected","102","100","001","95","001","","257","","254","67","87","708","0","0","0","0","70","001","7","001","89","751","001","72","584","1","72","589","001","12","30","47","7","4","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.99","1.37","0.87","0.93","As Expected","001","As Expected","001","112","554","1.29","1.14"
"012502","08","TUSCALOOSA UNIVERSITY DIALYSIS","220 15TH STREET","","TUSCALOOSA","AL","35401","TUSCALOOSA","(205) 345-6004","Profit","Yes","GAMBRO HEALTHCARE","0","24","1","1","0","1977-10-21 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","4","001","0","001","79","0.64","1.58","0.28","001","As Expected","98","100","001","95","001","","199","","199","80","114","937","7","52","1","7","46","001","4","001","122","996","001","94","683","0","99","697","001","12","28","41","10","8","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.94","2.11","0.79","1.37","As Expected","001","Worse than Expected","001","110","536","1.21","1.71"
"012505","08","PCD MONTGOMERY","1001 FOREST AVENUE","","MONTGOMERY","AL","36106","MONTGOMERY","(334) 269-9416","Profit","Yes","DAVITA","0","31","1","1","1","1977-12-14 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","11","001","1","001","85","0.99","1.83","0.57","001","As Expected","122","100","001","95","001","96","001","","254","75","116","869","27","208","0","0","51","001","4","001","121","939","001","129","994","1","134","1026","001","12","35","39","7","8","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.49","1.53","0.63","1.02","As Expected","001","Worse than Expected","001","135","657","0.95","1.26"
"012506","08","DOTHAN DIALYSIS","216 GRACELAND DR.","","DOTHAN","AL","36305","HOUSTON","(334) 793-4077","Profit","Yes","GAMBRO HEALTHCARE","0","27","1","1","1","1977-11-28 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","14","001","0","001","77","0.82","1.64","0.44","001","As Expected","105","97","001","87","001","93","001","","254","61","99","698","34","292","0","0","56","001","4","001","109","771","001","100","783","1","103","819","001","7","29","39","15","10","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.27","1.15","0.46","0.73","As Expected","001","As Expected","001","118","643","0.74","0.93"
"012507","08","FMC MOBILE","2620 OLD SHELL RD","","MOBILE","AL","36607","MOBILE","(251) 476-2762","Profit","Yes","FRESENIUS MEDICAL CARE","0","24","1","0","0","1979-01-04 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","6","001","0","001","67","0.82","1.88","0.38","001","As Expected","88","100","001","87","001","","257","","254","70","126","801","0","0","0","0","48","001","6","001","129","843","001","101","746","5","102","764","001","15","25","24","24","12","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.62","1.29","0.66","0.76","As Expected","001","As Expected","001","99","539","1.01","1"
"012508","08","BIRMINGHAM EAST DIALYSIS","1105 EAST PARK DRIVE","","BIRMINGHAM","AL","35235","JEFFERSON","(205) 833-6003","Profit","Yes","GAMBRO HEALTHCARE","0","20","1","0","0","1979-06-28 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","30","001","0","001","60","0.63","1.66","0.26","001","As Expected","84","100","001","93","001","","257","","254","62","82","626","0","0","0","0","46","001","9","001","85","667","001","70","548","1","71","566","001","9","29","46","10","7","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.6","1.76","0.61","1.08","As Expected","001","Worse than Expected","001","93","500","0.97","1.39"
"012509","08","FMC NORTH ALABAMA","1311 N MEMORIAL PKWY #200","","HUNTSVILLE","AL","35801","MADISON","(256) 536-8571","Profit","Yes","FRESENIUS MEDICAL CARE","0","22","1","1","0","1979-07-16 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","9","001","0","001","79","1.41","2.49","0.85","001","As Expected","119","87","001","77","001","82","001","","254","63","99","664","41","260","0","0","63","001","5","001","109","771","001","95","680","8","103","727","001","12","27","28","24","8","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.75","1.33","0.71","0.84","As Expected","001","As Expected","001","130","586","1.09","1.06"
"012512","08","FMC SELMA","905 MEDICAL CENTER PARKWAY","","SELMA","AL","36701","DALLAS","(334) 874-9021","Profit","Yes","FRESENIUS MEDICAL CARE","0","26","1","0","0","1980-08-25 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","2","001","0","001","47","1.05","2.32","0.51","001","As Expected","52","98","001","90","001","","199","","254","47","76","567","3","15","0","0","43","001","12","001","78","607","001","61","481","17","64","511","001","17","26","24","22","11","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.68","1.24","0.6","0.63","As Expected","001","As Expected","001","60","278","0.98","0.9"
"012513","08","FMC LANGDALE","8 MEDICAL PARK","","VALLEY","AL","36854","CHAMBERS","(334) 756-4192","Profit","Yes","FRESENIUS MEDICAL CARE","0","19","1","0","0","1981-02-12 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","2","001","0","001","46","1.15","2.42","0.59","001","As Expected","66","100","001","85","001","","257","","254","55","68","623","0","0","0","0","88","001","3","001","71","626","001","57","450","15","59","472","001","8","27","26","26","13","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.19","1.23","0.32","0.61","As Expected","001","As Expected","001","66","280","0.6","0.88"
