"STATE","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Lists the number of facilities in the State with patient transfusions categorized as ""Better than expected""","Lists the number of facilities in the State with patient transfusions categorized as ""As expected""","Lists the number of facilities in the State with patient transfusions categorized as ""Worse than expected""","Percent of HD patients with URR>=65%","Percentage of Adult HD patients with Kt/V >=1.2","Percentage of Adult PD PTS with Kt/V >=1.7","Percentage of Pediatric HD patients with Kt/V >=1.2","Percentage of patients with arteriovenous fistulae in place","Percentage of patients with vascular catheter in use for 90 days or longer","Lists the percentage of Adult patients with Hypercalcemia (serum calcium greater than 10.2 mg/dL)","Lists the percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Lists the percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected","Hospitalizations - As expected","Hospitalizations - Worse than expected","Survival - Better than expected","Survival - As expected","Survival - Worse than expected"
"AL","11","0","0","130","5","99","90","81","73","57","7","3","10","27","32","19","11","4","139","1","10","120","10"
"AK","10","0","0","6","0","100","86","75","96","70","12","2","11","25","26","23","15","0","8","0","1","7","0"
"AZ","9","0","1","104","2","99","89","84","81","71","9","2","10","29","32","19","10","1","99","13","10","95","8"
"AR","19","0","0","42","14","98","91","84","100","58","15","2","10","26","30","20","13","1","60","2","0","58","4"
"CA","10","0","6","482","24","99","90","80","89","65","11","2","11","30","33","17","9","11","486","40","69","429","41"
"CO","14","1","0","61","1","99","87","82","84","74","8","1","12","32","31","17","8","2","63","3","17","46","2"
"CT","12","1","2","39","1","99","93","86","81","65","10","1","12","30","33","17","8","0","41","1","7","34","1"
"DE","10","0","0","20","0","98","83","80","6","62","10","2","11","27","28","23","11","0","20","0","1","20","0"
"DC","15","0","0","17","0","99","91","88","81","59","9","2","13","30","31","17","8","0","19","0","6","13","2"
"FL","12","0","0","276","58","99","89","82","75","62","11","2","11","29","34","17","10","1","321","33","16","279","54"
"GA","13","0","0","270","12","99","89","79","80","59","9","2","12","28","32","18","10","1","291","2","14","257","17"
"HI","10","0","0","22","0","99","91","86","0","64","9","2","8","26","28","25","13","1","22","0","7","15","1"
"ID","14","0","1","21","0","99","89","85","","70","9","1","11","30","32","18","9","1","24","0","1","21","2"
"IL","14","0","2","200","12","99","88","82","79","61","13","3","10","28","31","20","10","0","225","11","30","191","14"
"IN","14","0","0","120","4","99","89","82","84","59","14","2","11","29","30","19","10","0","138","2","8","123","7"
"IA","11","0","0","43","3","99","92","82","88","65","13","2","11","30","30","18","10","0","61","0","1","58","3"
"KS","12","0","0","42","0","99","88","82","81","68","9","2","10","29","34","17","10","2","45","0","2","40","4"
"KY","12","0","0","86","11","99","89","80","100","65","9","2","10","27","30","20","13","0","97","6","4","88","12"
"LA","10","0","0","122","18","98","89","80","92","59","10","2","10","27","29","22","12","0","148","3","4","130","18"
"ME","12","1","1","14","0","99","89","80","0","69","13","3","9","27","29","23","12","0","16","0","6","10","0"
"MD","15","0","0","116","2","99","91","83","100","58","12","2","11","30","33","16","9","0","120","6","10","89","22"
"MA","14","0","0","58","4","99","90","78","72","64","13","3","9","27","31","22","11","0","66","2","18","49","2"
"MI","13","0","0","161","9","99","88","77","86","60","11","3","10","30","33","18","9","0","163","20","11","160","11"
"MN","17","0","0","83","4","99","89","86","43","66","12","2","10","30","34","18","9","0","91","5","6","90","2"
"MS","21","0","0","66","8","99","90","73","74","64","9","5","12","28","28","21","11","6","69","1","5","58","11"
"MO","13","0","0","112","6","99","88","79","49","62","11","2","10","28","31","20","11","0","132","9","7","114","13"
"MT","8","0","0","11","0","98","90","61","","68","18","3","8","24","25","26","17","0","12","0","4","8","0"
"NE","10","0","0","28","1","97","90","61","75","62","15","2","9","30","33","19","9","0","34","1","3","31","0"
"NV","12","1","0","39","3","99","84","87","9","67","9","1","11","31","35","15","8","0","43","1","1","37","3"
"NH","15","0","0","13","1","98","88","88","","72","13","5","8","26","28","24","14","0","14","0","0","14","0"
"NJ","11","0","1","122","4","99","89","80","86","64","12","3","12","29","30","19","9","0","130","1","11","112","9"
