"STATE","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Lists the number of facilities in the State with patient transfusions categorized as ""Better than expected""","Lists the number of facilities in the State with patient transfusions categorized as ""As expected""","Lists the number of facilities in the State with patient transfusions categorized as ""Worse than expected""","Percentage of Adult HD patients with Kt/V >=1.2","Percentage of Adult PD PTS with Kt/V >=1.7","Percentage of Pediatric HD patients with Kt/V >=1.2","Percentage of patients with arteriovenous fistulae in place","Percentage of patients with vascular catheter in use for 90 days or longer","Lists the percentage of Adult patients with Hypercalcemia (serum calcium greater than 10.2 mg/dL)","Lists the percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Lists the percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected","Hospitalizations - As expected","Hospitalizations - Worse than expected","Survival - Better than expected","Survival - As expected","Survival - Worse than expected"
"AK","11","1","0","6","0","89","74","100","71","11","2","11","25","25","23","16","0","8","0","1","7","0"
"AL","12","0","0","130","5","91","84","76","58","7","3","10","27","32","20","11","4","139","1","10","120","10"
"AR","18","0","0","42","14","93","86","100","58","15","2","10","26","31","20","13","1","59","2","0","58","4"
"AS","","","1","0","0","67","","","72","0","5","2","19","31","30","17","1","0","0","0","0","1"
"AZ","10","0","1","103","2","91","85","85","72","9","2","10","29","31","19","11","1","98","13","10","94","8"
"CA","10","0","6","482","24","92","81","89","65","10","2","11","30","33","17","9","11","486","40","69","429","41"
"CO","14","1","0","61","1","91","84","89","74","8","1","12","32","31","17","8","2","63","3","17","46","2"
"CT","12","1","2","39","1","95","88","95","65","10","1","11","30","33","18","8","0","41","1","7","34","1"
"DC","16","0","0","17","0","92","89","84","59","9","2","13","30","31","17","8","0","19","0","6","13","2"
"DE","11","0","0","20","0","86","82","13","63","9","2","11","27","28","23","11","0","21","0","1","20","1"
"FL","12","0","0","275","58","92","84","82","62","11","2","11","28","33","18","10","1","320","32","16","277","54"
"GA","13","0","0","270","12","91","81","81","60","8","2","11","28","31","19","11","1","291","2","14","257","17"
"GU","15","0","0","4","0","61","69","33","67","9","1","8","19","24","28","21","3","1","0","0","0","4"
"HI","10","0","0","22","0","93","84","0","65","9","2","8","26","28","25","13","1","22","0","7","15","1"
"IA","11","0","0","43","3","94","81","78","66","13","2","11","30","30","18","10","0","61","0","1","58","3"
"ID","13","0","1","20","0","92","87","","71","9","1","10","31","33","17","9","1","23","0","1","20","2"
"IL","15","0","2","200","12","91","82","90","61","13","3","10","28","31","20","10","0","225","11","30","191","14"
"IN","14","0","0","120","4","91","82","94","60","13","2","11","29","30","19","11","0","138","2","8","123","7"
"KS","13","0","0","42","0","91","84","77","69","8","2","10","29","33","17","10","2","45","0","2","40","4"
"KY","14","0","0","86","11","91","81","80","65","9","2","10","27","30","21","13","0","97","6","4","88","12"
"LA","10","0","0","121","18","90","79","93","60","10","2","10","26","29","22","12","0","147","3","4","129","18"
"MA","15","0","0","58","4","92","78","82","65","12","3","9","27","31","21","11","0","66","2","18","49","2"
