"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Lists the number of facilities in the state with patient transfusions categorized as ""Better than expected""","Lists the number of facilities in the state with patient transfusions categorized as ""As expected""","Lists the number of facilities in the state with patient transfusions categorized as ""Worse than expected""","Percentage of adult HD patients with Kt/V >=1.2","Percentage of adult PD PTS with Kt/V >=1.7","Percentage of pediatric HD patients with Kt/V >=1.2","Percentage of patients with arteriovenous fistulae in place","Percentage of patients with vascular catheter in use for 90 days or longer","Lists the percentage of adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Lists the percentage of adult patients with serum phosphorus less than 3.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 3.5-4.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 4.6-5.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 5.6-7.0 mg/dL","Lists the percentage of adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected","Hospitalizations - As expected","Hospitalizations - Worse than expected","Number of facilities in the state with patient hospital readmissions categorized as "Better than expected"","Number of facilities in the state with patient hospital readmissions categorized as "As expected"","Number of facilities in the state with patient hospital readmissions categorized as "Worse than expected"","Survival - Better than expected","Survival - As expected","Survival - Worse than expected"
"AK","11","0","0","6","0","91","76","100","72","10","2","10","26","25","23","16","0","8","0","2","6","0","1","7","0"
"AL","14","0","0","130","5","91","86","81","58","7","3","10","26","31","21","13","4","139","1","5","136","4","10","120","10"
"AR","19","0","0","42","14","93","86","100","59","14","2","10","25","32","20","13","1","59","2","0","59","3","0","58","4"
"AS","","","1","0","0","71","","","80","0","8","5","21","29","32","13","1","0","0","0","1","0","0","0","1"
"AZ","12","0","1","103","2","92","86","84","72","9","2","10","28","30","20","11","1","98","13","1","108","4","10","94","8"
"CA","11","0","6","482","23","92","81","85","66","10","2","10","29","33","18","10","11","486","38","7","515","21","69","427","41"
"CO","15","0","0","61","1","91","86","86","75","8","1","12","31","31","18","9","2","62","3","4","59","1","17","45","2"
"CT","14","1","2","39","1","95","88","93","65","10","1","10","28","33","20","9","0","41","1","1","39","2","7","34","1"
"DC","18","0","0","17","0","93","89","91","60","9","3","12","29","30","18","10","0","19","0","0","17","4","6","13","2"
"DE","13","0","0","20","0","87","81","10","64","8","2","10","27","28","23","12","0","21","0","1","21","0","1","20","1"
"FL","14","0","0","274","58","92","86","80","62","11","2","10","28","33","19","11","1","319","32","4","320","32","16","277","53"
"GA","14","0","0","268","12","92","84","75","62","8","2","10","27","31","20","12","1","288","2","6","274","8","14","254","17"
