"STATE","Lower box percent of patients-nephrologists' communication and caring","Middle box percent of patients-nephrologists' communication and caring","Top box percent of patients-nephrologists' communication and caring","Linearized score of nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations ","Middle box percent of patients- quality of dialysis center care and operations","Top box percent of patients- quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Lower box percent of patients- providing information to patients","Top box percent of patients- providing information to patients","Linearized score of providing information to patients","Lower box percent of patients- rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff ","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","ICH-CAHPS survey response rate"
"AK",13,13,74,86,17,19,64,81,17,83,83,11,24,65,87,10,30,60,86,9,24,67,88,242,37
"AL",18,14,68,82,20,18,62,79,19,81,81,13,26,61,85,13,26,61,85,12,21,67,87,4285,33
"AR",18,14,68,82,20,19,61,78,17,83,83,13,26,61,85,13,28,59,84,13,23,64,86,1939,34
"AS",,,,,,,,,,,,,,,,,,,,,,,,,0
"AZ",22,15,63,78,21,19,60,78,20,80,80,18,26,56,82,14,25,61,85,13,21,66,86,3796,29
"CA",17,14,69,82,16,19,65,81,18,82,82,12,26,62,86,9,24,67,88,9,19,72,89,26815,29
"CO",14,13,73,85,15,20,65,82,16,84,84,11,22,67,86,9,22,69,88,9,17,74,89,1721,30
"CT",17,16,67,82,17,19,64,81,18,82,82,14,27,59,85,10,26,64,87,11,21,68,87,1493,28
"DC",19,14,67,81,25,19,56,75,23,77,77,15,29,56,83,17,34,49,81,19,27,54,82,632,25
"DE",22,16,62,78,21,21,58,77,23,77,77,17,28,55,82,15,30,55,83,15,24,61,84,579,27
"FL",18,14,68,81,17,19,64,81,19,81,81,13,25,62,85,11,24,65,86,12,19,69,87,11382,29
"GA",19,13,68,81,21,18,61,78,21,79,79,13,27,60,85,14,27,59,84,13,22,65,86,8262,30
"GU",40,17,43,62,26,20,54,75,28,72,72,37,33,30,68,17,31,52,81,16,29,55,82,357,30
"HI",16,12,72,84,16,19,65,82,20,80,80,11,24,65,87,9,22,69,88,8,17,75,90,1669,31
"IA",17,15,68,82,15,20,65,82,16,84,84,14,25,61,85,10,23,67,87,10,18,72,89,1234,40
"ID",13,15,72,85,12,18,70,85,16,84,84,9,23,68,88,7,19,74,90,4,19,77,91,531,35
"IL",18,15,67,81,18,18,64,80,20,80,80,14,27,59,84,11,27,62,86,11,21,68,87,7196,29
"IN",19,16,65,80,17,20,63,81,17,83,83,15,25,60,84,11,25,64,86,11,20,69,87,4012,34
"KS",15,14,71,84,15,19,66,82,16,84,84,11,21,68,87,11,20,69,88,11,16,73,89,1349,35
"KY",16,14,70,83,15,19,66,82,17,83,83,13,23,64,86,10,21,69,88,9,18,73,89,2320,31
"LA",17,12,71,83,19,17,64,80,20,80,80,12,26,62,86,12,26,62,85,12,20,68,87,3903,30
"MA",15,15,70,83,17,19,64,81,20,80,80,12,24,64,86,10,24,66,87,10,19,71,89,2518,29
"MD",18,14,68,81,19,21,60,79,21,79,79,14,27,59,84,13,28,59,84,12,24,64,86,3939,28
"ME",13,16,71,85,14,18,68,84,15,85,85,10,25,65,87,6,21,73,90,5,18,77,91,531,38
"MI",17,15,68,82,17,19,64,81,19,81,81,14,26,60,84,11,25,64,86,12,20,68,87,5688,31
"MN",14,16,70,84,15,20,65,82,15,85,85,13,26,61,85,10,22,68,88,9,17,74,89,1843,32
"MO",17,14,69,82,17,20,63,81,18,82,82,13,26,61,85,12,24,64,86,11,20,69,88,3133,31
"MP",23,15,62,77,22,15,63,80,24,76,76,13,25,62,83,11,26,63,87,6,21,73,91,90,30
"MS",22,12,66,79,23,17,60,77,22,78,78,16,26,58,83,16,26,58,83,15,21,64,85,2722,28
"MT",17,14,69,82,15,19,66,82,17,83,83,13,24,63,85,10,23,67,87,10,17,73,88,299,33
"NC",20,15,65,80,22,19,59,77,20,80,80,15,28,57,83,14,29,57,84,14,23,63,85,7317,31
"ND",17,17,66,81,11,20,69,85,17,83,83,16,26,58,83,5,21,74,91,5,13,82,93,285,32
"NE",15,17,68,83,14,19,67,83,17,83,83,14,29,57,84,9,24,67,87,9,19,72,89,735,38
"NH",18,19,63,80,16,20,64,81,17,83,83,15,32,53,83,10,26,64,86,12,18,70,87,465,36
"NJ",17,14,69,83,16,19,65,81,19,81,81,12,26,62,86,10,24,66,87,9,20,71,89,5236,27
"NM",25,16,59,75,23,18,59,76,21,79,79,23,25,52,78,17,23,60,83,16,19,65,85,1382,30
"NV",24,15,61,76,17,17,66,81,19,81,81,21,28,51,79,10,23,67,87,12,19,69,87,1750,26
"NY",19,15,66,80,19,19,62,79,23,77,77,15,28,57,83,12,28,60,85,12,24,64,86,11294,29
"OH",16,15,69,82,16,19,65,82,17,83,83,13,25,62,85,10,23,67,87,10,19,71,88,6570,31
"OK",17,15,68,82,17,20,63,80,18,82,82,13,24,63,85,12,25,63,86,11,20,69,87,1957,29
"OR",16,15,69,83,15,19,66,82,17,83,83,12,22,66,86,9,23,68,88,9,17,74,89,1953,34
"PA",17,15,68,82,16,19,65,81,18,82,82,13,27,60,84,10,24,66,87,11,19,70,88,7317,32
"PR",18,16,66,81,18,20,62,79,15,85,85,15,24,61,84,13,21,66,86,14,18,68,87,2910,34
"RI",11,17,72,86,11,18,71,86,18,82,82,7,26,67,89,4,21,75,91,5,15,80,92,453,30
"SC",20,13,67,81,21,18,61,78,20,80,80,14,27,59,84,13,28,59,84,13,22,65,86,4194,32
"SD",14,13,73,85,14,18,68,83,20,80,80,9,23,68,88,7,22,71,89,5,14,81,93,188,21
"TN",20,15,65,79,18,18,64,81,18,82,82,16,27,57,83,11,26,63,86,11,20,69,88,4596,33
"TX",17,14,69,82,19,18,63,80,20,80,80,13,25,62,85,12,25,63,86,12,19,69,87,19245,28
"UT",18,16,66,81,12,17,71,85,17,83,83,16,24,60,84,7,18,75,90,6,13,81,92,734,30
"VA",20,15,65,80,19,19,62,80,19,81,81,15,29,56,83,12,27,61,85,12,22,66,87,5133,31
"VI",27,13,60,75,17,12,71,83,27,73,73,32,28,40,76,13,30,57,82,15,25,60,83,25,16
"VT",16,16,68,83,11,17,72,86,18,82,82,13,31,56,84,4,14,82,93,5,8,87,94,169,35
"WA",12,13,75,87,14,20,66,83,16,84,84,8,22,70,89,8,23,69,88,9,16,75,90,2949,31
"WI",17,15,68,82,16,20,64,81,15,85,85,13,26,61,85,11,24,65,86,12,17,71,88,2687,32
"WV",18,16,66,81,15,20,65,82,18,82,82,16,24,60,83,9,25,66,87,10,20,70,88,921,34
"WY",17,13,70,82,16,20,64,82,16,84,84,11,23,66,87,12,20,68,87,8,21,71,90,178,38
