Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,Measure Name,Neph Comm and Caring Achievement Measure Rate,Neph Comm and Caring Measure Score,State Average Neph Comm and Caring Measure Score,National Average Neph Comm and Caring Measure Score,Quality of Dialysis Care and Ops Achievement Measure Rate,Quality of Dialysis Care and Ops Measure Score,State Average Quality of Dialysis Care and Ops Measure Score,National Average Quality of Dialysis Care and Ops Measure Score,Providing Info to Patients Achievement Measure Rate,Providing Info to Patients Measure Score,State Average Providing Info to Patients Measure Score,National Average Providing Info to Patients Measure Score,Overall Rating of Neph Achievement Measure Rate,Overall Rating of Neph Measure Score,State Average Overall Rating of Neph Measure Score,National Average Overall Rating of Neph Measure Score,Overall Rating of Dialysis Staff Achievement Measure Rate,Overall Rating of Dialysis Staff Measure Score,State Average Overall Rating of Dialysis Staff Measure Score,National Average Overall Rating of Dialysis Staff Measure Score,Overall Rating of Dialysis Facility Achievement Measure Rate,Overall Rating of Dialysis Facility Measure Score,State Average Overall Rating of Dialysis Facility Measure Score,National Average Overall Rating of Dialysis Facility Measure Score,ICHCAHPS Measure Score,ICH CAHPS Reason for No Score (See Footnotes File),State Average ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score
032302 MARICOPA MEDICAL CTR - DIALYSIS,032302,030022,2525 E ROOSEVELT ST,PHOENIX,AZ,85008,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032314 PHOENIX CHILDRENS HOSPITAL- DIALYSIS CENTER,032314,033302,1920 E CAMBRIDGE RD STE 102,PHOENIX,AZ,85016,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,"4,7",4,5
032315 GILA RIVER DIALYSIS EAST,032315,031308,565 W SEED FARM RD,SACATON,AZ,85147,15,ICH CAHPS,67.12%,4,4,4,65.16%,6,4,4,84.30%,8,5,5,76.43%,9,3,4,76.17%,9,5,4,88.41%,10,4,4,8,-,4,5
032316 Banner University Medical Center Pediatric Outpati,032316,030064,PO BOX 245148,TUCSON,AZ,85724,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,"4,7",4,5
032503 PHOENIX ARTIFICIAL KIDNEY CENTER (FMC),032503,-,13090 N 94TH DR STE 100,PEORIA,AZ,85381,15,ICH CAHPS,63.02%,3,4,4,61.96%,4,4,4,79.23%,4,5,5,45.05%,0,3,4,64.77%,5,5,4,73.02%,7,4,4,4,-,4,5
032508 SOUTH PHOENIX DIALYSIS SERVICES (FMC),032508,-,1021 S 7TH AVE STE 108,PHOENIX,AZ,85007,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032509 EAST VALLEY DIALYSIS (FMC),032509,-,135 S POWER RD STE 103,MESA,AZ,85206,15,ICH CAHPS,66.27%,4,4,4,60.91%,4,4,4,79.46%,4,5,5,68.31%,7,3,4,63.43%,5,5,4,70.53%,6,4,4,5,-,4,5
032514 DESERT DIALYSIS CENTER (DCI),032514,-,2022 E PRINCE RD,TUCSON,AZ,85719,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032516 CHANDLER DIALYSIS (FMC),032516,-,912 W CHANDLER BLVD BLDG A-D,CHANDLER,AZ,85225,15,ICH CAHPS,55.08%,1,4,4,53.84%,0,4,4,66.20%,0,5,5,49.81%,1,3,4,56.55%,3,5,4,58.86%,2,4,4,1,-,4,5
032517 CENTRAL PHX DIALYSIS (FMC),032517,-,3421 N 7TH AVE,PHOENIX,AZ,85013,15,ICH CAHPS,69.94%,6,4,4,61.98%,4,4,4,74.58%,1,5,5,67.30%,6,3,4,64.65%,5,5,4,82.01%,9,4,4,5,-,4,5
032521 DIALYSIS CENTER OF GLENDALE (FMC),032521,-,5957 W NORTHERN AVE STE 108,GLENDALE,AZ,85301,15,ICH CAHPS,79.22%,10,4,4,60.66%,4,4,4,82.17%,6,5,5,73.78%,9,3,4,71.54%,8,5,4,66.00%,4,4,4,7,-,4,5
032522 PARKER DIALYSIS CENTER (FMC),032522,-,AGENCY ROAD BLDG 173 - RURAL RT 1/AGENCY ROAD,PARKER,AZ,85344,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032524 FLAGSTAFF DIALYSIS CENTER (FMC),032524,-,"2201 N VICKEY STREET, STE 120",FLAGSTAFF,AZ,86004,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032526 SOUTHWEST MESA DIALYSIS (DSI),032526,-,1457 W SOUTHERN AVE STE 19,MESA,AZ,85202,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032528 THUNDERBIRD DIALYSIS (FMC),032528,-,5750 W THUNDERBIRD RD BLDG G #750,GLENDALE,AZ,85306,15,ICH CAHPS,58.71%,1,4,4,64.08%,5,4,4,73.69%,0,5,5,46.21%,0,3,4,59.44%,4,5,4,76.84%,8,4,4,3,-,4,5
032530 DESERT VALLEY DIALYSIS (FMC),032530,-,3815 E. BELL ROAD STE. 1100,PHOENIX,AZ,85032,15,ICH CAHPS,64.87%,3,4,4,55.09%,1,4,4,76.96%,3,5,5,60.27%,4,3,4,48.52%,0,5,4,51.66%,0,4,4,2,-,4,5
032533 GLOBE DIALYSIS (FMC),032533,-,2250 HIGHWAY 60 STE O-2,MIAMI,AZ,85539,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032535 HOME DIALYSIS OF MESA (FMC),032535,-,1337 S GILBERT RD STE 106,MESA,AZ,85204,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,"4,5,7",4,5
032536 WINSLOW DIALYSIS CENTER (FMC),032536,-,721 MIKE'S PIKE STREET,WINSLOW,AZ,86047,15,ICH CAHPS,49.31%,0,4,4,57.73%,3,4,4,74.93%,1,5,5,36.55%,0,3,4,48.33%,0,5,4,61.00%,3,4,4,1,-,4,5
032537 ESTRELLA DIALYSIS CENTER (FMC),032537,-,5546 W ROOSEVELT ST STE 1,PHOENIX,AZ,85043,15,ICH CAHPS,51.78%,0,4,4,44.68%,0,4,4,65.40%,0,5,5,46.24%,0,3,4,35.95%,0,5,4,41.20%,0,4,4,0,-,4,5
032539 MESA DIALYSIS CENTER (FMC),032539,-,1525 N GILBERT RD STE 121,GILBERT,AZ,85234,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032540 FRESENIUS KIDNEY CARE WESTERN SKIES,032540,-,1041 N ARIZOLA RD,CASA GRANDE,AZ,85122,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032541 TEMPE DIALYSIS (FMC),032541,-,1449 W SOUTHERN AVE,TEMPE,AZ,85282,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032542 ARCADIA DIALYSIS CENTER (FMC),032542,-,4021 N. 30TH STREET,PHOENIX,AZ,85016,15,ICH CAHPS,59.11%,1,4,4,47.91%,0,4,4,84.44%,8,5,5,51.92%,1,3,4,52.27%,2,5,4,50.58%,0,4,4,2,-,4,5
032544 LAKE HAVASU DIALYSIS (FMC),032544,-,2145 MESQUITE AVE,LAKE HAVASU CITY,AZ,86403,15,ICH CAHPS,64.53%,3,4,4,61.56%,4,4,4,87.32%,10,5,5,56.72%,3,3,4,62.75%,5,5,4,71.44%,6,4,4,5,-,4,5
032545 SOUTH MOUNTAIN DIALYSIS CENTER (FMC),032545,-,26 E BASELINE STE 142,PHOENIX,AZ,85042,15,ICH CAHPS,47.69%,0,4,4,41.89%,0,4,4,69.90%,0,5,5,45.63%,0,3,4,35.06%,0,5,4,48.37%,0,4,4,0,-,4,5
032546 SUN CITY WEST DIALYSIS (FMC),032546,-,12213 W BELL ROAD STE 110,SURPRISE,AZ,85374,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032547 SUN CITY DIALYSIS (FMC),032547,-,10050 W BELL RD STE 29-31,SUN CITY,AZ,85351,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032549 SAFFORD DIALYSIS (FMC),032549,-,1250 S 20TH AVE,SAFFORD,AZ,85546,15,ICH CAHPS,62.50%,2,4,4,52.47%,1,4,4,74.35%,2,5,5,50.60%,1,3,4,48.99%,0,5,4,51.42%,0,4,4,1,-,4,5
032550 NORTH PHOENIX DIALYSIS (FMC),032550,-,1957 W DUNLAP AVE STE 6C,PHOENIX,AZ,85021,15,ICH CAHPS,69.16%,5,4,4,55.82%,1,4,4,78.56%,4,5,5,70.25%,7,3,4,51.77%,1,5,4,53.91%,0,4,4,3,-,4,5
032551 MESA DIALYSIS (DSI),032551,-,1337 S GILBERT RD STE 109,MESA,AZ,85204,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032552 ARROWHEAD DIALYSIS (FMC),032552,-,16844 N 59TH AVE,GLENDALE,AZ,85306,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032558 BULLHEAD CITY DIALYSIS (FMC),032558,-,2650 MIRACLE MILE,BULLHEAD CITY,AZ,86442,15,ICH CAHPS,42.47%,0,4,4,48.44%,0,4,4,74.60%,1,5,5,30.34%,0,3,4,50.85%,1,5,4,49.56%,0,4,4,0,-,4,5
032561 CASA GRANDE DIALYSIS (FMC),032561,-,1875 E SABIN DR,CASA GRANDE,AZ,85122,15,ICH CAHPS,62.60%,2,4,4,54.04%,0,4,4,80.54%,5,5,5,42.07%,0,3,4,43.31%,0,5,4,54.65%,1,4,4,1,-,4,5
032563 SCOTTSDALE DIALYSIS (FMC),032563,-,1495 N HAYDEN STE D1-D4,SCOTTSDALE,AZ,85257,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032564 MARYVALE DIALYSIS (FMC),032564,-,4502 W INDIAN SCHOOL RD STE A4-11,PHOENIX,AZ,85031,15,ICH CAHPS,67.88%,5,4,4,64.65%,6,4,4,75.93%,2,5,5,62.42%,5,3,4,72.26%,8,5,4,72.21%,6,4,4,5,-,4,5
032565 DESERT DIALYSIS CENTER SOUTH TUCSON (DCI),032565,-,1011 E PENNSYLVANIA ST,TUCSON,AZ,85719,15,ICH CAHPS,71.19%,6,4,4,72.72%,10,4,4,82.82%,7,5,5,66.90%,6,3,4,74.99%,9,5,4,69.55%,5,4,4,7,-,4,5
032568 RED MOUNTAIN DIALYSIS (FMC),032568,-,1211 N COUNTRY CLUB DR STE 4,MESA,AZ,85201,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032571 NORTH SCOTTSDALE DIALYSIS (FMC),032571,-,16101 N 82ND ST STE 6-7,SCOTTSDALE,AZ,85260,15,ICH CAHPS,63.73%,3,4,4,42.05%,0,4,4,66.74%,0,5,5,62.74%,6,3,4,33.56%,0,5,4,45.99%,0,4,4,2,-,4,5
032575 SHOW LOW DIALYSIS (FMC),032575,-,1500 S WHITE MOUNTAIN BLVD STE 204,SHOW LOW,AZ,85901,15,ICH CAHPS,44.07%,0,4,4,55.56%,1,4,4,73.98%,1,5,5,48.92%,0,3,4,70.20%,7,5,4,72.85%,6,4,4,3,-,4,5
032577 YAVAPAI DIALYSIS (FMC),032577,-,3605 RANCH DR,PRESCOTT,AZ,86303,15,ICH CAHPS,55.62%,0,4,4,54.63%,1,4,4,80.21%,5,5,5,46.26%,0,3,4,50.26%,1,5,4,52.95%,0,4,4,1,-,4,5
032578 APACHE JUNCTION DIALYSIS (FMC),032578,-,11540 E UNIVERSITY DR STE 109,APACHE JUNCTION,AZ,85220,15,ICH CAHPS,46.40%,0,4,4,49.03%,0,4,4,73.53%,0,5,5,28.85%,0,3,4,48.87%,0,5,4,52.12%,0,4,4,0,-,4,5
032579 SUN LAKES DIALYSIS (FMC),032579,-,9666 E RIGGS RD STE 143,SUN LAKES,AZ,85248,15,ICH CAHPS,54.96%,1,4,4,69.89%,8,4,4,77.98%,3,5,5,47.71%,0,3,4,82.69%,10,5,4,75.98%,7,4,4,5,-,4,5
032580 PALM VALLEY DIALYSIS (FMC),032580,-,13657 W MCDOWELL RD STE 106,GOODYEAR,AZ,85338,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032581 AK-CHIN DIALYSIS (FMC),032581,-,16536 N MARICOPA RD,MARICOPA,AZ,85139,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032583 SOUTH PHOENIX DIALYSIS (DSI),032583,-,4621 S CENTRAL AVE,PHOENIX,AZ,85040,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
