"STATE","Transfusions- Better than expected (STATE)","Transfusions- As expected (STATE)","Transfusions- Worse than expected (STATE)","Infection- Better than expected (STATE)","Infection- As expected (STATE)","Infection- Worse than expected (STATE)","Percentage of adult HD patients with Kt/V>=1.2","Percentage Of Adult PD Patients With Kt/V>=1.7","Percentage Of Pediatric HD Patients With Kt/V>=1.2","Percentage Of Pediatric PD Patients With Kt/V>=1.8","Percentage Of Pediatric HD Patients With nPCR In Use","Fistula Rate - Better Than Expected (STATE)","Fistula Rate - As Expected (STATE)","Fistula Rate - Worse Than Expected (STATE)","Percentage Of Adult Patients With Long Term Catheter In Use","Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 Mg/dL)","Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 3.5-4.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 4.6-5.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 5.6-7.0 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 Mg/dL","Hospitalizations- Better Than Expected (STATE)","Hospitalizations- As Expected (STATE)","Hospitalizations- Worse Than Expected (STATE)","Hospital Readmission - Better Than Expected (STATE) ","Hospital Readmission - As Expected (STATE)","Hospital  Readmission - Worse Than Expected (STATE)","Survival- Better Than Expected (STATE)","Survival- As Expected (STATE)","Survival- Worse Than Expected (STATE)","Incident Patients Transplant Waitlisting- Better Than Expected (STATE)","Incident Patients Transplant Waitlisting - As Expected (STATE)","Incident Patients Transplant Waitlisting - Worse Than Expected (STATE)","Prevalent Patients Transplant Waitlisting- Better Than Expected (STATE)","Prevalent Patients Transplant Waitlisting - As Expected (STATE)","Prevalent Patients Transplant Waitlisting - Worse Than Expected (STATE)","Percentage Of Patients With Hgb<10 g/dL","Percentage of patients with Hgb>12 g/dL"
"AK","0","8","1","3","5","1","97","93","100","23",100,0,9,0,12,1,9,24,28,23,16,"2","7","0","1","8","0","3","6","0",1,2,0,0,9,0,17,0
"AL","0","145","20","20","143","2","97","94","99","85",97,5,155,16,8,1,8,23,29,23,17,"0","172","4","4","164","5","5","154","17",2,85,5,0,176,3,20,0
"AR","1","57","7","7","54","0","97","94","88","89",92,2,64,3,16,3,7,21,30,23,19,"1","67","2","1","67","1","3","54","11",0,37,3,0,55,14,20,0
"AS","0","1","0","0","0","0","","","","",,0,1,0,,,,,,,,"0","1","0","0","1","0","0","1","0",0,0,1,0,0,2,,
"AZ","0","111","2","27","86","2","97","94","92","96",96,8,110,0,12,2,8,23,30,23,16,"1","114","4","3","115","0","4","99","14",4,82,6,2,120,2,16,0
"CA","0","601","34","175","394","6","97","89","86","63",92,41,579,6,12,2,8,24,32,21,14,"16","615","37","15","624","27","62","515","82",67,402,30,191,497,0,15,0
"CO","0","67","0","6","66","2","98","90","97","42",100,17,59,0,10,1,7,25,32,23,13,"1","76","0","4","72","0","7","68","1",8,32,0,9,69,1,20,0
"CT","1","47","1","7","41","1","98","95","100","0",95,4,44,1,11,1,9,25,32,21,13,"1","48","1","0","49","1","13","37","0",5,17,0,3,47,0,17,0
"DC","0","19","0","4","14","0","97","91","95","94",94,0,19,1,10,2,9,24,29,23,15,"0","20","0","0","20","0","7","12","0",1,13,1,2,18,1,23,0
"DE","0","26","0","5","22","0","97","92","84","77",100,0,29,0,10,2,9,25,29,23,14,"0","27","0","0","27","1","1","26","1",2,14,0,2,27,0,20,0
"FL","0","418","13","82","320","8","97","92","96","68",93,11,438,13,14,2,7,25,33,21,14,"1","408","60","4","429","35","16","394","47",4,276,14,6,467,8,22,0
"GA","0","312","20","57","258","7","96","93","97","75",95,2,330,15,11,2,8,24,31,22,15,"0","356","5","4","338","15","8","319","23",8,198,6,16,342,7,21,0
"GU","0","5","0","3","1","1","92","87","","44",,0,5,0,16,5,10,22,30,24,15,"0","5","0","0","5","0","0","4","1",0,0,5,0,1,4,17,0
"HI","1","28","0","9","20","2","98","95","100","56",100,0,29,2,10,1,8,25,28,24,14,"1","30","0","2","27","0","2","28","0",0,17,5,0,31,0,10,0
"IA","0","52","2","4","58","1","98","94","100","91",98,4,63,0,12,1,7,24,32,23,13,"0","67","0","3","56","1","3","60","3",4,18,0,0,61,4,17,0
"ID","0","25","0","3","20","0","98","95","100","62",100,0,27,0,12,1,8,25,31,22,14,"1","26","0","3","20","0","0","25","2",0,13,0,0,26,1,19,0
"IL","1","265","6","66","187","3","97","87","98","45",98,4,261,17,15,2,8,25,31,22,14,"1","305","8","3","294","11","55","242","11",7,152,6,13,300,4,22,0
"IN","0","141","9","21","130","6","98","93","93","86",97,3,161,2,14,1,8,25,30,22,15,"1","164","2","2","164","1","15","149","2",4,68,6,1,164,6,22,0
"KS","0","47","3","4","48","5","98","94","","",,5,55,0,8,2,7,24,33,21,16,"3","58","0","2","57","0","5","49","2",2,26,2,0,59,2,18,0
"KY","0","107","10","15","96","4","97","94","88","64",89,2,118,1,11,1,7,24,30,24,15,"1","119","3","3","115","5","3","112","7",2,57,1,0,119,6,21,0
"LA","0","155","13","25","134","10","97","93","90","74",84,3,178,0,11,1,8,24,30,23,15,"2","178","3","5","173","5","9","155","14",3,92,3,2,182,2,21,0
"MA","1","68","4","26","48","1","98","87","99","68",94,5,73,0,13,2,8,24,31,23,14,"0","75","4","0","77","2","24","54","0",20,27,0,39,42,0,21,0
"MD","0","140","11","27","114","1","97","89","94","48",100,1,148,7,14,3,8,24,32,21,15,"5","157","0","2","155","1","26","119","10",7,85,4,17,138,2,24,0
"ME","0","17","0","2","17","0","98","91","","75",,1,18,0,13,2,6,24,31,24,14,"1","18","0","0","19","0","1","17","0",1,7,0,0,18,1,15,0
"MI","0","174","23","33","153","4","97","92","87","89",72,1,191,9,12,1,8,25,31,23,14,"0","195","18","3","195","15","23","180","3",6,105,5,6,206,5,24,0
"MN","0","91","4","7","96","4","98","92","96","94",79,1,114,0,13,2,8,24,31,22,15,"0","112","2","4","100","4","8","105","3",2,25,1,8,103,1,21,0
"MO","0","141","3","22","117","4","97","91","92","89",95,5,145,2,11,2,8,24,30,23,15,"0","158","4","2","154","3","11","141","5",3,67,2,1,156,5,21,0
"MP","0","2","0","1","0","0","","","","",,0,2,0,,,,,,,,"0","2","0","0","2","0","0","2","0",0,0,1,0,0,2,,
"MS","0","72","15","21","54","4","97","94","97","88",92,10,74,0,11,1,9,24,29,23,15,"6","85","0","2","83","4","6","78","5",0,53,9,0,88,3,29,0
"MT","0","13","0","2","13","0","97","90","","",,0,16,0,15,1,7,22,27,25,19,"2","14","0","3","12","0","1","12","2",0,7,1,0,16,0,14,1
"NC","1","203","9","43","170","4","97","94","100","67",88,14,206,9,12,1,8,23,30,24,15,"2","222","2","5","219","3","10","194","13",4,126,10,4,226,5,20,0
"ND","0","12","2","0","9","3","97","78","","42",,0,14,0,12,2,9,26,29,24,12,"2","13","0","1","13","0","0","15","0",2,5,0,0,14,0,34,0
"NE","0","31","1","1","30","2","97","93","50","97",71,2,36,0,14,2,8,26,32,20,14,"0","39","0","2","32","0","3","35","0",5,12,0,0,34,2,18,0
"NH","0","14","2","3","17","0","98","92","100","",100,0,20,0,17,2,6,22,28,26,17,"0","20","0","1","18","0","3","16","0",3,5,0,2,18,0,20,0
"NJ","0","164","8","44","118","8","98","92","94","43",90,20,158,3,12,2,9,27,33,20,11,"3","179","1","3","175","2","37","137","5",14,85,3,10,173,0,17,0
"NM","0","47","3","12","37","0","97","90","85","44",98,7,46,0,11,1,8,24,30,23,15,"2","52","0","7","47","0","6","45","3",1,27,5,1,54,0,15,1
"NV","0","40","6","17","29","1","97","93","75","40",72,1,46,1,15,2,7,23,31,23,17,"0","46","4","0","48","1","3","43","2",1,32,11,1,43,6,20,0
