"Footnote","Reason for No Score"
"1","Facility Has Less than 11 Eligible Patients"
"2","Facility CCN Certification Date on or after July 1 of the Measure Period"
"3","Facility Does Not Have Any Eligible Patients for the Reporting Month"
"4","Facility Has Less than 11 Hemodialysis Outpatients"
"5","Facility Completed Less than 30 Surveys"
"6","Facility Does Not Offer In-Center Hemodialysis"
"7","Facility CCN Certification Date Is on or after January 1 of the Measure Period"
"8","Facility Has an Approved Extraordinary Circumstance Exception (ECE)"
"9","Facility CCN Certification Date Is on or after the First Month of Measure Period but Between January 1 and June 30"
"10","Facility Attested to Having Less than Required Number of Eligible Patients"
"11","Facility Does Not Have Any Eligible Months for the Measure Period"
"12","Facility CCN Certification Date Is after January 1 of the Measure Period"
"13","Facility Has Less than 11 Eligible Index Discharges"
"14","Facility Does Not Have a CCN Certification Date"
"15","Facility Has Less than 10 Eligible Patient Years at Risk"
"16","Patient Facility Has an Approved Extraordinary Circumstance Exception (ECE)"
"17","Patient Stay Facility Has an Approved Extraordinary Circumstance Exception (ECE)"
"18","Facility Has Less Than 5 Patient Years at Risk"
