Provider Number,Network,Facility Name,Address Line 1,Address Line 2,City,State,Zip,County,Phone Number,Profit or Non-Profit,Chain Owned,Chain Organization,ICH-CAHPS date,ICH-CAHPS data availability code,Lower box percent of patients-nephrologists' communication and caring,Middle box percent of patients-nephrologists' communication and caring,Top box percent of patients-nephrologists' communication and caring,Linearized score of nephrologists' communication and caring,Star rating of nephrologists' communication and caring,Lower box percent of patients-quality of dialysis center care and operations,Middle box percent of patients-quality of dialysis center care and operations,Top box percent of patients-quality of dialysis center care and operations,Linearized score of quality of dialysis center care and operations,Star rating of quality of dialysis center care and operations,Lower box percent of patients-providing information to patients ,Top box percent of patients- providing information to patients,Linearized score of providing information to patients,Star rating of providing information to patients,Lower box percent of patients-rating of the nephrologist ,Middle box percent of patients- rating of the nephrologist,Top box percent of patients- rating of the nephrologist,Linearized score of rating of the nephrologist,Star rating of the nephrologist,Lower box percent of patients-rating of the dialysis center staff ,Middle box percent of patients-rating of the dialysis center staff,Top box percent of patients-rating of the dialysis center staff ,Linearized score of rating of the dialysis center staff,Star rating of the dialysis center staff,Lower box percent of patients-rating of the dialysis facility,Middle box percent of patients-rating of the dialysis facility ,Top box percent of patients-rating of the dialysis facility,Linearized score of rating of the dialysis facility,Star rating of the dialysis facility,Total number of completed interviews from the Fall and Spring Surveys,ICH CAHPS Survey of patients' experiences star rating ,ICH-CAHPS survey response rate
012306,08,CHILDRENS HOSPITAL DIALYSIS,1600 7TH AVENUE SOUTH,,BIRMINGHAM,AL,35233,Jefferson,(205) 638-9275,Non-profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012500,08,FMC CAPITOL CITY,255 S JACKSON STREET,,MONTGOMERY,AL,36104,Montgomery,(334) 263-1028,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,12,10,78,89,5,13,14,73,86,4,15,85,85,5,11,31,58,87,4,7,15,78,91,4,7,17,76,91,4,31,4,19
012501,08,DAVITA GADSDEN DIALYSIS,409 SOUTH FIRST STREET,,GADSDEN,AL,35901,Etowah,(256) 547-2511,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012502,08,DAVITA TUSCALOOSA UNIVERSITY DIALYSIS,220 15TH STREET,,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 345-6004,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012505,08,DAVITA PDI-MONTGOMERY,1001 FOREST AVENUE,,MONTGOMERY,AL,36106,Montgomery,(334) 269-9416,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012506,08,DAVITA DOTHAN DIALYSIS,216 GRACELAND DR.,,DOTHAN,AL,36305,Houston,(334) 793-4077,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012507,08,FMC MOBILE,2620 OLD SHELL RD,,MOBILE,AL,36607,Mobile,(251) 476-2762,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,18,15,67,81,3,18,19,63,81,3,27,73,73,2,16,23,61,81,2,10,18,72,88,3,11,25,64,88,4,38,3,27
012508,08,DAVITA BIRMINGHAM EAST DIALYSIS,1105 EAST PARK DRIVE,,BIRMINGHAM,AL,35235,Jefferson,(205) 833-6003,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012509,08,FMC NORTH ALABAMA,1311 N MEMORIAL PKWY #200,,HUNTSVILLE,AL,35801,Madison,(256) 536-8571,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012512,08,FMC SELMA,905 MEDICAL CENTER PARKWAY,,SELMA,AL,36701,Dallas,(334) 874-9021,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
