STATE,Lower box percent of patients-nephrologists' communication and caring,Middle box percent of patients-nephrologists' communication and caring,Top box percent of patients-nephrologists' communication and caring,Linearized score of nephrologists' communication and caring,Lower box percent of patients-quality of dialysis center care and operations ,Middle box percent of patients- quality of dialysis center care and operations,Top box percent of patients- quality of dialysis center care and operations,Linearized score of quality of dialysis center care and operations,Lower box percent of patients- providing information to patients,Top box percent of patients- providing information to patients,Linearized score of providing information to patients,Lower box percent of patients- rating of the nephrologist,Middle box percent of patients- rating of the nephrologist,Top box percent of patients- rating of the nephrologist,Linearized score of rating of the nephrologist,Lower box percent of patients-rating of the dialysis center staff,Middle box percent of patients-rating of the dialysis center staff ,Top box percent of patients-rating of the dialysis center staff,Linearized score of rating of the dialysis center staff,Lower box percent of patients-rating of the dialysis facility,Middle box percent of patients-rating of the dialysis facility,Top box percent of patients-rating of the dialysis facility,Linearized score of rating of the dialysis facility,Total number of completed interviews from the Fall and Spring Surveys,ICH-CAHPS survey response rate
AK,14,11,75,85,20,15,65,79,20,80,80,8,23,69,88,10,23,67,87,14,14,72,88,160,23
AL,19,14,67,81,20,18,62,79,21,79,79,14,26,60,84,13,25,62,85,13,20,67,87,2786,22
AR,17,16,67,81,20,20,60,78,19,81,81,12,27,61,85,12,27,61,85,13,23,64,86,1397,23
AS,,,,,,,,,,,,,,,,,,,,,,,,,0
AZ,22,16,62,77,20,21,59,78,21,79,79,18,26,56,82,13,25,62,85,15,19,66,86,2719,21
CA,17,15,68,82,16,19,65,82,20,80,80,12,25,63,85,9,23,68,88,9,19,72,89,20219,22
CO,16,14,70,83,17,19,64,80,19,81,81,14,24,62,85,11,24,65,86,12,19,69,88,1325,23
CT,18,16,66,81,19,18,63,79,19,81,81,13,29,58,84,12,24,64,85,12,20,68,87,1209,23
DC,18,14,68,81,20,20,60,78,22,78,78,10,31,59,84,12,32,56,84,13,29,58,84,390,18
DE,21,17,62,78,21,20,59,78,22,78,78,19,30,51,81,15,27,58,84,14,22,64,86,548,26
FL,18,14,68,81,17,19,64,81,20,80,80,13,24,63,85,10,24,66,87,11,20,69,88,8429,21
GA,19,14,67,81,20,20,60,78,23,77,77,14,27,59,84,14,28,58,84,14,24,62,85,5787,21
GU,40,16,44,63,27,16,57,75,31,69,69,40,30,30,67,18,27,55,82,18,22,60,85,311,23
HI,17,14,69,82,15,18,67,82,20,80,80,12,26,62,85,9,21,70,89,9,15,76,90,1616,29
IA,15,18,67,83,14,20,66,82,16,84,84,11,26,63,86,9,21,70,88,9,17,74,89,800,27
ID,14,14,72,84,13,19,68,83,18,82,82,11,19,70,88,6,22,72,90,7,17,76,90,374,24
IL,17,16,67,82,17,19,64,81,21,79,79,13,27,60,85,10,25,65,87,10,21,69,88,5453,22
IN,18,16,66,81,16,20,64,81,17,83,83,14,24,62,84,11,23,66,87,11,19,70,88,2923,25
KS,12,14,74,86,13,20,67,84,15,85,85,8,23,69,89,8,19,73,89,8,15,77,90,943,25
KY,15,15,70,83,15,20,65,82,18,82,82,12,24,64,86,10,21,69,88,10,17,73,89,1666,23
LA,17,13,70,82,19,18,63,79,20,80,80,13,24,63,85,14,25,61,85,14,20,66,86,2823,23
MA,15,14,71,84,16,18,66,82,20,80,80,12,24,64,87,9,23,68,88,9,19,72,89,2034,24
MD,18,15,67,81,20,20,60,78,22,78,78,14,27,59,84,14,28,58,84,15,22,63,85,3076,21
ME,19,15,66,80,17,18,65,81,18,82,82,15,24,61,84,9,19,72,89,8,17,75,90,398,30
MI,17,16,67,81,17,21,62,80,20,80,80,14,25,61,85,11,26,63,86,12,20,68,87,4610,25
MN,15,15,70,84,14,19,67,83,16,84,84,13,27,60,85,7,22,71,89,7,18,75,90,1474,24
MO,17,15,68,82,17,20,63,80,19,81,81,14,23,63,85,12,24,64,86,12,19,69,87,2266,23
MP,13,9,78,87,23,12,65,79,22,78,78,12,28,60,86,15,21,64,86,11,13,76,90,74,22
MS,21,13,66,80,22,18,60,77,22,78,78,16,27,57,83,15,26,59,84,15,21,64,85,1924,21
MT,14,15,71,85,13,17,70,84,17,83,83,12,20,68,87,7,19,74,90,6,17,77,91,266,26
NC,20,15,65,80,21,19,60,77,21,79,79,15,28,57,83,14,28,58,84,14,22,64,85,5373,22
ND,19,16,65,80,13,18,69,84,16,84,84,13,28,59,84,4,20,76,92,3,16,81,94,238,23
NE,17,17,66,81,15,21,64,82,18,82,82,15,27,58,83,10,24,66,87,10,20,70,88,510,25
NH,21,19,60,77,17,22,61,80,21,79,79,18,28,54,82,10,23,67,86,11,20,69,87,403,30
NJ,17,15,68,82,15,19,66,82,19,81,81,13,25,62,85,9,22,69,88,9,19,72,89,4296,23
NM,23,14,63,77,22,18,60,77,22,78,78,20,26,54,80,15,22,63,85,14,17,69,86,988,22
NV,23,17,60,76,16,20,64,81,20,80,80,20,30,50,79,10,25,65,87,11,20,69,88,1294,20
NY,19,15,66,80,18,19,63,80,23,77,77,14,28,58,84,11,26,63,86,12,22,66,87,8617,23
OH,16,16,68,82,15,19,66,82,18,82,82,14,25,61,85,9,24,67,88,9,19,72,89,4697,23
OK,15,15,70,83,15,19,66,82,19,81,81,12,23,65,87,9,24,67,88,9,19,72,89,1360,20
OR,15,18,67,82,16,21,63,80,20,80,80,12,26,62,86,11,24,65,87,11,17,72,88,1416,25
PA,17,16,67,81,16,19,65,81,19,81,81,14,27,59,84,10,24,66,87,10,20,70,88,5542,25
PR,15,17,68,83,17,21,62,80,15,85,85,12,23,65,86,12,20,68,87,13,17,70,87,2074,25
RI,12,16,72,85,10,17,73,87,15,85,85,9,25,66,88,5,18,77,91,4,15,81,93,355,25
