STATE,Transfusions- Better than expected (STATE),Transfusions- As expected (STATE),Transfusions- Worse than expected (STATE),Infection- Better than expected (STATE),Infection- As expected (STATE),Infection- Worse than expected (STATE),Percentage of adult HD patients with Kt/V>=1.2,Percentage Of Adult PD Patients With Kt/V>=1.7,Percentage Of Pediatric HD Patients With Kt/V>=1.2,Percentage Of Pediatric PD Patients With Kt/V>=1.8,Percentage Of Pediatric HD Patients With nPCR In Use,Fistula Rate - Better Than Expected (STATE),Fistula Rate - As Expected (STATE),Fistula Rate - Worse Than Expected (STATE),Percentage Of Adult Patients With Long Term Catheter In Use,Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 Mg/dL),Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 3.5-4.5 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 4.6-5.5 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 5.6-7.0 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 Mg/dL,Hospitalizations- Better Than Expected (STATE),Hospitalizations- As Expected (STATE),Hospitalizations- Worse Than Expected (STATE),Hospital Readmission - Better Than Expected (STATE) ,Hospital Readmission - As Expected (STATE),Hospital  Readmission - Worse Than Expected (STATE),Survival- Better Than Expected (STATE),Survival- As Expected (STATE),Survival- Worse Than Expected (STATE),Incident Patients Transplant Waitlisting- Better Than Expected (STATE),Incident Patients Transplant Waitlisting - As Expected (STATE),Incident Patients Transplant Waitlisting - Worse Than Expected (STATE),Prevalent Patients Transplant Waitlisting- Better Than Expected (STATE),Prevalent Patients Transplant Waitlisting - As Expected (STATE),Prevalent Patients Transplant Waitlisting - Worse Than Expected (STATE),Percentage Of Patients With Hgb<10 g/dL,Percentage of patients with Hgb>12 g/dL
AK,0,7,1,3,6,0,98,94,100,100,71,1,8,0,12,1,9,25,27,23,17,0,9,0,0,7,0,0,9,0,1,2,1,1,8,0,21,0
AL,0,137,10,39,123,0,97,95,97,78,92,7,152,20,11,1,7,21,28,24,20,3,180,1,9,164,3,3,174,4,2,70,3,2,179,6,21,0
AR,0,43,16,24,37,0,96,91,100,96,97,1,62,4,19,2,6,20,29,24,22,2,63,3,1,64,2,1,66,2,0,37,3,0,59,7,22,1
AS,0,2,0,0,0,0,,,,,,0,1,1,,,,,,,,0,2,0,0,2,0,0,2,0,0,0,1,0,0,2,,
AZ,0,104,3,52,69,0,97,95,98,98,99,8,119,0,14,1,7,22,30,23,18,0,126,3,3,124,0,1,122,6,0,87,11,0,124,7,19,0
CA,2,608,15,291,312,1,97,90,85,72,94,49,606,12,14,2,7,24,31,22,16,16,700,6,18,665,15,12,676,23,52,405,34,192,544,1,16,0
CO,0,52,4,21,53,1,98,92,87,79,96,11,70,0,13,1,7,24,30,24,14,0,82,0,3,74,1,2,78,1,5,36,0,3,80,0,20,1
CT,0,42,5,13,35,0,97,95,92,100,68,7,41,1,14,3,8,24,33,22,14,0,48,2,0,46,2,3,49,0,1,26,0,4,45,0,18,0
DC,0,18,0,6,13,0,97,79,91,91,92,0,19,0,12,3,9,23,30,23,15,0,20,0,0,19,0,2,17,1,1,12,1,1,18,0,23,0
DE,0,24,1,13,13,0,98,94,100,68,94,0,30,0,13,1,8,23,30,25,15,1,28,1,2,29,0,0,29,0,0,6,0,2,29,0,21,0
FL,0,351,47,151,274,2,96,93,96,56,96,6,463,31,18,3,7,23,32,22,16,1,439,69,6,457,38,3,473,21,6,270,15,4,502,15,23,0
GA,0,285,17,109,213,5,96,93,94,72,59,1,341,20,13,2,8,23,30,23,17,2,371,10,5,358,13,1,352,25,6,186,6,5,375,2,22,0
GU,1,4,0,5,0,0,96,94,,100,100,0,5,0,12,3,5,16,27,27,25,0,5,0,0,5,0,0,5,0,0,0,5,0,0,5,11,0
HI,1,29,0,13,18,1,98,97,100,100,0,0,33,2,10,1,7,24,29,25,15,4,31,0,2,31,0,6,28,0,0,22,2,0,34,1,11,0
IA,0,43,3,7,53,1,98,94,96,92,100,0,67,1,16,1,6,23,31,24,16,0,69,0,0,58,0,1,67,2,1,20,1,0,63,1,17,0
ID,0,26,0,4,19,0,98,97,97,75,100,0,29,1,15,1,7,24,29,23,17,1,27,0,0,25,1,0,25,2,0,9,0,0,31,0,18,0
IL,0,251,19,113,164,2,97,90,92,82,99,6,275,18,19,2,7,23,30,23,16,0,317,19,6,299,15,22,296,12,7,140,1,11,318,3,23,0
IN,0,132,7,49,110,1,97,96,99,93,96,0,167,4,17,1,7,23,29,23,17,1,169,3,4,163,1,5,168,1,2,65,4,0,164,6,22,0
KS,0,49,2,7,49,0,98,96,100,,100,9,54,1,10,2,7,22,32,22,18,1,62,1,2,60,0,3,59,1,0,24,0,0,54,8,18,0
KY,0,86,9,29,87,1,97,93,100,31,96,1,122,1,13,1,6,22,30,24,18,0,123,2,1,118,2,1,122,3,1,50,0,0,119,5,22,0
LA,0,126,23,48,116,0,97,94,94,90,99,4,177,3,13,1,7,22,29,24,17,2,182,2,6,168,6,3,175,8,4,68,0,2,181,4,23,0
MA,0,75,1,29,47,1,97,88,100,91,93,3,76,1,16,2,7,24,30,24,16,2,76,5,0,77,3,6,77,1,12,24,0,52,32,0,22,0
MD,0,143,8,56,89,1,97,85,100,90,100,2,158,7,17,4,7,23,31,22,16,2,166,3,5,154,2,8,151,12,4,80,2,8,153,0,24,0
ME,0,18,0,5,13,1,98,94,100,,100,0,20,0,16,1,6,22,31,25,16,0,20,0,0,20,0,0,20,0,1,7,0,1,19,0,15,0
MI,0,172,10,66,125,0,97,93,85,86,89,3,190,15,16,1,7,23,31,23,16,2,201,15,5,200,8,13,202,3,4,98,5,2,213,4,21,0
MN,0,87,3,15,90,0,93,87,100,100,99,6,106,16,19,9,7,23,30,23,17,1,118,2,2,105,2,6,113,1,4,23,1,8,113,0,17,0
MO,0,127,11,36,103,4,97,94,57,96,84,1,144,8,15,2,7,22,29,24,18,0,155,7,0,155,2,5,152,3,0,68,1,1,155,5,22,0
MP,1,1,0,0,1,0,89,84,100,,100,0,1,1,17,7,4,15,24,35,22,1,1,0,0,2,0,0,2,0,0,0,1,0,0,2,59,0
MS,0,71,17,20,58,2,98,94,97,88,98,6,83,1,13,1,8,22,28,24,17,5,87,3,2,87,4,0,87,5,0,56,2,3,92,1,28,0
MT,1,10,2,8,9,0,96,92,100,67,100,0,17,0,19,2,6,21,25,26,22,2,15,0,1,12,0,0,17,0,0,8,0,0,16,1,15,1
NC,0,203,16,68,165,3,97,95,99,88,98,14,225,4,14,1,7,22,28,25,18,2,241,1,5,235,2,3,236,3,4,126,3,2,247,0,21,0
ND,0,12,2,0,10,2,96,84,,,,1,12,1,16,2,9,25,29,25,12,1,12,1,0,13,0,0,14,1,2,5,0,0,14,0,34,0
NE,0,29,1,5,25,0,97,96,100,87,100,1,37,0,16,1,7,24,32,22,15,0,39,0,2,32,1,2,37,0,2,16,0,0,33,3,20,0
NH,0,14,2,6,13,0,98,91,,,100,2,18,0,20,1,6,22,29,26,17,0,20,0,1,19,0,0,18,2,1,4,0,4,16,0,18,0
NJ,2,171,1,59,129,2,98,95,94,96,100,20,170,6,13,1,9,26,33,20,12,0,192,8,1,189,6,10,185,3,17,79,0,23,175,2,16,0
NM,1,49,3,19,34,0,98,93,100,59,100,7,48,0,15,1,8,23,30,23,17,2,55,0,1,52,1,1,54,2,1,31,5,2,56,0,20,0
NV,0,47,2,27,21,0,97,94,92,87,90,5,46,1,16,1,6,22,31,23,18,0,52,0,1,49,1,1,48,1,1,30,9,0,48,6,20,0
NY,0,252,17,114,156,8,95,89,93,80,87,51,264,13,17,3,8,24,30,23,14,1,303,18,2,302,9,24,283,12,45,140,3,59,253,6,23,1
OH,0,171,14,68,220,5,97,94,93,84,97,2,306,10,19,2,7,23,30,24,17,0,315,21,2,316,8,12,313,12,6,98,1,0,314,18,21,0
OK,0,68,11,20,60,0,98,94,89,65,97,5,81,0,17,1,6,20,28,24,21,1,85,3,2,80,3,1,83,5,0,58,2,0,76,12,22,0
OR,0,59,1,27,39,0,98,94,100,99,100,2,68,1,14,1,6,22,30,25,17,1,75,0,0,71,1,5,66,1,2,35,1,0,71,4,19,0
PA,0,207,13,97,182,5,97,91,78,58,77,5,304,4,17,2,8,24,31,22,15,1,300,18,4,299,8,16,298,5,9,88,0,33,280,2,20,0
PR,0,25,3,34,12,0,99,96,100,50,100,1,25,21,28,1,8,25,32,24,10,1,43,3,0,32,15,0,39,9,0,26,11,0,41,7,10,0
RI,0,13,1,4,11,0,99,92,100,88,100,1,15,0,14,1,5,21,29,26,18,0,16,0,0,15,1,1,15,0,4,2,0,3,13,0,23,0
SC,0,123,12,49,95,1,96,92,77,96,78,6,137,16,11,2,8,22,29,24,17,0,160,5,4,156,2,1,154,5,5,84,3,3,162,1,25,0
SD,0,19,0,2,14,3,96,94,96,83,97,1,25,0,14,3,8,26,30,23,13,1,25,0,1,17,1,4,22,1,2,4,0,0,25,0,23,0
TN,0,147,15,64,109,2,97,94,13,44,0,1,193,5,18,1,6,20,28,26,20,1,194,7,3,191,3,1,187,14,9,92,2,4,196,3,22,0
TX,0,558,43,234,418,4,97,92,96,82,93,26,676,28,15,2,7,22,30,23,19,5,701,39,13,696,17,7,700,22,28,431,16,9,738,12,20,0
UT,0,30,2,4,22,0,97,91,99,84,99,1,46,0,12,2,7,22,28,26,17,0,48,0,2,39,0,0,47,1,1,21,0,0,47,2,20,1
VA,0,167,9,64,118,0,98,93,92,68,95,7,190,6,16,1,7,23,31,23,16,1,202,4,9,189,3,4,191,8,8,96,2,7,198,3,20,0
VI,0,4,0,0,2,0,87,,,,100,0,2,3,31,37,9,27,27,26,11,1,4,0,0,3,0,0,5,0,0,0,0,0,4,0,31,2
VT,0,5,1,1,6,0,97,65,,,67,0,6,1,24,3,6,22,29,28,15,0,7,0,0,8,0,0,7,1,0,1,0,0,8,0,22,1
WA,1,86,3,24,72,2,97,93,99,85,95,8,94,0,15,2,6,21,28,25,19,2,101,0,3,93,1,1,96,3,1,61,1,2,99,2,16,0
WI,0,98,7,26,87,4,97,91,87,50,99,3,119,3,18,1,7,24,31,23,15,3,122,1,1,120,1,2,125,1,3,49,1,2,120,2,18,0
WV,0,26,7,18,24,0,97,96,100,100,100,0,42,1,23,1,7,23,29,24,18,0,39,4,2,40,2,0,44,0,2,14,1,0,40,4,26,0
WY,0,9,0,1,9,0,96,91,,,,0,10,0,15,2,7,23,27,26,17,0,10,0,1,6,0,0,10,0,0,2,0,0,9,1,14,0
