"State","Transfusions- Better than expected (STATE)","Transfusions- As expected (STATE)","Transfusions- Worse than expected (STATE)","Infection- Better than expected (STATE)","Infection- As expected (STATE)","Infection- Worse than expected (STATE)","Percentage of adult HD patients with Kt/V>=1.2","Percentage Of Adult PD Patients With Kt/V>=1.7","Percentage Of Pediatric HD Patients With Kt/V>=1.2","Percentage Of Pediatric PD Patients With Kt/V>=1.8","Percentage Of Pediatric HD Patients With nPCR In Use","Fistula Rate - Better Than Expected (STATE)","Fistula Rate - As Expected (STATE)","Fistula Rate - Worse Than Expected (STATE)","Percentage Of Adult Patients With Long Term Catheter In Use","Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 Mg/dL)","Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 3.5-4.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 4.6-5.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 5.6-7.0 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 Mg/dL","Hospitalizations- Better Than Expected (STATE)","Hospitalizations- As Expected (STATE)","Hospitalizations- Worse Than Expected (STATE)","Hospital Readmission - Better Than Expected (STATE)","Hospital Readmission - As Expected (STATE)","Hospital  Readmission - Worse Than Expected (STATE)","Survival- Better Than Expected (STATE)","Survival- As Expected (STATE)","Survival- Worse Than Expected (STATE)","Incident Patients Transplant Waitlisting- Better Than Expected (STATE)","Incident Patients Transplant Waitlisting - As Expected (STATE)","Incident Patients Transplant Waitlisting - Worse Than Expected (STATE)","Prevalent Patients Transplant Waitlisting- Better Than Expected (STATE)","Prevalent Patients Transplant Waitlisting - As Expected (STATE)","Prevalent Patients Transplant Waitlisting - Worse Than Expected (STATE)","Percentage Of Patients With Hgb<10 g/dL","Percentage of patients with Hgb>12 g/dL"
AK,0,7,1,3,6,0,98,93,100,100,75,1,8,0,12,1,9,26,26,23,17,0,9,0,0,7,0,0,9,0,1,2,1,1,8,0,19,0
AL,0,133,10,39,116,0,96,95,91,82,90,8,146,15,11,1,7,21,28,25,19,3,168,1,8,156,3,3,162,4,2,69,3,2,171,2,22,0
AR,0,41,16,24,35,0,96,91,100,95,100,1,60,5,20,2,6,20,29,24,21,2,61,3,1,62,2,1,62,2,0,37,3,0,58,7,21,1
AS,0,2,0,0,0,0,,,,,,1,0,1,,,,,,,,0,2,0,0,2,0,0,2,0,0,0,1,0,1,1,,
AZ,0,99,3,50,68,0,97,95,99,91,99,4,118,0,15,1,8,23,29,22,18,0,120,3,3,119,0,1,115,6,0,83,11,0,120,5,18,0
CA,2,596,15,290,298,1,97,89,87,61,94,44,591,11,15,2,7,24,31,22,16,15,676,6,17,645,15,11,647,23,52,400,34,176,539,0,16,1
CO,0,52,4,20,52,1,98,91,98,69,100,9,71,0,13,1,7,24,31,23,15,0,80,0,3,72,1,2,75,1,5,35,0,4,77,0,20,1
CT,0,41,5,13,34,0,96,95,95,100,90,7,39,1,15,3,8,24,33,22,14,0,46,2,0,46,1,3,45,0,1,26,0,5,43,0,17,0
DC,0,18,0,6,13,0,97,80,93,92,96,0,19,0,12,3,9,23,30,22,16,0,20,0,0,19,0,2,16,1,1,11,1,0,18,2,24,0
DE,0,23,1,13,12,0,98,94,83,38,78,0,29,1,14,1,8,24,29,24,15,1,27,1,2,28,0,0,28,0,0,6,0,1,28,0,21,0
FL,0,343,47,149,258,2,96,92,93,53,93,6,444,34,19,3,7,24,32,22,16,1,415,67,5,437,38,3,443,20,6,265,15,2,483,18,22,0
GA,0,269,16,106,198,5,95,92,86,69,68,0,314,22,15,2,8,23,29,23,17,2,344,10,5,334,12,1,322,24,6,180,6,4,347,6,22,0
