"STATE","Lower box percent of patients-nephrologists' communication and caring","Middle box percent of patients-nephrologists' communication and caring","Top box percent of patients-nephrologists' communication and caring","Linearized score of nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients- providing information to patients","Linearized score of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","Survey response rate"
AK,13,15,72,85,17,17,66,81,17,83,83,10,21,69,88,8,22,70,89,11,14,75,89,189,26
AL,18,15,67,81,20,19,61,79,22,78,78,15,25,60,84,13,27,60,85,13,21,66,86,2965,23
AR,17,15,68,82,19,21,60,79,19,81,81,12,27,61,85,11,30,59,85,13,24,63,86,1443,23
AS,,,,,,,,,,,,,,,,,,,,,,,,,0
AZ,22,17,61,77,20,21,59,77,22,78,78,19,27,54,81,15,25,60,84,15,20,65,85,2849,20
CA,18,15,67,81,17,19,64,81,21,79,79,14,25,61,85,10,23,67,87,10,19,71,88,20896,22
CO,16,16,68,82,17,20,63,80,20,80,80,13,26,61,85,11,24,65,86,12,18,70,87,1349,23
CT,20,16,64,79,19,19,62,79,20,80,80,16,27,57,83,13,24,63,86,13,20,67,87,1293,23
DC,19,14,67,81,25,20,55,74,24,76,76,13,28,59,84,17,31,52,82,18,25,57,83,441,19
DE,19,16,65,80,20,19,61,79,21,79,79,19,26,55,81,15,26,59,84,14,23,63,85,580,25
FL,19,14,67,81,18,18,64,80,21,79,79,14,24,62,85,12,23,65,86,12,20,68,87,9042,22
GA,19,15,66,80,21,19,60,78,23,77,77,15,27,58,84,15,28,57,84,15,24,61,85,6056,21
GU,39,18,43,63,23,17,60,77,30,70,70,35,35,30,69,15,28,57,84,13,22,65,86,304,23
HI,17,15,68,82,15,18,67,83,20,80,80,13,25,62,85,8,19,73,89,8,15,77,91,1646,28
IA,15,18,67,82,14,20,66,83,16,84,84,12,25,63,85,9,21,70,88,8,18,74,89,895,28
ID,14,14,72,85,13,19,68,84,18,82,82,11,20,69,88,6,21,73,90,7,18,75,91,406,25
IL,18,16,66,81,16,20,64,81,22,78,78,14,27,59,84,10,24,66,87,11,19,70,88,5552,22
IN,19,16,65,80,16,20,64,81,19,81,81,14,27,59,84,10,25,65,87,11,19,70,87,3081,25
KS,14,13,73,85,14,20,66,83,17,83,83,8,24,68,88,7,21,72,89,8,17,75,90,979,25
KY,15,15,70,83,15,19,66,82,18,82,82,13,24,63,86,10,21,69,88,9,18,73,89,1743,23
LA,18,12,70,82,20,17,63,79,21,79,79,14,24,62,85,14,25,61,85,14,20,66,86,2957,22
MA,16,15,69,83,16,19,65,81,20,80,80,12,26,62,86,10,22,68,87,10,18,72,88,2106,24
MD,18,16,66,81,21,21,58,77,24,76,76,14,28,58,83,15,28,57,83,16,23,61,84,3233,22
ME,15,18,67,82,15,20,65,82,17,83,83,12,25,63,86,8,18,74,90,8,17,75,90,450,31
MI,18,15,67,81,17,20,63,80,21,79,79,14,26,60,84,11,26,63,86,11,22,67,87,4848,25
MN,15,16,69,83,15,19,66,82,17,83,83,13,29,58,84,9,23,68,88,8,19,73,89,1499,24
MO,17,15,68,82,17,19,64,81,19,81,81,13,25,62,85,11,25,64,86,12,19,69,87,2468,24
MP,19,12,69,82,23,13,64,79,22,78,78,15,27,58,85,18,20,62,84,16,11,73,88,112,34
MS,22,12,66,79,23,17,60,77,23,77,77,17,26,57,83,16,27,57,83,15,23,62,85,2046,21
MT,16,14,70,83,15,17,68,83,20,80,80,13,23,64,87,8,23,69,89,9,17,74,90,285,26
NC,20,15,65,80,21,19,60,78,21,79,79,16,28,56,83,14,28,58,84,14,22,64,85,5762,23
ND,17,15,68,82,12,16,72,86,17,83,83,10,29,61,86,5,22,73,91,4,19,77,93,233,23
NE,17,17,66,81,16,20,64,81,18,82,82,15,27,58,83,11,23,66,86,10,18,72,88,561,26
NH,20,19,61,78,15,21,64,81,20,80,80,18,27,55,82,9,21,70,87,10,19,71,88,433,30
NJ,17,15,68,82,16,18,66,82,20,80,80,13,25,62,85,9,23,68,88,9,19,72,89,4488,23
NM,23,15,62,77,21,18,61,77,22,78,78,20,27,53,80,14,22,64,85,13,18,69,87,1004,21
NV,23,17,60,76,16,20,64,81,21,79,79,20,30,50,80,9,26,65,87,11,21,68,87,1379,20
NY,19,15,66,80,18,19,63,80,24,76,76,15,27,58,84,11,26,63,86,12,22,66,86,8708,23
OH,18,15,67,81,15,19,66,82,18,82,82,14,26,60,84,10,23,67,87,10,19,71,88,4931,23
OK,16,14,70,83,16,19,65,81,19,81,81,12,24,64,87,10,24,66,87,9,19,72,89,1470,20
OR,17,17,66,81,18,21,61,79,21,79,79,14,26,60,84,12,25,63,85,13,18,69,86,1449,24
PA,18,16,66,81,16,19,65,81,20,80,80,15,27,58,84,10,23,67,87,10,19,71,88,5871,25
PR,15,16,69,83,16,20,64,81,14,86,86,13,21,66,86,11,18,71,88,12,14,74,88,2555,28
RI,12,16,72,85,10,17,73,87,18,82,82,10,27,63,87,5,15,80,92,6,13,81,93,385,26
SC,20,15,65,79,21,19,60,78,21,79,79,16,27,57,83,14,27,59,84,14,22,64,85,2961,22
SD,13,13,74,86,14,18,68,83,19,81,81,10,20,70,88,8,15,77,90,8,12,80,91,260,20
TN,21,15,64,78,18,19,63,80,19,81,81,18,27,55,82,12,26,62,86,12,22,66,87,3240,22
TX,18,14,68,82,18,18,64,80,20,80,80,14,25,61,85,11,25,64,86,11,19,70,88,14338,20
UT,18,16,66,80,13,18,69,84,18,82,82,14,27,59,83,7,19,74,90,6,15,79,91,668,24
VA,20,16,64,79,18,20,62,79,21,79,79,15,29,56,83,12,26,62,85,12,22,66,86,4173,25
VI,36,15,49,65,20,20,60,79,38,62,62,28,37,35,71,14,39,47,80,20,27,53,80,85,27
VT,18,14,68,79,9,16,75,87,17,83,83,17,21,62,81,3,16,81,92,4,10,86,93,128,28
WA,13,14,73,85,15,20,65,82,18,82,82,10,22,68,88,9,23,68,88,8,20,72,89,2259,21
WI,17,16,67,81,16,19,65,81,18,82,82,14,27,59,84,11,22,67,87,12,17,71,88,2247,25
WV,19,16,65,79,15,18,67,83,17,83,83,18,23,59,83,10,23,67,88,10,17,73,90,715,25
WY,14,13,73,85,12,20,68,84,21,79,79,9,26,65,87,7,22,71,89,8,15,77,91,112,21
