State,Survival- Better Than Expected (STATE),Survival- As Expected (STATE),Survival- Worse Than Expected (STATE),Hospitalizations- Better Than Expected (STATE),Hospitalizations- As Expected (STATE),Hospitalizations- Worse Than Expected (STATE),Hospital Readmission - Better Than Expected (STATE),Hospital Readmission - As Expected (STATE),Hospital  Readmission - Worse Than Expected (STATE),Transfusions- Better than expected (STATE),Transfusions- As expected (STATE),Transfusions- Worse than expected (STATE),Infection- Better than expected (STATE),Infection- As expected (STATE),Infection- Worse than expected (STATE),Percentage of adult HD patients with Kt/V>=1.2,Percentage Of Adult PD Patients With Kt/V>=1.7,Percentage Of Pediatric HD Patients With Kt/V>=1.2,Percentage Of Pediatric PD Patients With Kt/V>=1.8,Percentage Of Pediatric HD Patients With nPCR In Use,Fistula Rate - Better Than Expected (STATE),Fistula Rate - As Expected (STATE),Fistula Rate - Worse Than Expected (STATE),Percentage Of Adult Patients With Long Term Catheter In Use,Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 Mg/dL),Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 3.5-4.5 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 4.6-5.5 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 5.6-7.0 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 Mg/dL,Incident Patients Transplant Waitlisting- Better Than Expected (STATE),Incident Patients Transplant Waitlisting - As Expected (STATE),Incident Patients Transplant Waitlisting - Worse Than Expected (STATE),Prevalent Patients Transplant Waitlisting- Better Than Expected (STATE),Prevalent Patients Transplant Waitlisting - As Expected (STATE),Prevalent Patients Transplant Waitlisting - Worse Than Expected (STATE),Percentage Of Patients With Hgb<10 g/dL,Percentage of patients with Hgb>12 g/dL,SEDR - Better Than Expected (STATE),SEDR - As Expected (STATE),SEDR - Worse Than Expected (STATE),ED30 - Better Than Expected (STATE),ED30 - As Expected (STATE),ED30 - Worse Than Expected (STATE)
AK,0,8,0,1,7,0,0,7,0,1,6,1,3,5,0,98,95,,,,2,6,0,14,1,9,25,27,22,17,1,2,0,1,7,0,17,0,0,5,3,0,8,0
AL,1,165,3,3,165,4,4,162,2,0,108,15,57,99,1,97,94,96,88,96,5,149,15,11,1,8,21,27,25,19,2,65,3,4,169,2,25,0,0,165,4,2,160,3
AR,1,62,2,4,60,2,0,63,1,0,49,5,32,28,1,96,90,93,87,87,3,57,5,22,1,7,21,26,25,21,1,36,3,0,58,6,22,1,0,56,8,1,59,3
AS,0,2,0,0,2,0,0,2,0,1,1,0,0,1,0,,,,,,1,0,1,,,,,,,,0,0,1,0,1,1,,,0,0,2,0,2,0
AZ,0,118,4,0,122,2,4,113,4,0,98,4,59,62,0,97,93,96,84,99,6,115,0,16,1,8,23,28,23,17,0,85,9,0,117,7,19,0,3,110,8,5,111,5
CA,12,657,17,14,674,9,8,662,17,5,601,20,346,238,2,96,88,85,69,90,50,591,9,16,2,8,24,29,23,16,29,425,32,168,549,2,17,1,4,644,25,16,642,15
CO,0,75,1,1,76,0,2,72,0,0,50,3,20,51,0,97,91,83,78,99,12,68,0,15,1,8,24,29,23,16,5,28,0,3,77,1,21,1,0,71,4,1,69,2
CT,2,46,0,0,47,1,1,46,1,1,44,1,17,30,0,97,94,95,83,98,8,38,1,16,2,9,25,31,23,13,2,22,0,6,42,0,18,0,0,46,2,0,45,3
DC,0,18,0,0,18,0,1,16,0,0,16,0,7,9,0,96,91,91,84,94,0,17,0,13,3,9,24,29,22,15,0,11,0,1,16,1,27,1,0,17,0,0,17,0
DE,1,26,2,0,29,0,1,28,0,0,25,1,6,21,0,98,93,,52,67,0,30,0,16,1,8,25,28,24,15,1,5,0,1,29,0,20,0,0,29,0,1,28,0
FL,2,334,16,0,315,48,2,336,21,0,239,29,135,165,1,96,91,90,63,89,4,456,26,21,3,8,24,30,22,16,4,188,9,3,489,16,24,0,0,342,6,19,327,3
GA,0,322,22,1,331,16,2,324,14,0,241,22,138,148,4,95,91,94,59,90,0,316,14,16,2,8,23,27,24,17,5,185,4,4,341,7,24,0,0,316,18,4,328,6
GU,0,5,0,0,5,0,1,4,0,0,5,0,5,0,0,98,97,100,67,100,0,6,0,13,4,5,16,22,29,28,0,0,5,0,2,4,19,0,0,5,0,0,4,1
HI,5,31,0,5,31,0,3,31,0,0,30,0,11,22,2,98,98,100,100,98,0,37,0,11,1,8,25,28,24,15,0,19,4,1,33,2,13,0,0,32,3,0,30,3
IA,0,60,2,3,59,0,1,48,0,0,43,2,12,49,0,98,95,100,79,100,1,60,0,20,2,7,24,29,25,15,2,19,1,0,60,0,15,0,0,54,7,0,53,5
ID,0,26,2,3,25,0,0,25,0,0,25,0,11,14,0,99,96,,76,,0,27,0,19,1,8,24,27,24,17,1,11,0,0,27,0,15,0,0,27,1,0,25,2
IL,20,298,7,2,305,17,6,291,14,0,236,15,119,145,1,96,91,96,87,99,4,265,20,22,2,8,25,29,23,15,4,138,0,9,306,10,24,0,0,301,12,9,306,5
IN,4,151,2,2,154,3,1,152,3,0,116,7,48,101,0,96,94,92,89,92,3,150,5,19,1,8,25,28,23,16,2,59,8,1,146,9,24,0,0,145,11,1,151,4
KS,2,53,3,0,57,1,4,52,0,0,46,0,8,46,1,98,94,100,,100,6,51,0,12,2,8,22,27,25,18,0,21,0,0,48,8,18,0,0,50,8,0,55,3
KY,2,110,3,2,112,1,1,110,1,0,66,9,35,70,1,97,94,80,28,84,0,112,1,15,1,7,22,28,24,18,1,39,0,2,108,5,22,0,0,109,5,3,104,6
LA,1,156,10,1,165,3,5,156,6,0,115,9,53,98,1,98,94,91,79,89,3,164,1,15,1,8,23,28,24,17,4,55,0,1,166,3,22,0,0,136,26,0,152,12
MA,3,75,1,0,77,4,0,73,5,0,72,4,36,36,1,97,88,99,100,87,3,76,0,19,2,7,25,29,23,15,10,26,0,46,35,0,23,0,0,79,0,2,76,0
MD,5,149,12,0,162,3,3,157,0,0,143,10,64,83,0,96,90,96,89,100,0,155,5,19,3,9,24,30,22,15,2,76,1,8,146,3,24,0,0,159,4,4,158,1
ME,0,20,0,2,18,0,0,20,0,0,17,2,8,10,1,97,93,,0,100,0,20,0,18,2,7,23,31,24,16,1,4,0,2,18,0,17,0,0,17,3,0,17,3
MI,10,200,1,1,195,18,8,195,6,0,174,14,77,110,2,96,92,85,81,99,5,180,18,18,1,7,24,31,23,15,3,99,7,2,204,9,23,0,1,203,7,11,196,3
MN,3,107,1,1,108,3,1,100,0,0,73,0,20,85,0,98,93,100,93,99,3,107,0,19,1,8,24,28,23,17,2,25,1,7,100,1,20,1,1,105,5,2,96,5
MO,3,139,3,0,141,9,4,143,1,0,115,8,42,85,2,96,93,95,92,89,0,136,6,18,2,8,23,27,25,18,2,62,0,1,145,5,23,0,0,143,2,4,142,1
MP,0,2,0,1,1,0,0,2,0,1,1,0,0,1,0,89,93,100,,100,0,2,1,16,6,9,11,27,29,25,0,0,1,0,0,3,79,0,0,2,0,0,2,0
MS,0,90,5,5,90,1,2,89,0,0,72,15,38,41,3,98,94,98,55,99,6,80,5,16,1,9,24,28,23,16,1,46,6,2,92,2,28,0,0,73,21,0,85,9
MT,0,17,0,0,17,0,1,14,0,0,13,0,5,12,0,96,92,100,0,100,0,17,0,20,2,7,21,26,26,21,0,7,0,0,17,0,13,2,0,15,2,0,16,0
NC,2,234,7,5,238,1,10,229,2,0,189,15,78,154,1,97,93,98,86,100,15,225,2,16,1,8,22,27,25,18,5,124,2,4,240,4,23,0,0,226,13,1,225,12
ND,0,14,0,0,14,0,3,10,0,0,13,1,1,9,1,95,90,100,70,50,1,13,0,19,1,9,25,27,25,14,2,6,0,0,14,0,33,0,0,12,2,0,14,0
NE,1,34,0,0,34,0,0,30,1,0,26,3,8,20,1,97,95,100,88,94,1,32,1,19,2,8,25,31,22,15,1,16,0,0,29,4,20,1,0,32,1,0,34,0
NH,0,17,1,0,18,0,0,17,1,0,14,2,4,14,0,97,92,100,,100,0,18,0,22,2,6,23,29,25,16,2,5,0,4,14,0,17,0,0,17,1,0,18,0
NJ,7,172,2,0,177,7,3,165,14,0,151,9,85,87,3,97,94,100,90,73,19,156,10,15,2,10,27,31,21,12,16,69,0,24,161,0,17,1,2,173,6,7,169,3
NM,1,50,4,1,55,0,4,52,0,0,47,2,24,27,0,97,90,79,86,100,5,50,0,19,1,8,23,28,24,17,0,25,6,1,56,2,21,1,1,47,7,0,53,2
NV,0,51,0,0,46,5,1,45,4,0,43,4,38,11,0,97,90,95,85,96,0,50,2,18,2,7,22,28,25,18,0,31,7,1,47,4,20,0,1,49,1,3,47,0
NY,26,278,6,1,307,11,5,291,19,0,226,25,120,128,9,94,89,83,87,83,49,267,18,18,3,10,25,29,23,13,28,139,0,55,269,4,24,1,15,282,5,21,284,3
OH,6,297,5,1,285,21,4,287,12,0,147,7,90,180,2,96,94,90,72,94,1,278,15,22,2,7,24,29,24,16,7,88,0,0,294,15,21,1,0,267,23,3,282,12
OK,2,77,3,0,79,4,1,80,2,0,70,4,32,43,0,97,93,85,79,84,5,75,0,19,2,7,21,27,25,20,1,50,1,0,74,9,22,0,0,67,14,1,75,5
OR,1,65,1,2,64,0,6,57,0,0,50,2,23,35,0,97,92,99,68,91,2,62,0,15,1,7,22,29,25,17,1,33,0,0,64,3,17,1,0,46,16,0,58,7
PA,18,278,4,1,291,7,9,271,13,0,187,14,97,170,9,96,90,62,70,68,3,284,3,19,2,8,25,29,23,14,14,79,0,37,261,1,21,0,0,283,4,13,269,6
PR,0,35,12,0,41,6,0,34,12,0,13,5,33,13,0,99,97,100,89,100,0,27,22,31,1,9,26,32,23,9,0,28,10,0,47,3,12,1,0,42,1,3,41,0
RI,0,16,0,0,16,0,0,16,0,0,12,0,4,12,0,97,90,100,38,100,0,16,0,17,1,6,22,29,25,18,3,3,0,5,11,0,29,0,0,16,0,0,16,0
SC,0,144,5,2,146,1,1,143,4,0,115,10,53,80,0,97,92,96,91,97,3,121,18,12,1,9,23,27,25,17,6,72,2,3,142,5,25,0,0,136,12,0,143,5
SD,5,19,1,1,24,0,0,20,1,0,16,3,1,18,0,96,96,100,100,100,2,22,0,17,1,9,27,29,22,13,2,3,0,2,21,0,25,0,2,18,5,2,20,1
TN,2,176,7,0,185,5,3,178,4,0,128,16,75,91,0,97,94,32,50,3,2,179,4,20,1,7,21,26,26,20,9,74,5,8,176,6,21,0,0,173,8,7,169,7
TX,4,667,24,4,649,62,10,667,26,0,520,40,269,369,5,97,91,92,85,94,23,661,12,16,2,8,23,28,23,18,20,426,18,18,695,15,19,0,0,661,30,8,657,24
UT,0,45,2,2,46,0,2,40,0,0,33,0,13,25,0,96,90,99,89,100,5,43,0,15,2,8,22,26,26,18,3,16,0,0,49,0,21,1,0,40,6,0,38,2
VA,1,188,7,3,196,2,3,193,1,0,161,8,78,104,0,97,92,93,67,91,10,180,7,19,2,8,24,29,23,16,9,82,1,8,192,3,22,0,0,167,28,2,176,15
VI,0,4,0,1,3,0,0,2,1,0,4,0,0,2,1,94,,,,,0,3,1,24,28,13,27,26,25,9,0,1,0,0,4,0,41,1,0,4,0,0,4,0
VT,1,6,0,0,7,0,0,8,0,0,5,1,1,6,0,98,64,,,,0,7,0,24,2,5,21,28,29,16,0,1,0,0,8,0,19,0,0,3,4,0,5,3
WA,0,99,2,5,96,1,4,92,2,0,85,3,29,66,3,97,94,100,85,99,11,91,0,17,2,7,20,27,26,20,1,54,2,2,99,2,17,1,0,91,9,0,87,12
WI,3,120,0,2,120,1,3,113,2,0,89,7,32,80,2,97,89,95,58,95,1,112,5,22,1,8,25,30,23,15,3,46,1,1,118,4,20,1,0,100,20,0,105,13
WV,1,37,1,0,36,3,0,39,0,0,27,2,18,20,0,98,94,,77,,0,38,1,27,2,8,23,26,24,19,1,11,1,0,38,1,26,0,0,35,4,1,37,2
WY,0,10,0,0,10,0,0,8,0,0,7,1,1,7,1,96,91,,,100,1,10,0,14,1,9,24,25,23,20,0,3,0,0,10,0,15,2,0,7,3,0,9,0
