"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Lists the number of facilities in the state with patient transfusions categorized as ""Better than expected""","Lists the number of facilities in the state with patient transfusions categorized as ""As expected""","Lists the number of facilities in the state with patient transfusions categorized as ""Worse than expected""","Percentage of adult HD patients with Kt/V >=1.2","Percentage of adult PD PTS with Kt/V >=1.7","Percentage of pediatric HD patients with Kt/V >=1.2","Percentage of patients with arteriovenous fistulae in place","Percentage of patients with vascular catheter in use for 90 days or longer","Lists the percentage of adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Lists the percentage of adult patients with serum phosphorus less than 3.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 3.5-4.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 4.6-5.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 5.6-7.0 mg/dL","Lists the percentage of adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected","Hospitalizations - As expected","Hospitalizations - Worse than expected","Number of facilities in the state with patient hospital readmissions categorized as "Better than expected"","Number of facilities in the state with patient hospital readmissions categorized as "As expected"","Number of facilities in the state with patient hospital readmissions categorized as "Worse than expected"","Survival - Better than expected","Survival - As expected","Survival - Worse than expected"
"AK","11","0","0","8","0","93","81","100","70","11","2","10","26","25","23","17","2","6","0","3","4","0","0","8","0"
"AL","14","0","0","136","5","92","85","94","58","7","3","9","25","30","22","14","5","148","1","5","143","2","9","132","10"
"AR","19","0","0","47","11","94","86","100","60","14","2","9","25","32","21","14","2","59","2","2","58","2","1","52","10"
"AS","","","1","0","0","69","","100","82","0","10","7","23","27","29","15","1","0","0","0","1","0","0","0","1"
"AZ","13","0","0","104","3","92","87","76","73","9","2","9","27","30","21","12","0","103","9","3","107","1","12","89","11"
"CA","12","0","8","513","23","94","83","80","66","10","2","10","28","33","19","11","12","511","46","7","550","16","66","445","52"
"CO","17","1","0","62","2","92","89","88","75","9","1","11","30","31","19","9","1","67","1","2","65","0","16","50","1"
"CT","14","1","1","40","1","96","88","100","65","10","1","10","27","32","20","10","1","42","0","1","40","2","4","39","0"
"DC","18","0","0","18","0","94","90","93","61","9","3","12","28","30","19","10","0","19","0","0","18","3","7","12","1"
"DE","11","0","0","19","1","90","84","0","64","8","2","10","26","28","23","13","0","21","0","1","21","1","3","17","2"
"FL","15","0","0","288","50","93","87","79","62","11","2","9","27","33","19","12","0","317","56","3","337","33","13","290","52"
