Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Patients Included in Hemoglobin Measure Score Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Patients Included in Hemoglobin Measure Score Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Hemodialysis  Measure Score Performance Period,Number of Kt/V Adult Hemodialysis Patient Months Performance Period,Kt/V Adult Hemodialysis Baseline Period Rate,Number of Kt/V Adult Hemodialysis  Patient Months Baseline Period,Kt/V Adult Hemodialysis Performance Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Peritoneal Dialysis Measure Score  Performance Period,Number of Kt/V Adult Peritoneal Dialysis Patient Months Performance Period,Kt/V Adult Peritoneal Dialysis Baseline Period Rate,Number of Kt/V Adult Peritoneal Dialysis Patient Months Baseline Period,Kt/V Adult Peritoneal Dialysis Performance Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Pediatric Hemodialysis  Measure Score Performance Period,Number of Kt/V Pediatric Hemodialysis Patient Months Performance Period,Kt/V Pediatric Hemodialysis Baseline Period Rate,Number of Kt/V Pediatric Hemodialysis Patient Months Baseline Period,Kt/V Pediatric Hemodialysis Performance Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,Fistula Measure Score,Fistula Performance Period Rate,Number of Patients Included in Fistula Measure Score  Performance Period,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of  Patients Included in Catheter Measure Score Performance Period,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,Total Performance Score,PY2015 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2013",Date of Ownership Record Update
FMC CAPITOL CITY,012500,,,,255 SOUTH JACKSON STREET,,MONTGOMERY,AL,36104,8,10,0%,75,0%,83,Achievement,7,94%,86,747,87%,772,Achievement,9,91%,17,78,73%,188,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,2,51%,71,773,49%,824,Achievement,6,11%,75,748,10%,765,Achievement,4,10,10,10,10,78,No reduction,09/01/1976,FRESENIUS MEDICAL CARE,03/05/2012
GADSDEN DIALYSIS,012501,,,,409 SOUTH FIRST STREET,,GADSDEN,AL,35901,8,10,0%,52,0%,65,Achievement,9,96%,70,553,97%,739,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,9,72%,59,581,71%,766,Achievement,9,6%,59,556,9%,750,Achievement,9,10,10,10,10,95,No reduction,09/01/1976,GAMBRO HEALTHCARE,12/11/2009
TUSCALOOSA UNIVERSITY DIALYSIS,012502,,,,220 15TH STREET,,TUSCALOOSA,AL,35401,8,10,0%,74,0%,81,Achievement,8,95%,102,876,97%,931,Achievement,N/A,Insufficient data,N/A,52,Insufficient data,49,N/A,N/A,Insufficient data,N/A,12,Insufficient data,4,N/A,8,1,47%,88,933,47%,965,Achievement,10,5%,88,878,4%,918,Achievement,6,10,10,10,10,85,No reduction,10/21/1977,GAMBRO HEALTHCARE,03/09/2010
PCD MONTGOMERY,012505,,,,1001 FOREST AVENUE,,MONTGOMERY,AL,36106,8,10,0%,85,0%,87,Achievement,10,97%,89,723,97%,866,Achievement,10,95%,33,269,95%,184,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,4,57%,78,761,52%,907,Achievement,8,7%,85,731,4%,870,Achievement,6,10,10,10,10,90,No reduction,12/14/1977,DAVITA,03/04/2014
DOTHAN DIALYSIS,012506,,,,216 GRACELAND DRIVE,,DOTHAN,AL,36305,8,8,1%,80,1%,77,Achievement,7,94%,82,601,95%,672,Achievement,9,92%,36,330,93%,299,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,4,59%,64,654,57%,731,Achievement,10,3%,71,628,4%,699,Achievement,7,10,10,10,10,83,No reduction,11/28/1977,GAMBRO HEALTHCARE,02/23/2010
FMC MOBILE,012507,,,,2620 OLD SHELL ROAD,,MOBILE,AL,36607,8,10,0%,66,0%,62,Achievement,2,88%,100,747,93%,744,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,2,1,48%,74,753,47%,723,Achievement,8,8%,79,715,5%,675,Achievement,5,10,10,10,10,68,No reduction,01/04/1979,FRESENIUS MEDICAL CARE,03/05/2012
BIRMINGHAM EAST DIALYSIS,012508,,,,1105 EAST PARK DRIVE,,BIRMINGHAM,AL,35235,8,10,0%,50,0%,63,Achievement,10,98%,62,523,97%,645,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,0,43%,52,571,49%,673,Achievement,8,8%,55,542,12%,634,Achievement,4,10,10,10,10,85,No reduction,06/28/1979,GAMBRO HEALTHCARE,06/04/2007
FMC NORTH ALABAMA,012509,,,,1311 NORTH MEMORIAL PARKWAY #200,,HUNTSVILLE,AL,35801,8,8,1%,70,1%,81,Achievement,1,86%,82,550,89%,607,Achievement,8,88%,34,255,84%,239,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,6,63%,75,723,67%,717,Achievement,8,7%,83,657,4%,664,Achievement,7,10,10,9,10,69,No reduction,07/16/1979,FRESENIUS MEDICAL CARE,09/27/2013
FMC SELMA,012512,,,,905 MEDICAL CENTER PARKWAY,,SELMA,AL,36701,8,10,0%,49,0%,48,Achievement,6,93%,67,508,95%,548,Achievement,N/A,Insufficient data,N/A,25,Insufficient data,11,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,0,43%,55,519,44%,562,Achievement,6,12%,58,496,13%,541,Achievement,3,10,10,10,10,73,No reduction,08/25/1980,FRESENIUS MEDICAL CARE,10/06/2008
FMC LANGDALE,012513,,,,8 MEDICAL PARK,,VALLEY,AL,36854,8,10,0%,44,2%,47,Achievement,5,91%,64,573,90%,580,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,10,90%,60,605,89%,599,Achievement,10,3%,61,571,3%,565,Achievement,10,10,10,10,10,88,No reduction,02/12/1981,FRESENIUS MEDICAL CARE,11/06/2013
FMC OPELIKA,012515,,,,2609 VILLAGE PROFESSIONAL DRIVE,STE 2,OPELIKA,AL,36801,8,10,0%,79,1%,78,Achievement,10,97%,89,796,94%,725,Achievement,10,96%,24,210,94%,202,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,84%,79,847,80%,757,Achievement,10,2%,82,806,4%,726,Achievement,10,10,10,10,10,100,No reduction,09/07/1982,FRESENIUS MEDICAL CARE,03/29/2012
