"State","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility"
"AK","14","17","69","13","24","63","18","82","17","18","65","9","23","68","9","17","74"
"AL","19","15","66","20","20","60","22","78","16","23","61","15","25","60","14","23","63"
"AR","18","17","65","19","21","60","20","80","16","23","61","15","26","59","13","24","63"
"AS","57","11","32","27","20","53","36","64","57","17","26","21","43","36","14","46","40"
"AZ","20","18","62","18","22","60","22","78","19","24","57","13","25","62","12","22","66"
"CA","17","17","66","16","22","62","22","78","15","22","63","11","24","65","10","22","68"
"CO","13","17","70","14","22","64","18","82","13","20","67","11","21","68","9","19","72"
"CT","19","18","63","17","22","61","21","79","16","25","59","13","25","62","11","24","65"
"DC","16","17","67","26","22","52","25","75","15","25","60","19","34","47","20","32","48"
"DE","18","18","64","18","23","59","23","77","18","27","55","14","29","57","12","28","60"
"FL","17","16","67","17","20","63","21","79","15","21","64","13","23","64","12","22","66"
"GA","17","15","68","20","21","59","23","77","14","22","64","15","27","58","14","24","62"
"GU","36","19","45","28","20","52","30","70","33","31","36","22","34","44","18","32","50"
"HI","14","14","72","14","23","63","22","78","11","20","69","10","23","67","7","22","71"
"IA","16","18","66","13","22","65","18","82","13","22","65","10","20","70","9","19","72"
"ID","16","17","67","12","21","67","17","83","12","22","66","9","17","74","7","16","77"
"IL","19","17","64","18","22","60","23","77","17","24","59","14","26","60","12","25","63"
"IN","17","19","64","17","23","60","19","81","16","25","59","13","26","61","13","24","63"
"KS","16","17","67","15","23","62","18","82","14","21","65","12","24","64","12","20","68"
"KY","16","17","67","17","21","62","20","80","15","23","62","12","24","64","13","22","65"
"LA","18","16","66","20","20","60","24","76","17","22","61","15","27","58","15","24","61"
"MA","14","17","69","14","21","65","19","81","12","21","67","9","24","67","9","21","70"
"MD","17","17","66","18","24","58","23","77","16","25","59","14","27","59","13","26","61"
"ME","13","18","69","13","19","68","17","83","11","24","65","8","18","74","8","20","72"
"MI","17","18","65","16","23","61","21","79","16","24","60","13","25","62","12","23","65"
"MN","13","17","70","12","22","66","16","84","13","24","63","9","23","68","9","19","72"
"MO","16","16","68","15","20","65","19","81","13","22","65","11","22","67","9","21","70"
"MP","69","8","23","25","17","58","33","67","63","15","22","17","26","57","7","29","64"
"MS","22","14","64","23","19","58","24","76","19","23","58","17","27","56","16","24","60"
"MT","10","14","76","12","21","67","16","84","9","17","74","9","19","72","7","18","75"
"NC","20","17","63","21","22","57","22","78","18","23","59","17","27","56","15","25","60"
"ND","17","17","66","11","20","69","17","83","17","23","60","6","20","74","3","17","80"
"NE","16","19","65","14","21","65","19","81","14","24","62","10","23","67","9","20","71"
"NH","18","21","61","13","25","62","19","81","17","25","58","9","23","68","8","24","68"
"NJ","16","17","67","17","22","61","22","78","14","22","64","12","25","63","11","23","66"
"NM","24","17","59","22","22","56","23","77","22","25","53","19","22","59","16","21","63"
"NV","25","18","57","16","20","64","21","79","24","25","51","13","22","65","12","19","69"
"NY","18","17","65","19","21","60","26","74","16","24","60","14","27","59","13","26","61"
"OH","16","18","66","15","22","63","20","80","15","22","63","12","23","65","11","22","67"
"OK","13","17","70","14","22","64","19","81","13","19","68","11","20","69","10","19","71"
"OR","15","18","67","13","22","65","18","82","12","23","65","9","23","68","8","20","72"
"PA","17","18","65","16","22","62","20","80","16","23","61","12","23","65","11","23","66"
"PR","18","20","62","18","24","58","18","82","18","19","63","15","22","63","16","22","62"
"RI","13","16","71","10","18","72","19","81","12","18","70","6","17","77","5","16","79"
"SC","19","16","65","21","20","59","23","77","16","22","62","15","26","59","14","23","63"
"SD","11","16","73","12","18","70","17","83","9","16","75","10","14","76","9","14","77"
"TN","21","16","63","18","20","62","20","80","19","23","58","13","25","62","12","24","64"
"TX","17","16","67","19","21","60","22","78","16","21","63","14","25","61","13","22","65"
"UT","13","18","69","13","20","67","22","78","12","20","68","9","18","73","8","17","75"
"VA","19","19","62","19","23","58","22","78","17","27","56","15","28","57","14","26","60"
"VI","20","19","61","18","24","58","26","74","19","23","58","14","26","60","11","28","61"
"VT","17","22","61","11","19","70","18","82","21","23","56","4","15","81","4","16","80"
"WA","11","16","73","13","22","65","18","82","10","20","70","9","21","70","8","19","73"
"WI","16","19","65","15","22","63","18","82","17","23","60","12","24","64","11","21","68"
"WV","17","18","65","15","23","62","21","79","15","23","62","13","22","65","12","23","65"
"WY","18","16","66","15","22","63","20","80","17","22","61","14","29","57","10","31","59"
