"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Lists the number of facilities in the state with patient transfusions categorized as ""Better than expected""","Lists the number of facilities in the state with patient transfusions categorized as ""As expected""","Lists the number of facilities in the state with patient transfusions categorized as ""Worse than expected""","Percentage of adult HD patients with Kt/V >=1.2","Percentage of adult PD PTS with Kt/V >=1.7","Percentage of pediatric HD patients with Kt/V >=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of patients with arteriovenous fistulae in place","Percentage of patients with vascular catheter in use for 90 days or longer","Lists the percentage of adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Lists the percentage of adult patients with serum phosphorus less than 3.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 3.5-4.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 4.6-5.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 5.6-7.0 mg/dL","Lists the percentage of adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected","Hospitalizations - As expected","Hospitalizations - Worse than expected","Number of facilities in the state with patient hospital readmissions categorized as "Better than expected"","Number of facilities in the state with patient hospital readmissions categorized as "As expected"","Number of facilities in the state with patient hospital readmissions categorized as "Worse than expected"","Survival - Better than expected","Survival - As expected","Survival - Worse than expected"
"AK","15","0","0","8","0","97","82","100","100","72","12","1","10","26","26","22","16","3","5","0","1","6","0","2","6","0"
"AL","15","0","0","149","3","93","87","97","69","60","8","2","9","25","29","23","14","6","153","2","5","151","1","13","134","10"
"AR","20","0","0","49","10","92","83","87","86","63","14","1","8","24","29","23","15","3","60","1","3","58","0","1","53","10"
"AS","","","1","0","0","83","","","","83","0","8","9","24","23","28","16","1","0","0","0","1","0","0","1","0"
"AZ","12","0","0","98","5","93","83","80","82","75","9","1","9","26","29","22","13","1","101","11","1","107","2","14","87","11"
"CA","12","0","8","542","17","92","81","82","30","69","10","1","10","27","31","21","11","15","540","41","12","568","14","62","494","40"
"CO","18","1","0","59","2","94","88","98","48","76","9","1","11","28","30","21","10","1","71","1","3","65","1","12","59","1"
"CT","16","0","0","42","0","94","88","76","16","68","10","1","10","27","31","22","11","1","43","0","1","40","3","9","35","0"
"DC","22","0","0","17","1","92","77","71","47","65","8","2","12","27","29","22","11","0","20","0","1","20","0","6","14","1"
"DE","15","0","0","20","0","94","86","83","48","65","8","1","9","26","29","22","13","1","21","0","0","23","0","2","20","1"
"FL","17","0","0","282","63","92","86","96","62","64","12","1","9","26","31","21","12","0","323","71","2","369","22","14","317","48"
"GA","16","0","0","278","14","92","84","89","38","63","8","1","10","26","30","22","13","0","312","4","3","302","8","9","282","14"
"GU","9","0","0","4","0","94","43","100","42","73","10","1","7","20","24","27","22","3","1","0","0","4","0","0","1","3"
"HI","11","0","0","23","0","97","91","97","33","69","9","1","9","25","29","24","13","0","25","0","1","22","0","3","22","0"
"IA","21","0","0","48","0","95","86","81","78","69","14","1","9","27","30","22","12","0","65","0","1","52","0","3","62","1"
"ID","14","0","0","22","0","95","91","80","31","73","10","1","10","29","31","20","11","0","25","0","1","24","0","2","22","2"
"IL","18","0","0","223","10","93","83","85","40","65","13","1","10","27","30","22","12","0","249","10","3","242","9","34","212","13"
"IN","18","0","0","134","3","94","88","87","77","63","14","1","10","27","29","22","12","0","146","2","1","136","9","7","134","3"
"KS","16","0","1","42","2","93","86","89","100","72","8","1","9","26","31","21","13","0","48","1","1","46","0","3","45","1"
"KY","19","0","0","91","8","93","89","91","60","66","11","1","9","26","29","23","14","0","107","3","1","105","4","6","99","5"
"LA","15","0","0","130","16","94","87","93","76","62","10","2","9","25","29","24","14","0","151","3","4","146","1","4","131","18"
