"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of adult HD patients with Kt/V >=1.2","Percentage of adult PD PTS with Kt/V >=1.7","Percentage of pediatric HD patients with Kt/V >=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of patients with arteriovenous fistulae in use","Percentage of patients with vascular catheter in use for 90 days or longer","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected (State)","Hospitalizations - As expected (State)","Hospitalizations - Worse than expected (State)","Hospital Readmission - Better than expected (State)","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival - Better than expected (State)","Survival - As expected (State)","Survival - Worse than expected (State)"
"AK","13","0","0","8","0","97","88","","100","73","11","1","11","25","27","22","15","3","5","0","1","6","0","2","6","0"
"AL","16","0","0","149","3","94","89","96","71","60","8","1","9","25","29","23","14","6","153","2","5","151","1","13","134","10"
"AR","19","0","0","49","10","93","87","98","88","64","14","1","8","23","30","23","16","3","60","1","3","58","0","1","53","10"
"AS","","","1","0","0","84","","100","","80","0","11","12","24","26","26","12","1","0","0","0","1","0","0","1","0"
"AZ","13","0","0","98","5","95","88","95","90","75","9","1","10","26","29","22","13","1","101","11","1","107","2","14","87","11"
"CA","13","0","8","541","17","93","84","87","36","69","10","1","9","27","31","21","12","15","540","40","12","568","13","62","494","39"
"CO","18","0","0","59","2","95","87","100","49","76","9","1","10","27","30","22","11","1","71","1","3","65","1","12","59","1"
"CT","15","0","0","41","0","95","91","100","33","68","10","1","9","27","31","21","11","1","42","0","1","39","3","9","34","0"
"DC","24","0","0","17","1","93","78","73","41","66","9","1","12","26","28","22","12","0","20","0","1","20","0","6","14","1"
"DE","17","0","0","20","0","93","89","79","29","65","8","1","9","26","29","23","13","1","21","0","0","23","0","2","20","1"
"FL","19","0","0","281","63","93","88","96","52","64","11","1","9","26","32","21","12","0","322","71","2","368","22","14","317","47"
"GA","17","0","0","276","14","93","86","93","38","64","9","1","10","26","30","22","13","0","310","4","3","300","8","9","281","13"
"GU","11","0","0","4","0","94","39","100","41","73","10","1","7","19","25","27","22","3","1","0","0","4","0","0","1","3"
"HI","12","0","0","23","0","97","91","97","12","69","8","1","8","26","29","24","13","0","25","0","1","22","0","3","22","0"
"IA","20","0","0","48","0","95","89","92","88","69","14","1","9","27","31","22","12","0","64","0","1","52","0","3","61","1"
"ID","14","0","0","22","0","96","92","74","32","73","9","1","9","28","31","20","12","0","25","0","1","24","0","2","22","2"
"IL","18","0","0","223","10","95","85","83","40","65","12","1","9","27","30","22","12","0","249","10","3","242","9","34","211","13"
"IN","18","0","0","134","3","95","91","94","75","63","13","1","10","27","29","22","12","0","146","2","1","136","9","7","134","3"
"KS","16","0","1","42","2","94","89","81","100","73","7","1","9","25","31","21","14","0","48","1","1","46","0","3","45","1"
