"State","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility"
"AK","13","17","70","15","22","63","19","81","13","20","67","8","24","68","9","15","76"
"AL","18","15","67","20","20","60","21","79","14","24","62","13","26","61","12","24","64"
"AR","20","16","64","19","21","60","19","81","16","25","59","15","25","60","14","24","62"
"AS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AZ","20","17","63","19","20","61","21","79","19","24","57","13","25","62","12","21","67"
"CA","17","16","67","17","21","62","22","78","14","24","62","11","25","64","10","21","69"
"CO","14","16","70","16","20","64","18","82","13","21","66","11","22","67","10","18","72"
"CT","18","17","65","17","21","62","20","80","16","26","58","11","25","64","10","23","67"
"DC","17","15","68","26","22","52","25","75","15","26","59","20","34","46","22","31","47"
"DE","20","18","62","21","21","58","23","77","19","29","52","15","27","58","14","25","61"
"FL","17","15","68","17","20","63","20","80","14","22","64","12","24","64","11","22","67"
"GA","17","15","68","21","20","59","22","78","14","23","63","15","27","58","14","24","62"
"GU","34","19","47","27","22","51","28","72","30","35","35","19","37","44","18","28","54"
"HI","14","14","72","16","21","63","21","79","12","21","67","10","26","64","9","21","70"
"IA","17","16","67","14","21","65","17","83","13","22","65","10","20","70","10","16","74"
"ID","15","16","69","13","18","69","17","83","12","23","65","9","15","76","8","14","78"
"IL","19","17","64","18","21","61","23","77","17","25","58","13","27","60","13","23","64"
"IN","18","18","64","18","23","59","19","81","16","26","58","13","27","60","14","23","63"
"KS","15","17","68","15","22","63","18","82","14","22","64","11","24","65","11","19","70"
"KY","17","16","67","18","20","62","19","81","14","25","61","13","23","64","13","21","66"
"LA","18","14","68","20","19","61","22","78","15","24","61","14","27","59","13","24","63"
"MA","15","16","69","15","20","65","18","82","12","23","65","9","23","68","9","20","71"
"MD","18","16","66","20","22","58","22","78","15","27","58","14","28","58","14","25","61"
"ME","15","17","68","12","20","68","15","85","13","24","63","6","19","75","8","17","75"
"MI","17","17","66","17","21","62","20","80","15","26","59","12","26","62","12","22","66"
"MN","13","17","70","13","21","66","16","84","13","24","63","9","22","69","8","19","73"
"MO","16","16","68","16","20","64","19","81","13","24","63","11","23","66","10","20","70"
"MP","70","7","23","26","16","58","31","69","65","17","18","16","28","56","5","26","69"
"MS","22","13","65","23","18","59","23","77","18","25","57","17","27","56","15","23","62"
"MT","12","15","73","13","22","65","15","85","10","19","71","10","22","68","8","19","73"
"NC","20","17","63","22","21","57","21","79","17","25","58","16","28","56","15","24","61"
"ND","19","15","66","13","18","69","16","84","17","21","62","8","15","77","5","14","81"
"NE","17","19","64","15","21","64","18","82","15","27","58","10","24","66","9","20","71"
"NH","18","19","63","13","23","64","17","83","18","26","56","9","26","65","9","24","67"
"NJ","16","16","68","17","20","63","20","80","13","24","63","11","25","64","10","22","68"
"NM","25","18","57","23","21","56","23","77","23","27","50","17","25","58","15","22","63"
"NV","26","17","57","17","18","65","21","79","24","27","49","12","21","67","11","18","71"
"NY","19","15","66","19","21","60","25","75","15","26","59","13","27","60","13","25","62"
"OH","17","16","67","16","21","63","19","81","14","24","62","12","24","64","11","21","68"
"OK","13","16","71","14","21","65","17","83","12","22","66","10","22","68","10","18","72"
"OR","15","17","68","14","20","66","17","83","12","24","64","8","24","68","9","18","73"
"PA","17","17","66","17","20","63","19","81","15","25","60","12","24","64","12","21","67"
"PR","19","18","63","18","22","60","17","83","16","21","63","13","24","63","15","19","66"
"RI","14","13","73","10","16","74","17","83","10","19","71","6","16","78","6","12","82"
"SC","19","15","66","21","20","59","22","78","14","24","62","15","27","58","14","22","64"
"SD","12","16","72","13","16","71","17","83","11","17","72","10","16","74","10","15","75"
"TN","22","16","62","19","20","61","19","81","18","26","56","14","26","60","13","23","64"
"TX","18","15","67","19","21","60","22","78","15","24","61","14","25","61","13","22","65"
"UT","15","16","69","14","19","67","21","79","12","22","66","8","22","70","7","16","77"
"VA","20","17","63","20","22","58","21","79","18","27","55","14","29","57","14","25","61"
"VI","23","18","59","21","23","56","27","73","15","30","55","13","31","56","15","35","50"
"VT","17","17","66","11","17","72","17","83","18","22","60","3","20","77","4","17","79"
"WA","12","14","74","14","21","65","17","83","9","22","69","9","21","70","8","18","74"
"WI","17","17","66","15","22","63","18","82","15","25","60","11","25","64","11","20","69"
"WV","16","18","66","15","22","63","19","81","12","26","62","11","23","66","11","21","68"
"WY","17","18","65","15","23","62","18","82","19","23","58","12","27","61","12","27","61"
