"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of adult HD patients with Kt/V >=1.2","Percentage of adult PD PTS with Kt/V >=1.7","Percentage of pediatric HD patients with Kt/V >=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of patients with arteriovenous fistulae in use","Percentage of patients with vascular catheter in use for 90 days or longer","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected (State)","Hospitalizations - As expected (State)","Hospitalizations - Worse than expected (State)","Hospital Readmission - Better than expected (State)","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival - Better than expected (State)","Survival - As expected (State)","Survival - Worse than expected (State)"
"AK","15","0","0","8","0","97","89","","100","72","12","1","10","25","27","22","15","3","5","0","1","6","0","2","6","0"
"AL","16","0","0","149","3","95","90","96","72","60","8","1","9","25","29","23","14","6","153","2","5","151","1","13","134","10"
"AR","19","0","0","49","10","95","90","100","91","64","14","1","8","23","31","22","16","3","60","1","3","58","0","1","53","10"
"AS","","","1","0","0","86","","100","","78","0","12","13","25","25","25","12","1","0","0","0","1","0","0","1","0"
"AZ","13","0","0","98","5","96","90","95","90","75","9","1","9","26","29","22","13","1","101","11","1","107","2","14","87","11"
"CA","12","0","8","540","17","94","85","86","39","69","10","1","9","27","32","20","12","15","539","40","12","567","13","62","494","38"
"CO","18","0","0","59","2","96","88","100","46","76","9","1","9","28","31","21","11","1","71","1","3","65","1","12","59","1"
"CT","14","0","0","41","0","96","93","100","37","68","9","1","9","28","32","20","11","1","42","0","1","39","3","9","34","0"
"DC","25","0","0","17","1","94","78","77","43","66","9","1","12","27","28","22","11","0","20","0","1","20","0","6","14","1"
"DE","18","0","0","20","0","93","89","74","31","65","8","1","10","26","28","23","13","1","21","0","0","23","0","2","20","1"
"FL","19","0","0","281","63","94","89","97","49","64","12","1","9","27","33","20","12","0","322","71","2","367","22","14","317","47"
"GA","18","0","0","273","14","94","87","95","34","64","9","1","10","26","31","21","13","0","307","3","3","298","7","9","278","13"
"GU","11","0","0","4","0","94","37","100","38","73","10","1","7","19","25","27","22","3","1","0","0","4","0","0","1","3"
"HI","13","0","0","23","0","97","90","94","9","70","8","1","8","26","29","25","13","0","25","0","1","22","0","3","22","0"
"IA","20","0","0","48","0","96","91","92","92","69","13","1","9","27","31","21","12","0","64","0","1","52","0","3","61","1"
