Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Address 1,Address 2,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate,Number of Patients Included in VAT Catheter Measure Score Achievement Period,VAT Catheter Achievement Period Numerator,VAT Catheter Achievement Period Denominator,VAT Catheter Improvement Measure Rate,VAT Catheter Improvement Period Numerator,VAT Catheter Improvement Period Denominator,VAT Catheter Measure Score Applied,VAT Fistula Measure Score,VAT Fistula Achievement Measure Rate,Number of Patients Included in VAT Fistula Measure Score Achievement Period,VAT Fistula Achievement Period Numerator,VAT Fistula Achievement Period Denominator,VAT Fistula Improvement Measure Rate,VAT Fistula Improvement Period Numerator,VAT Fistula Improvement Period Denominator,VAT Fistula Measure Score Applied,VAT Combined Measure Score,National Avg VAT Combined Measure Score,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Adult Hemodialysis Measure Score Achievement Period,Kt/V Adult Hemodialysis Achievement Period Numerator,Kt/V Adult Hemodialysis Achievement Period Denominator,Kt/V Adult Hemodialysis Improvement Measure Rate,Kt/V Adult Hemodialysis Improvement Period Numerator,Kt/V Adult Hemodialysis Improvement Period Denominator,Kt/V Adult Hemodialysis Measure Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Adult Peritoneal Dialysis Measure Score Achievement Period,Kt/V Adult Peritoneal Dialysis Achievement Period Numerator,Kt/V Adult Peritoneal Dialysis Achievement Period Denominator,Kt/V Adult Peritoneal Dialysis Improvement Measure Rate,Kt/V Adult Peritoneal Dialysis Improvement Period Numerator,Kt/V Adult Peritoneal Dialysis Improvement Period Denominator,Kt/V Adult Peritoneal Dialysis Measure Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Pediatric Hemodialysis Measure Score Achievement Period,Kt/V Pediatric Hemodialysis Achievement Period Numerator,Kt/V Pediatric Hemodialysis Achievement Period Denominator,Kt/V Pediatric Hemodialysis Improvement Measure Rate,Kt/V Pediatric Hemodialysis Improvement Period Numerator,Kt/V Pediatric Hemodialysis Improvement Period Denominator,Kt/V Pediatric Hemodialysis Measure Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,National Avg Kt/V Dialysis Adequacy Combined Measure Score,Hypercalcemia Measure Score,Hypercalcemia Achievement Measure Rate,Number of Patients Included in Hypercalcemia Measure Score Achievement Period,Hypercalcemia Achievement Period Numerator,Hypercalcemia Achievement Period Denominator,Hypercalcemia Improvement Measure Rate,Hypercalcemia Improvement Period Numerator,Hypercalcemia Improvement Period Denominator,Hypercalcemia Measure Score Applied,NHSN Measure Score,NHSN Achievement Measure Ratio,Number of Patients Included in NHSN Measure Score Achievement Period,NHSN Observed Achievement Period Numerator,NHSN Predicted Achievement Period Denominator,NHSN Improvement Measure Ratio,NHSN Observed Improvement Period Numerator,NHSN Predicted Improvement Period Denominator,NHSN Measure Score Applied,ICH CAHPS Admin Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,SRR Measure Score,SRR Achievement Measure Ratio,SRR Index Discharges,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,Total Performance Score,PY2017 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2015",Date of Ownership Record Update
CHILDRENS HOSPITAL DIALYSIS,012306,013300,1600 7TH AVENUE SOUTH,-,BIRMINGHAM,AL,35233,8,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,6,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,7,No Score,No Rate,<11,,,No Rate,,,N/A,0,2.035,18,6,2.041,1.668,2,1.199,Achievement,No Score,10,10,1,1.22,29,12,8.1,No Rate,,N/A,Achievement,29,2.00%,11/17/1982,NOT A CHAIN,3/6/2012
FMC CAPITOL CITY,012500,-,255 S JACKSON STREET,-,MONTGOMERY,AL,36104,8,6,9%,73,69,732,8%,56,674,Achievement,1,54%,70,420,778,53%,372,698,Achievement,4,6,8,98%,76,704,720,97%,650,669,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,114,11,1112,4%,45,1059,Achievement,9,0.136,173,1,7.377,0.13,1,7.712,Achievement,10,10,10,4,1.01,100,29,28.66,1.13,38,33.59,Achievement,74,No Reduction,9/1/1976,FRESENIUS MEDICAL CARE,3/6/2012
GADSDEN DIALYSIS,012501,-,409 SOUTH FIRST STREET,-,GADSDEN,AL,35901,8,7,7%,48,30,413,1%,5,427,Achievement,2,56%,43,240,432,73%,338,460,Achievement,5,6,6,96%,47,379,395,97%,412,425,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,8,1%,65,4,577,1%,6,613,Achievement,6,1.506,88,6,3.984,4.012,12,2.991,Improvement,No Score,9,10,0,1.53,90,34,22.29,1.18,20,16.9,Achievement,60,No Reduction,9/1/1976,GAMBRO HEALTHCARE,11/18/2009
TUSCALOOSA UNIVERSITY DIALYSIS,012502,-,220 15TH STREET,-,TUSCALOOSA,AL,35401,8,7,7%,91,62,933,8%,73,948,Achievement,0,50%,87,476,960,52%,525,1007,Achievement,4,6,7,97%,91,862,886,99%,910,920,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,10,0%,126,0,1228,0%,2,1189,Achievement,4,1.056,156,7,6.632,1.02,7,6.861,Achievement,10,10,10,3,1.07,159,45,42.24,1.01,46,45.73,Achievement,65,No Reduction,10/21/1977,GAMBRO HEALTHCARE,11/17/2009
PCD MONTGOMERY,012505,-,1001 FOREST AVENUE,-,MONTGOMERY,AL,36106,8,10,2%,52,11,547,5%,23,490,Achievement,2,58%,50,323,556,60%,317,525,Achievement,6,6,9,99%,50,492,496,98%,468,476,Achievement,10,97%,31,248,256,99%,259,261,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,101,8,1035,0%,5,1027,Achievement,0,1.817,75,5,2.752,1.427,5,3.503,Achievement,No Score,10,10,5,0.97,114,28,28.88,0.67,13,19.46,Achievement,66,No Reduction,12/14/1977,DAVITA,3/16/2012
DOTHAN DIALYSIS,012506,-,216 GRACELAND DR.,-,DOTHAN,AL,36305,8,10,1%,59,6,587,2%,13,611,Achievement,4,62%,57,378,610,58%,382,663,Achievement,7,6,8,98%,61,535,545,96%,539,559,Achievement,10,96%,21,212,223,97%,303,313,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,95,8,940,0%,2,1085,Achievement,8,0.374,111,1,2.671,0.296,1,3.382,Achievement,10,10,10,10,0.55,77,11,20.15,1.17,31,26.58,Achievement,88,No Reduction,11/28/1977,GAMBRO HEALTHCARE,10/24/2009
FMC MOBILE,012507,-,2620 OLD SHELL RD,-,MOBILE,AL,36607,8,10,3%,75,24,738,9%,61,711,Achievement,0,50%,72,391,780,47%,352,743,Achievement,5,6,5,95%,77,700,733,94%,653,695,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,10,0%,120,2,1220,2%,17,1128,Achievement,5,0.825,181,5,6.062,0,0,6.968,Achievement,10,10,10,5,0.96,127,28,29.12,1.31,50,38.1,Achievement,68,No Reduction,1/4/1979,FRESENIUS MEDICAL CARE,3/6/2012
BIRMINGHAM EAST DIALYSIS,012508,-,1105 EAST PARK DRIVE,-,BIRMINGHAM,AL,35235,8,6,9%,57,45,522,11%,62,585,Achievement,1,50%,60,281,564,43%,261,613,Improvement,4,6,7,97%,61,479,492,97%,512,529,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,10,0%,93,1,848,0%,0,886,Achievement,0,3.191,151,18,5.641,2.874,16,5.567,Achievement,10,10,10,1,1.22,114,37,30.24,1.02,35,34.15,Achievement,55,0.50%,6/28/1979,GAMBRO HEALTHCARE,1/2/1980
FMC NORTH ALABAMA,012509,-,1311 N MEMORIAL PKWY #200,-,HUNTSVILLE,AL,35801,8,7,7%,65,38,576,6%,34,593,Achievement,7,70%,60,432,614,69%,417,602,Achievement,7,6,2,92%,70,521,564,90%,506,565,Achievement,No Score,No Rate,<11,,,93%,42,45,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,2,7,7,3%,115,21,738,11%,81,766,Improvement,8,0.21,119,1,4.77,0.223,1,4.478,Achievement,No Score,9,10,0,1.32,80,28,21.15,1.02,15,14.75,Achievement,59,0.50%,7/16/1979,FRESENIUS MEDICAL CARE,3/6/2012
FMC SELMA,012512,-,905 MEDICAL CENTER PARKWAY,-,SELMA,AL,36701,8,5,10%,51,50,519,10%,52,511,Achievement,1,52%,47,277,531,46%,241,527,Improvement,3,6,6,96%,49,476,494,92%,467,506,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,8,1%,78,8,775,3%,19,716,Achievement,8,0.25,96,1,3.995,0.414,2,4.833,Achievement,No Score,10,10,3,1.1,70,19,17.27,1.17,24,20.51,Achievement,66,No Reduction,8/25/1980,FRESENIUS MEDICAL CARE,8/25/1980
