"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb>12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of adult HD patients with Kt/V>=1.2","Percentage of adult PD patients with Kt/V>=1.7","Percentage of pediatric HD patients with Kt/V>=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of patients with arteriovenous fistulae in use","Percentage of patients with vascular catheter in use for 90 days or longer","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations- Better than expected (State)","Hospitalizations- As expected (State)","Hospitalizations- Worse than expected (State)","Hospital Readmission - Better than expected (State) ","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival- Better than expected (State)","Survival- As expected (State)","Survival- Worse than expected (State)"
"AK","15","0","1","7","0","97","91","","100","71","13","1","10","25","27","23","15","2","6","0","0","8","0","1","7","0"
"AL","16","0","0","147","8","96","91","98","73","60","8","1","9","25","29","23","14","6","156","2","5","154","3","10","141","11"
"AR","18","0","0","53","8","96","92","100","91","64","14","1","8","23","31","22","16","5","60","1","0","63","1","1","53","12"
"AS","8","68","1","0","0","90","","100","","78","0","13","11","24","27","26","11","1","0","0","0","1","0","0","1","0"
"AZ","13","0","0","105","2","96","93","95","92","75","9","1","9","26","29","22","13","1","106","7","3","110","0","10","94","10"
"CA","12","0","7","545","24","95","86","90","42","69","10","1","9","27","32","20","12","11","552","39","23","569","8","60","505","41"
"CO","19","0","0","63","0","97","87","100","40","76","9","1","9","27","31","22","11","1","73","0","6","65","0","8","65","2"
"CT","13","0","0","42","1","97","94","75","39","68","9","1","9","27","32","21","10","0","46","0","1","45","1","6","38","1"
"DC","25","0","0","17","2","95","88","96","47","66","9","1","12","27","28","22","11","0","19","0","0","16","4","8","12","1"
"DE","18","0","0","22","0","95","92","73","26","65","8","1","10","26","29","22","13","0","24","0","1","23","0","1","21","1"
"FL","19","0","0","318","57","95","91","98","51","64","12","1","9","27","33","20","12","1","342","67","1","379","32","11","333","52"
"GA","18","0","0","280","14","95","89","96","39","63","9","1","10","26","31","21","13","1","313","4","4","299","10","11","280","17"
"GU","12","0","0","4","0","94","37","","34","73","11","1","7","19","24","28","22","3","1","0","0","4","0","0","2","2"
"HI","12","0","0","21","2","97","90","91","18","70","7","1","8","26","29","25","13","2","22","1","1","23","0","3","22","0"
"IA","19","0","0","44","3","96","92","95","91","69","13","1","9","27","31","21","12","0","61","1","1","52","0","2","57","3"
"ID","14","1","0","22","0","97","94","86","27","72","10","1","9","28","31","20","12","0","27","0","2","22","0","1","24","3"
"IL","19","0","0","228","10","96","87","87","41","65","12","1","9","27","31","21","12","0","257","8","1","250","10","43","210","11"
"IN","18","0","0","137","3","96","92","97","83","64","13","1","10","27","30","21","12","3","143","7","2","146","5","10","137","3"
"KS","16","0","0","45","1","96","93","86","","73","7","1","8","25","32","20","14","0","51","0","0","47","3","1","49","1"
"KY","18","0","0","95","13","96","93","90","81","66","10","1","8","26","30","22","14","0","108","4","2","108","3","7","99","5"
"LA","16","0","0","139","11","96","92","79","93","62","10","1","9","25","29","23","14","2","154","3","1","155","5","1","142","15"
"MA","21","0","0","61","5","97","86","98","91","69","12","1","9","27","31","22","12","0","72","2","0","72","5","19","52","1"
"MD","22","0","0","119","9","94","85","95","85","61","12","1","10","26","31","20","12","0","140","2","2","141","1","6","113","18"
"ME","14","0","0","17","0","96","91","","","71","12","1","8","26","31","23","12","0","17","0","3","14","0","3","14","0"
"MI","19","0","0","174","7","96","92","89","86","64","11","1","9","27","32","21","11","0","173","24","3","191","4","10","184","3"
"MN","16","0","0","94","2","96","92","96","49","71","12","1","8","27","32","21","12","0","107","2","4","98","2","4","104","2"
"MO","17","0","0","131","3","96","90","98","82","65","10","1","8","25","30","23","13","0","148","5","3","150","0","6","138","5"
"MP","21","0","0","2","0","88","40","","","53","10","1","6","19","25","30","20","0","2","0","0","2","0","0","1","1"
"MS","26","0","1","66","11","96","92","85","91","70","10","1","10","26","29","23","13","7","74","0","2","77","3","8","65","8"
"MT","10","0","0","12","0","96","84","","","72","15","2","8","23","28","25","16","0","12","0","1","11","0","1","11","0"
"NC","18","0","0","130","11","95","93","93","57","66","10","1","9","26","30","22","13","2","148","0","5","143","1","5","129","11"
"ND","30","0","0","13","0","95","87","100","","76","11","1","11","27","28","23","12","0","15","0","0","15","0","1","15","0"
"NE","14","0","0","32","1","96","77","100","14","63","13","1","9","28","31","20","12","0","36","0","2","33","0","0","37","0"
"NH","16","0","0","15","2","96","93","","","72","14","1","7","25","29","24","15","0","18","0","1","16","1","1","17","0"
"NJ","15","0","0","150","3","97","90","100","48","68","11","1","11","28","31","21","10","0","158","1","1","156","3","27","122","8"
"NM","11","0","0","37","3","96","86","96","52","75","11","1","8","24","28","24","15","2","43","0","2","42","0","7","30","4"
"NV","15","0","0","42","1","96","92","88","21","68","10","1","9","26","32","20","13","0","45","1","1","42","0","2","41","1"
"NY","20","0","1","220","19","95","81","92","35","70","13","1","10","26","30","23","11","0","232","25","2","246","12","53","182","27"
"OH","18","0","0","217","20","96","90","92","87","63","12","1","8","26","30","23","13","1","255","24","4","280","3","30","239","13"
"OK","14","1","0","72","4","95","91","100","63","74","12","1","8","24","30","22","16","1","79","0","3","75","1","8","66","5"
"OR","11","0","0","55","2","97","92","100","10","71","9","1","8","26","31","23","13","1","60","1","3","60","0","6","58","0"
"PA","17","0","0","223","28","96","88","84","59","67","11","1","10","28","31","21","11","1","249","28","0","271","10","29","235","10"
"PR","12","0","0","26","16","96","82","75","68","57","20","1","10","27","29","25","9","0","39","6","0","44","1","0","16","29"
"RI","34","0","0","10","5","98","88","94","","74","11","1","7","23","29","26","15","0","15","0","0","15","0","2","13","0"
