"PHYSTATE","HGBL10_S","HGBG12_S","PTSTRS1","PTSTRS2","PTSTRS3","CWHD_KTVGE12_S","CWPD_KTVGE17_S","P_CWHD_KTVGE12_S","P_CWPD_KTVGE18_S","VAVF_S","VCG90_S","HYPERCAL_S","SERUMPHOS1_S","SERUMPHOS2_S","SERUMPHOS3_S","SERUMPHOS4_S","SERUMPHOS5_S","PTHOSPS1","PTHOSPS2","PTHOSPS3","PTSRRS1","PTSRRS2","PTSRRS3","PTSURVS1","PTSURVS2","PTSURVS3"
"AK","13","0","1","7","0","97","93","","100","72","13","1","10","25","27","23","16","2","6","0","0","8","0","1","7","0"
"AL","17","0","0","147","8","96","92","99","72","60","8","1","9","25","29","23","14","6","156","2","5","154","3","10","141","11"
"AR","18","0","0","53","8","96","92","100","90","64","13","1","8","23","30","22","16","5","60","1","0","63","1","1","53","12"
"AS","8","63","1","0","0","91","","100","","79","0","12","10","23","28","27","13","1","0","0","0","1","0","0","1","0"
"AZ","13","0","0","105","2","96","93","96","91","75","9","1","9","26","29","22","14","1","106","7","3","110","0","10","94","10"
"CA","12","0","7","545","24","95","87","90","44","70","10","1","9","27","32","20","12","11","552","39","23","569","8","60","505","41"
"CO","20","0","0","63","0","97","87","100","36","76","9","1","9","27","31","21","11","1","73","0","6","65","0","8","65","2"
"CT","14","0","0","42","1","97","94","80","36","69","9","1","9","27","32","20","11","0","46","0","1","45","1","6","38","1"
"DC","25","0","0","17","2","96","90","98","57","66","9","1","12","27","28","21","11","0","19","0","0","16","4","8","12","1"
"DE","18","0","0","21","0","96","92","72","33","64","8","1","10","27","29","22","12","0","23","0","1","22","0","1","20","1"
"FL","20","0","0","318","57","95","91","98","56","64","12","1","9","27","33","20","12","1","342","67","1","379","32","11","333","52"
"GA","18","0","0","280","14","95","89","96","49","63","9","1","10","26","31","21","13","1","312","4","4","298","10","11","279","17"
"GU","13","0","0","4","0","94","39","","33","73","10","1","7","19","24","28","22","3","1","0","0","4","0","0","2","2"
"HI","9","0","0","21","2","97","89","90","32","70","7","1","8","26","29","24","13","2","22","1","1","23","0","3","22","0"
"IA","17","0","0","44","3","97","93","95","85","70","12","1","9","27","32","21","12","0","61","1","1","52","0","2","57","3"
"ID","13","1","0","22","0","97","94","97","33","72","10","1","9","28","31","20","12","0","27","0","2","22","0","1","24","3"
"IL","19","0","0","229","10","96","88","87","39","65","12","1","9","27","31","21","12","0","258","8","1","251","10","43","211","11"
"IN","18","0","0","137","3","96","92","98","86","64","13","1","10","27","30","21","12","3","143","7","2","146","5","10","137","3"
"KS","16","0","0","45","1","96","94","92","","73","7","1","9","26","32","20","14","0","51","0","0","47","3","1","49","1"
"KY","17","0","0","95","13","96","93","95","73","65","10","1","8","26","30","22","14","0","108","4","2","108","3","7","99","5"
"LA","16","0","0","139","11","96","93","80","93","62","10","1","9","25","29","23","14","2","154","3","1","155","5","1","142","15"
"MA","21","0","0","61","5","97","87","94","89","69","12","1","9","27","31","22","12","0","72","2","0","72","5","19","52","1"
"MD","22","0","0","118","9","94","85","78","76","62","12","1","10","27","32","20","12","0","139","2","2","140","1","6","112","18"
"ME","14","0","0","17","0","96","92","","","71","12","1","8","25","31","24","12","0","17","0","3","14","0","3","14","0"
"MI","19","0","0","174","7","96","92","90","87","63","11","1","9","27","32","21","11","0","173","24","3","191","4","10","184","3"
"MN","15","0","0","94","2","96","93","95","27","70","12","1","9","27","32","21","12","0","107","2","4","98","2","4","104","2"
"MO","18","0","0","131","3","96","91","94","82","64","10","1","8","26","30","23","13","0","148","5","3","150","0","6","138","5"
"MP","24","0","0","2","0","88","52","","","52","10","1","6","20","24","29","21","0","2","0","0","2","0","0","1","1"
"MS","25","0","1","66","11","96","93","88","83","70","10","1","10","26","29","23","13","7","74","0","2","77","3","8","65","8"
"MT","10","0","0","12","0","96","84","","","71","14","1","8","23","28","25","16","0","12","0","1","11","0","1","11","0"
"NC","17","0","0","130","11","96","94","93","63","66","10","1","10","25","30","22","13","2","148","0","5","143","1","5","129","11"
"ND","32","0","0","13","0","95","87","100","","77","10","1","11","27","28","23","12","0","15","0","0","15","0","1","15","0"
"NE","13","0","0","32","1","96","78","100","28","62","13","1","9","28","31","20","12","0","36","0","2","33","0","0","37","0"
"NH","14","0","0","15","2","96","93","","","72","14","1","7","25","29","25","15","0","18","0","1","16","1","1","17","0"
"NJ","15","0","0","150","3","97","90","100","33","68","11","1","11","28","31","20","10","0","158","1","1","156","3","27","122","8"
"NM","11","0","0","37","3","96","86","97","52","75","10","1","8","25","28","24","15","2","43","0","2","42","0","7","30","4"
"NV","15","0","0","42","1","96","93","88","10","68","10","1","9","26","32","20","13","0","45","1","1","42","0","2","41","1"
"NY","20","0","1","219","19","95","82","93","46","70","12","1","10","26","30","23","11","0","231","25","2","245","12","53","181","27"
"OH","18","0","0","217","20","96","90","91","89","63","12","1","8","26","30","23","13","1","255","24","4","280","3","30","239","13"
"OK","14","1","0","72","4","96","92","100","61","74","12","1","8","24","30","22","16","1","79","0","3","75","1","8","66","5"
"OR","12","0","0","55","2","97","93","97","24","71","9","1","8","26","31","23","13","1","60","1","3","60","0","6","58","0"
"PA","17","0","0","223","28","96","88","86","59","67","11","1","10","28","31","21","11","1","249","28","0","271","10","29","235","10"
"PR","12","0","0","26","16","97","86","77","77","57","20","1","10","27","30","25","9","0","39","6","0","44","1","0","16","29"
"RI","33","0","0","10","5","98","91","94","","75","10","1","7","23","30","26","15","0","15","0","0","15","0","2","13","0"
"SC","20","0","0","121","10","96","91","100","59","60","10","1","10","26","29","22","14","1","133","5","1","133","4","3","115","14"
"SD","25","0","0","16","1","93","83","100","100","70","13","1","8","27","30","22","13","1","21","0","1","18","0","4","16","1"
"TN","17","0","0","150","14","95","91","84","40","66","13","1","8","25","30","22","15","0","165","9","2","169","3","8","152","12"
"TX","15","0","2","495","47","95","88","94","81","65","10","1","9","25","31","21","14","4","540","33","17","554","8","19","490","61"
"UT","25","0","0","32","1","97","93","97","37","79","8","1","7","23","28","26","15","0","36","0","2","32","0","1","32","3"
"VA","19","0","1","147","7","96","93","81","52","66","13","1","9","26","31","21","13","0","164","1","3","158","3","9","132","16"
"VI","44","1","0","3","0","94","","","","58","8","1","15","28","27","22","8","0","5","0","0","3","0","0","4","0"
"VT","21","0","0","6","0","95","57","100","","67","17","0","5","26","30","27","13","0","7","0","0","7","0","1","6","1"
"WA","12","0","0","78","0","96","90","100","76","75","9","1","8","24","29","23","16","1","82","0","4","75","1","4","74","3"
"WI","16","0","0","101","3","96","93","88","33","69","14","1","10","27","31","21","11","0","116","1","3","106","2","14","97","5"
"WV","18","1","1","23","8","96","94","83","0","62","17","1","9","27","28","23","13","0","34","2","1","36","0","1","29","5"
"WY","14","1","0","8","0","96","84","100","","69","11","1","9","23","28","27","15","0","9","0","1","5","0","1","8","0"
