"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of pediatric HD patients with Kt/V>=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of adult PD patients with Kt/V>=1.7","Percentage of adult HD patients with Kt/V>=1.2","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected (State)","Hospitalizations - As expected (State)","Hospitalizations - Worse than expected (State)","Hospital Readmission - Better than expected (State)","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival- Better than expected (State)","Survival- As expected (State)","Survival- Worse than expected (State)","Fistula Rate - Better than expected (State)","Fistula Rate - As expected (State)","Fistula Rate - Worse than expected (State)","Percentage of Adult patients with long term catheter in use","Percentage of pediatric HD patients with nPCR in use","Infection - Better than expected (State)","Infection - As expected (State)","Infection - Worse than expected (State)"
"AK","11","0","0","8","0","100","68","91","97","2","10","25","25","22","16","1","8","0","0","8","0","2","6","0","0","9","0","15","","2","7","0"
"AL","16","0","0","130","18","91","76","93","95","2","9","24","29","23","15","2","157","2","7","143","8","4","138","13","1","138","15","8","","15","134","8"
"AR","17","0","0","54","9","100","91","92","96","3","8","23","30","22","17","0","63","2","1","62","2","1","52","12","0","62","5","14","","5","51","7"
"AS","3","71","0","1","0","","","","95","13","7","21","30","28","14","1","0","0","0","1","0","0","1","0","0","1","0","16","","0","0","0"
"AZ","13","0","0","108","1","95","79","94","96","2","9","26","30","22","14","0","114","1","1","112","1","9","90","14","9","104","0","12","","19","87","7"
"CA","13","0","0","555","36","91","50","89","96","2","9","26","32","20","13","13","563","42","12","590","15","45","492","72","51","521","2","13","","98","434","14"
"CO","21","0","0","64","0","96","37","90","97","2","9","27","31","21","12","2","73","0","3","71","0","3","71","0","13","60","0","12","","0","61","8"
"CT","15","0","0","46","2","100","100","95","97","1","9","27","32","21","12","1","47","0","0","48","0","12","36","0","6","41","0","9","","3","40","4"
"DC","20","0","0","19","0","95","89","92","97","3","12","27","29","21","12","1","17","1","0","18","1","7","12","0","0","18","1","9","","2","15","2"
"DE","16","0","0","21","0","89","53","93","97","1","10","26","30","22","12","1","23","0","0","25","0","3","20","0","0","25","0","9","","5","17","1"
"FL","20","0","0","234","14","96","60","91","96","2","9","27","32","20","12","0","240","41","8","256","24","10","228","31","6","256","8","14","","38","318","22"
"GA","19","0","0","218","14","99","77","90","95","3","10","25","31","21","13","0","248","5","5","226","17","3","219","24","3","229","10","11","","34","252","12"
"GU","13","0","0","4","0","","78","84","93","3","6","17","24","30","23","2","2","0","0","4","0","0","2","2","0","4","0","9","","0","3","1"
"HI","9","0","1","24","0","100","53","92","98","1","9","26","29","24","13","2","24","0","1","25","0","2","24","0","0","27","0","11","","6","21","1"
"IA","16","0","0","47","3","97","82","94","97","1","8","26","33","21","12","1","64","0","1","56","3","5","54","4","2","63","1","13","","7","50","3"
"ID","18","0","0","24","0","100","82","95","98","1","9","28","31","20","11","2","25","0","2","22","0","0","26","2","1","26","0","11","","3","21","0"
"IL","19","0","0","236","8","97","53","86","97","2","9","26","31","22","13","0","273","6","1","269","6","58","206","10","6","246","5","14","","36","187","11"
"IN","18","0","0","141","3","98","94","93","97","2","10","26","30","21","13","3","150","1","5","143","4","17","135","1","3","144","3","13","","22","120","5"
"KS","17","0","0","46","2","100","100","95","97","2","8","26","32","20","14","1","50","1","3","42","4","4","45","3","4","48","0","10","","3","45","1"
"KY","19","0","0","103","7","85","50","94","97","1","8","25","30","22","14","0","112","3","3","105","6","7","100","6","1","113","0","10","","9","100","0"
"LA","15","0","0","131","17","94","87","94","96","1","9","25","29","23","14","1","161","0","1","154","6","3","137","18","1","158","2","10","","12","136","9"
"MA","18","0","0","68","4","99","93","89","97","2","8","26","31","22","12","0","78","1","0","76","1","24","54","0","3","74","1","16","","15","56","3"
"MD","23","0","0","123","13","95","0","90","95","3","10","26","32","19","13","0","152","1","2","147","4","25","108","11","1","142","6","14","","11","123","3"
"ME","14","0","0","16","0","100","100","94","97","2","7","25","32","24","13","1","16","0","0","16","1","2","15","0","0","17","0","12","","3","14","0"
"MI","19","0","0","176","13","99","89","92","96","2","8","27","32","21","12","0","194","12","7","187","7","25","170","3","7","176","9","11","","26","146","17"
"MN","19","0","0","99","0","100","22","93","96","3","9","27","31","20","13","0","112","2","1","105","2","7","103","1","4","107","2","13","","5","91","11"
"MO","18","0","0","134","4","91","87","93","96","2","8","25","30","23","14","1","154","3","2","150","4","14","130","9","2","148","1","11","","14","123","10"
"MP","22","0","0","2","0","","","55","91","2","7","21","25","29","18","0","2","0","0","2","0","0","2","0","0","1","1","11","","0","1","1"
"MS","25","0","0","66","17","97","84","93","97","1","10","26","29","22","13","7","77","1","2","81","3","2","75","8","7","76","0","9","","7","62","9"
"MT","9","1","0","12","1","","100","89","97","1","7","23","28","27","15","1","13","0","3","10","0","0","13","1","1","13","0","14","","4","9","0"
"NC","18","0","0","192","6","97","82","95","97","1","9","25","30","22","13","3","199","2","0","203","0","8","184","10","9","192","4","11","","30","160","7"
"ND","31","0","0","13","0","100","","86","96","2","10","27","28","23","11","0","16","0","0","15","0","0","16","0","3","12","0","12","","1","10","3"
"NE","13","0","0","31","2","100","53","86","96","2","9","28","33","18","11","0","37","0","0","33","0","2","35","0","1","35","0","12","","2","29","1"
"NH","15","0","0","15","1","67","100","92","97","2","8","24","29","25","14","0","18","0","0","17","1","3","15","0","0","18","0","16","","3","14","1"
"NJ","14","0","0","152","5","100","19","91","97","2","11","29","31","20","10","0","165","1","0","163","2","46","113","3","24","138","6","13","","26","131","1"
"NM","11","0","0","44","1","100","31","89","97","2","9","25","29","23","15","1","49","0","4","45","0","6","39","2","4","45","0","13","","3","38","1"
"NV","16","0","0","43","1","93","7","93","96","2","8","25","33","21","13","0","45","2","0","42","4","1","44","0","2","43","1","13","","15","27","1"
"NY","20","0","0","220","30","91","73","84","95","3","10","26","30","23","11","1","253","17","2","260","8","43","205","22","34","230","11","15","","44","184","12"
"OH","19","0","1","249","6","94","88","91","97","2","8","26","31","22","13","1","269","25","3","278","17","21","260","11","3","267","17","14","","26","214","29"
"OK","15","0","0","77","2","100","71","93","96","2","8","24","30","22","16","1","77","2","3","77","1","2","68","9","3","75","0","14","","10","61","3"
"OR","11","0","0","55","3","97","92","95","97","2","7","25","32","23","13","0","62","2","2","62","0","1","57","6","3","60","0","9","","8","51","2"
"PA","17","0","1","236","22","92","77","90","97","2","10","28","31","20","11","1","258","30","1","281","10","34","237","10","9","271","3","14","","30","224","18"
"PR","11","0","0","0","0","84","85","90","95","1","9","27","30","25","9","0","0","0","0","0","0","0","0","0","0","0","0","22","","11","21","10"
"RI","30","0","0","14","1","100","","90","99","1","8","23","29","26","15","0","15","0","0","15","0","1","14","0","2","13","0","10","","1","14","0"
"SC","18","0","0","70","13","96","40","91","96","1","10","25","29","22","13","0","89","0","2","84","4","2","77","9","0","85","2","10","","27","101","7"
"SD","24","0","0","15","0","100","57","82","95","2","8","26","31","22","12","3","20","0","0","21","0","3","19","1","0","22","0","19","","3","15","2"
"TN","17","0","0","156","14","56","53","91","96","2","8","24","31","22","15","0","173","4","1","172","6","3","158","15","6","168","3","13","","26","125","11"
"TX","15","0","2","458","29","93","76","89","96","2","8","25","31","21","14","2","505","22","20","505","10","19","438","46","16","496","22","13","","104","423","31"
"UT","19","0","0","33","1","100","79","93","98","3","7","24","29","26","15","1","38","0","3","34","0","1","32","6","5","33","0","11","","3","29","5"
"VA","18","0","0","149","14","92","71","94","97","2","9","26","31","21","13","1","174","2","5","168","4","12","146","9","1","170","5","13","","27","131","5"
"VI","38","0","0","0","0","","","","91","3","12","28","28","23","9","0","1","0","0","0","0","0","1","0","0","1","0","17","","0","0","0"
"VT","24","0","0","7","0","90","","60","97","10","5","22","32","27","14","1","7","0","1","7","0","0","7","1","0","8","0","22","","0","6","2"
"WA","13","0","0","84","2","96","77","91","95","3","8","24","29","23","16","0","90","0","4","85","0","5","83","2","6","80","5","12","","10","72","2"
"WI","16","0","1","100","3","89","25","93","96","2","9","27","31","21","12","1","120","0","1","116","0","19","97","3","7","111","0","14","","8","100","9"
"WV","17","0","0","27","9","11","","94","96","1","10","26","28","23","13","0","40","1","0","40","2","0","39","2","2","39","1","18","","9","27","3"
"WY","10","0","0","8","0","","","94","97","2","8","23","27","26","16","0","10","0","1","7","0","2","6","1","0","10","0","14","","1","5","1"
