"State","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of Nephrologists’ communication and caring","Linearized score of quality of dialysis center care and operations","Linearized score of providing information to patients","Linearized score of rating of the nephrologist","Linearized score of rating of the dialysis center staff","Linearized score of rating of the dialysis facility"
"AK","14","12","74","17","21","62","16","84","12","23","65","14","19","67","12","16","72","86","81","84","87","87","88"
"AL","19","14","67","21","18","61","20","80","14","28","58","13","27","60","13","22","65","81","78","80","84","84","86"
"AR","18","14","68","20","18","62","18","82","14","26","60","13","26","61","13","21","66","81","79","82","84","85","86"
"AS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AZ","20","17","63","19","20","61","19","81","17","27","56","12","25","63","11","20","69","79","79","81","82","85","87"
"CA","18","14","68","17","19","64","20","80","13","26","61","10","25","65","10","20","70","82","81","80","85","87","88"
"CO","13","15","72","15","20","65","17","83","10","25","65","8","24","68","8","18","74","85","82","83","87","88","89"
"CT","19","17","64","19","18","63","21","79","14","30","56","11","25","64","12","21","67","80","80","79","83","86","87"
"DC","17","14","69","25","21","54","24","76","14","26","60","18","36","46","20","31","49","82","75","76","85","80","79"
"DE","18","18","64","17","22","61","20","80","17","30","53","11","29","60","12","23","65","80","80","80","82","85","86"
"FL","18","14","68","18","18","64","20","80","13","25","62","11","26","63","12","20","68","81","80","80","85","86","87"
"GA","18","13","69","21","19","60","22","78","12","27","61","14","28","58","13","23","64","82","78","78","85","84","86"
"GU","34","19","47","27","19","54","25","75","26","41","33","19","33","48","17","30","53","68","74","75","73","80","83"
"HI","17","14","69","17","19","64","21","79","14","23","63","11","23","66","10","18","72","82","81","79","85","87","89"
"IA","15","18","67","15","20","65","16","84","12","26","62","9","22","69","10","19","71","83","82","84","86","88","89"
"ID","12","14","74","11","19","70","17","83","11","20","69","7","18","75","6","15","79","86","85","83","87","90","91"
"IL","19","15","66","18","20","62","22","78","15","28","57","12","28","60","12","22","66","81","80","78","84","85","87"
"IN","17","18","65","17","21","62","18","82","14","27","59","12","25","63","12","21","67","81","80","82","84","86","87"
"KS","16","16","68","17","20","63","18","82","14","23","63","12","23","65","13","17","70","82","81","82","85","86","87"
"KY","16","14","70","15","19","66","18","82","12","23","65","9","23","68","10","18","72","83","82","82","86","88","89"
"LA","19","13","68","21","18","61","21","79","14","25","61","14","27","59","14","21","65","81","78","79","85","84","86"
"MA","15","16","69","16","20","64","19","81","11","25","64","9","24","67","10","19","71","83","81","81","86","88","89"
"MD","17","15","68","20","20","60","22","78","14","28","58","13","30","57","13","25","62","82","78","78","84","84","85"
"ME","13","17","70","13","20","67","15","85","10","25","65","5","22","73","6","20","74","84","83","85","87","90","91"
"MI","18","15","67","18","19","63","20","80","14","27","59","12","27","61","12","21","67","81","80","80","84","85","87"
"MN","13","15","72","14","20","66","16","84","11","26","63","9","21","70","9","15","76","85","83","84","86","88","90"
"MO","16","15","69","17","19","64","18","82","12","25","63","11","24","65","10","19","71","83","81","82","86","87","88"
"MP","61","14","25","30","14","56","31","69","53","24","23","20","25","55","14","16","70","44","73","69","52","83","89"
"MS","21","13","66","24","16","60","22","78","16","26","58","17","26","57","17","20","63","80","76","78","83","83","84"
"MT","19","13","68","17","19","64","19","81","13","23","64","11","25","64","11","17","72","80","81","81","85","86","88"
"NC","20","15","65","22","19","59","20","80","15","28","57","14","29","57","14","22","64","80","77","80","83","84","86"
"ND","16","13","71","11","18","71","17","83","18","22","60","6","20","74","2","16","82","83","86","83","85","91","93"
"NE","15","19","66","14","20","66","18","82","13","31","56","10","23","67","9","18","73","82","83","82","84","87","89"
"NH","18","20","62","18","22","60","21","79","14","30","56","11","26","63","12","21","67","79","79","79","83","85","87"
"NJ","17","14","69","17","19","64","20","80","12","26","62","10","25","65","10","20","70","82","81","80","86","87","88"
"NM","26","15","59","24","18","58","23","77","22","30","48","18","25","57","16","20","64","74","75","77","78","82","85"
"NV","27","16","57","17","18","65","20","80","23","28","49","11","22","67","11","18","71","73","81","80","78","87","88"
"NY","19","14","67","19","19","62","24","76","14","28","58","11","28","61","12","23","65","81","79","76","84","85","86"
"OH","17","15","68","16","20","64","18","82","13","26","61","11","24","65","10","20","70","82","81","82","85","87","88"
"OK","13","15","72","15","20","65","18","82","10","24","66","9","24","67","10","19","71","85","82","82","87","87","88"
"OR","15","16","69","14","21","65","17","83","10","27","63","8","23","69","8","18","74","83","82","83","86","88","90"
"PA","18","16","66","17","19","64","19","81","14","28","58","11","24","65","11","21","68","81","81","81","84","87","87"
"PR","18","16","66","17","21","62","15","85","15","23","62","13","22","65","14","18","68","81","80","85","84","86","87"
"RI","12","14","74","12","17","71","17","83","7","24","69","5","16","79","4","15","81","86","86","83","89","92","93"
"SC","20","14","66","21","20","59","21","79","14","27","59","14","27","59","13","23","64","80","78","79","84","84","86"
"SD","14","16","70","16","17","67","21","79","12","21","67","11","17","72","10","15","75","84","82","79","87","88","90"
"TN","23","14","63","20","18","62","19","81","19","27","54","13","26","61","13","21","66","78","79","81","81","85","86"
"TX","18","13","69","20","18","62","21","79","13","26","61","13","26","61","12","21","67","82","79","79","85","85","87"
"UT","17","17","66","13","18","69","19","81","14","26","60","7","17","76","8","13","79","81","84","81","85","90","91"
"VA","20","16","64","19","21","60","20","80","16","28","56","13","28","59","13","23","64","80","79","80","83","84","86"
"VI","29","14","57","28","17","55","23","77","31","27","42","17","39","44","11","40","49","74","74","77","77","81","83"
"VT","17","20","63","12","22","66","20","80","20","23","57","10","21","69","4","17","79","81","84","80","82","89","93"
"WA","12","14","74","15","18","67","17","83","8","22","70","8","23","69","8","17","75","86","83","83","89","88","90"
"WI","18","15","67","16","20","64","17","83","14","26","60","11","24","65","12","18","70","81","81","83","84","86","87"
"WV","17","16","67","15","20","65","18","82","13","26","61","9","25","66","10","21","69","82","82","82","85","88","88"
"WY","16","14","70","18","20","62","18","82","15","21","64","12","21","67","11","21","68","83","80","82","84","86","88"
