"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of pediatric HD patients with Kt/V>=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of adult PD patients with Kt/V>=1.7","Percentage of adult HD patients with Kt/V>=1.2","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected (State)","Hospitalizations - As expected (State)","Hospitalizations - Worse than expected (State)","Hospital Readmission - Better than expected (State)","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival- Better than expected (State)","Survival- As expected (State)","Survival- Worse than expected (State)","Fistula Rate - Better than expected (State)","Fistula Rate - As expected (State)","Fistula Rate - Worse than expected (State)","Percentage of Adult patients with long term catheter in use","Percentage of pediatric HD patients with nPCR in use","Infection - Better than expected (State)","Infection - As expected (State)","Infection - Worse than expected (State)"
"AK","13","0","0","8","0","100","46","91","97","2","10","26","26","23","16","1","8","0","0","8","0","2","6","0","1","8","0","15","","2","7","0"
"AL","15","0","0","130","18","93","78","93","96","2","9","24","30","23","15","2","157","2","7","143","8","4","138","13","2","136","18","8","","15","134","8"
"AR","18","0","0","54","9","100","93","92","96","4","8","23","30","22","17","0","63","2","1","62","2","1","52","12","0","62","5","15","","5","51","7"
"AS","2","74","0","1","0","","","","95","12","7","23","30","27","13","1","0","0","0","1","0","0","1","0","0","1","0","17","","0","0","0"
"AZ","14","0","0","108","1","96","80","95","96","2","9","25","30","22","14","0","114","1","1","112","1","9","90","14","7","106","1","12","","19","86","7"
"CA","13","0","0","555","36","89","51","90","96","2","8","26","32","20","13","13","563","42","12","590","15","45","492","72","53","523","4","13","","98","433","14"
"CO","22","0","0","64","0","97","39","91","97","2","9","27","31","22","12","2","73","0","3","71","0","3","71","0","14","59","0","11","","0","61","8"
"CT","16","0","0","46","2","100","43","95","97","1","9","27","32","21","12","1","47","0","0","48","0","12","36","0","6","41","0","9","","3","40","4"
"DC","20","0","0","19","0","94","94","92","97","3","11","26","29","21","12","1","17","1","0","18","1","7","12","0","0","18","1","9","","2","15","2"
"DE","15","0","0","21","0","91","66","93","97","1","10","26","30","22","12","1","23","0","0","26","0","3","20","0","0","25","0","8","","5","17","1"
"FL","20","0","0","234","14","98","61","92","96","2","8","26","32","20","13","0","240","41","8","256","24","10","228","31","4","262","7","14","","38","318","22"
"GA","20","0","0","218","14","99","81","91","95","3","9","25","31","21","13","0","248","5","5","226","17","3","219","24","3","232","12","11","","34","252","12"
