"State","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of Nephrologists’ communication and caring","Linearized score of quality of dialysis center care and operations","Linearized score of providing information to patients","Linearized score of rating of the nephrologist","Linearized score of rating of the dialysis center staff","Linearized score of rating of the dialysis facility","ICH-CAHPS survey response rate","Total number of completed interviews form the Fall and Spring Surveys"
"AK","15","11","74","17","19","64","17","83","14","18","68","11","21","68","14","11","75","85","81","83","86","87","88","34","183"
"AL","19","14","67","21","18","61","20","80","13","27","60","13","27","60","12","23","65","81","78","80","85","84","86","33","4196"
"AR","19","14","67","20","19","61","19","81","12","28","60","13","29","58","13","24","63","81","79","81","85","84","85","37","1999"
"AS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0","0"
"AZ","22","15","63","20","20","60","20","80","18","27","55","13","25","62","13","19","68","78","78","80","81","85","87","31","3873"
"CA","17","14","69","17","18","65","19","81","12","26","62","9","25","66","9","19","72","82","81","81","86","87","89","31","27965"
"CO","13","14","73","15","19","66","17","83","10","25","65","9","22","69","9","17","74","86","82","83","87","88","89","33","1816"
"CT","20","15","65","19","18","63","20","80","14","29","57","12","24","64","12","20","68","79","79","80","84","86","87","32","1642"
"DC","19","13","68","26","20","54","24","76","14","27","59","19","32","49","20","27","53","81","74","76","84","80","81","28","747"
"DE","18","16","66","20","21","59","21","79","14","31","55","16","29","55","13","23","64","81","78","79","83","83","86","29","587"
"FL","18","14","68","18","18","64","19","81","14","25","61","11","25","64","12","19","69","81","80","81","85","86","87","32","11622"
"GA","19","13","68","22","18","60","22","78","13","27","60","14","29","57","14","22","64","81","77","78","85","84","85","33","8596"
"GU","33","18","49","25","19","56","25","75","27","38","35","14","36","50","14","26","60","69","76","75","74","83","85","37","395"
"HI","15","14","71","17","20","63","20","80","13","22","65","10","24","66","10","18","72","84","81","80","86","87","88","35","1759"
"IA","15","17","68","14","20","66","15","85","12","25","63","11","19","70","11","14","75","83","83","85","86","87","89","38","1179"
"ID","13","15","72","11","17","72","15","85","10","21","69","6","19","75","5","16","79","85","86","85","88","90","92","39","549"
"IL","18","15","67","19","19","62","21","79","14","26","60","12","27","61","12","21","67","81","80","79","84","85","87","32","7846"
"IN","18","16","66","18","20","62","18","82","14","27","59","12","25","63","13","20","67","81","80","82","84","85","86","35","4052"
"KS","15","14","71","16","19","65","16","84","12","22","66","10","23","67","10","18","72","84","82","84","86","87","89","39","1471"
"KY","16","15","69","16","19","65","18","82","12","25","63","10","22","68","10","17","73","83","81","82","86","88","89","32","2413"
"LA","18","12","70","20","18","62","21","79","13","25","62","13","26","61","13","21","66","82","79","79","85","85","86","30","3890"
"MA","16","15","69","17","19","64","21","79","12","25","63","10","25","65","11","19","70","83","81","79","86","87","88","32","2659"
"MD","17","14","69","20","20","60","21","79","13","27","60","13","29","58","13","24","63","82","78","79","84","84","86","31","4116"
"ME","13","17","70","14","19","67","16","84","11","27","62","6","22","72","6","17","77","84","83","84","86","90","91","41","542"
"MI","17","15","68","18","20","62","19","81","13","28","59","12","26","62","11","22","67","82","80","81","84","85","87","34","6084"
"MN","14","14","72","15","19","66","15","85","12","25","63","9","22","69","10","15","75","85","83","85","86","88","89","34","1902"
"MO","17","14","69","17","19","64","18","82","13","26","61","11","26","63","11","19","70","82","81","82","85","86","88","35","3431"
"MP","39","12","49","22","17","61","27","73","36","22","42","15","19","66","14","14","72","64","78","73","66","85","89","22","68"
"MS","21","13","66","23","17","60","22","78","15","26","59","15","27","58","15","21","64","80","77","78","83","83","85","29","2699"
"MT","16","14","70","15","19","66","18","82","11","27","62","9","22","69","8","18","74","83","82","82","85","88","89","35","291"
"NC","20","15","65","22","19","59","20","80","14","29","57","14","29","57","14","24","62","80","77","80","84","83","85","33","7426"
"ND","18","16","66","14","18","68","17","83","14","30","56","8","20","72","8","13","79","81","83","83","84","89","91","34","271"
"NE","16","15","69","13","21","66","17","83","13","30","57","9","24","67","9","20","71","83","83","83","84","87","89","37","689"
"NH","20","19","61","17","22","61","19","81","16","27","57","12","25","63","13","19","68","78","79","81","83","85","87","33","433"
"NJ","16","14","70","16","19","65","19","81","12","25","63","10","25","65","10","19","71","83","81","81","86","87","89","31","5744"
"NM","27","15","58","24","17","59","22","78","23","29","48","17","24","59","15","18","67","73","76","78","77","83","86","32","1398"
"NV","26","16","58","18","18","64","21","79","21","29","50","11","23","66","12","17","71","74","80","79","79","86","87","30","1794"
"NY","19","14","67","19","19","62","24","76","14","28","58","11","29","60","12","23","65","81","79","76","84","85","86","32","11751"
"OH","18","15","67","17","19","64","18","82","14","26","60","11","24","65","11","20","69","81","81","82","84","87","88","33","6850"
"OK","15","15","70","15","20","65","17","83","11","24","65","9","24","67","9","19","72","84","82","83","87","88","89","33","2140"
"OR","14","16","70","15","20","65","17","83","10","24","66","8","23","69","9","17","74","84","82","83","87","88","89","36","1952"
"PA","17","16","67","17","19","64","19","81","14","26","60","11","24","65","11","20","69","82","81","81","84","86","88","34","7693"
"PR","18","16","66","18","19","63","15","85","16","21","63","11","22","67","13","18","69","80","80","85","84","87","87","27","2181"
"RI","11","14","75","10","17","73","17","83","9","21","70","4","19","77","4","15","81","87","87","83","89","92","93","32","457"
"SC","20","14","66","21","20","59","21","79","14","29","57","15","28","57","14","22","64","80","77","79","84","83","85","33","4207"
"SD","12","14","74","9","17","74","19","81","12","21","67","6","17","77","5","12","83","86","87","81","88","91","93","23","224"
