"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of pediatric HD patients with Kt/V>=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of adult PD patients with Kt/V>=1.7","Percentage of adult HD patients with Kt/V>=1.2","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected (State)","Hospitalizations - As expected (State)","Hospitalizations - Worse than expected (State)","Hospital Readmission - Better than expected (State)","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival- Better than expected (State)","Survival- As expected (State)","Survival- Worse than expected (State)","Fistula Rate - Better than expected (State)","Fistula Rate - As expected (State)","Fistula Rate - Worse than expected (State)","Percentage of Adult patients with long term catheter in use","Percentage of pediatric HD patients with nPCR in use","Infection - Better than expected (State)","Infection - As expected (State)","Infection - Worse than expected (State)","Incident Patients Transplant waitlisting- Better than expected (State)","Incident Patients Transplant waitlisting - As expected (State)","Incident Patients Transplant waitlisting - Worse than expected (State)","Prevalent Patients Transplant Waitlisting- Better than expected (State)","Prevalent Patients Transplant Waitlisting - As expected (State)","Prevalent Patients Transplant Waitlisting - Worse than expected (State)"
"AK","14","0","0","9","0","92","0","93","98","2","10","25","27","23","15","2","7","0","0","9","0","2","7","0","1","8","0","13",,"2","7","0","1","3","0","0","9","0"
"AL","17","0","0","145","16","95","77","93","96","1","9","23","29","23","16","1","170","6","4","165","4","1","149","22","6","149","15","8",,"21","136","4","2","95","2","3","174","1"
"AR","19","0","0","56","7","100","85","92","96","3","8","22","30","22","18","2","64","0","1","62","0","2","52","11","2","61","4","15",,"9","48","4","0","41","5","0","55","12"
"AS","7","29","0","1","0",,,,"96","9","6","21","33","28","12","0","1","0","0","1","0","0","1","0","0","1","0","18",,"0","0","1","0","0","1","0","0","1"
"AZ","15","0","0","109","2","95","88","95","97","2","9","25","30","22","15","1","113","3","5","111","1","8","94","13","8","108","1","12",,"27","84","2","6","74","4","4","114","2"
"CA","14","0","1","572","36","88","59","90","96","2","8","25","32","21","14","11","593","40","5","618","16","41","504","83","46","550","6","13",,"126","427","11","73","385","29","193","470","0"
"CO","22","0","0","62","0","98","46","92","97","2","8","27","32","22","12","4","71","1","4","71","0","7","66","1","11","65","0","10",,"8","62","1","13","30","0","11","69","0"
"CT","15","0","0","45","2","100","7","95","97","1","10","27","32","21","11","0","48","0","0","49","0","12","35","0","3","45","1","10",,"3","40","2","8","17","0","7","43","0"
"DC","21","0","0","18","1","93","92","89","97","3","11","26","29","22","12","1","18","0","0","17","2","8","11","0","0","18","1","9",,"3","15","1","1","14","1","3","17","0"
"DE","16","0","0","24","0","97","76","92","96","2","10","25","29","23","13","0","27","0","0","25","1","2","22","1","0","26","1","14",,"5","18","1","2","15","0","1","27","1"
"FL","21","0","0","385","22","92","61","92","96","2","8","26","33","21","13","0","398","49","4","407","37","13","384","43","8","421","16","14",,"53","327","13","8","259","24","6","444","14"
"GA","21","0","0","294","25","99","80","92","95","3","9","25","31","22","14","0","338","17","2","334","13","11","301","27","2","318","22","12",,"44","257","10","4","190","4","17","338","4"
"GU","14","0","0","5","0",,"86","92","94","4","8","19","26","29","18","0","5","0","0","5","0","0","2","2","0","5","0","12",,"1","3","1","0","0","4","0","1","4"
"HI","10","0","0","27","0","100","33","93","98","1","8","25","29","24","14","2","27","0","1","28","0","2","25","1","0","31","0","9",,"11","19","1","0","18","4","0","30","1"
"IA","18","0","0","49","1","100","81","94","98","2","8","25","32","22","13","3","62","0","1","61","0","4","59","3","3","63","0","12",,"4","55","3","4","16","0","0","60","3"
"ID","16","0","0","23","1","100","82","96","98","2","9","27","30","21","13","1","27","0","3","21","1","0","26","2","2","25","0","10",,"2","22","2","0","14","0","0","26","1"
"IL","21","0","0","254","11","95","54","84","97","2","9","26","31","22","13","1","296","5","2","288","12","53","229","10","8","254","13","14",,"44","194","6","10","144","9","13","290","2"
"IN","21","0","0","140","5","100","85","93","97","2","9","26","30","21","14","3","160","1","0","159","2","16","140","2","5","149","6","13",,"19","130","2","0","73","1","1","160","4"
"KS","17","0","0","46","2","100","100","95","98","2","8","25","33","20","14","0","54","0","2","49","0","3","47","3","4","53","0","11",,"3","46","1","2","29","0","0","56","2"
"KY","20","0","0","104","9","99","48","94","96","2","8","24","30","23","15","0","115","4","1","114","4","6","105","7","0","115","2","10",,"15","93","4","1","56","0","2","112","9"
"LA","17","0","0","145","14","95","85","93","97","1","8","25","30","23","15","3","165","3","0","165","4","2","151","14","1","171","0","10",,"15","142","3","3","91","8","2","170","2"
"MA","21","0","0","66","5","100","94","89","97","2","8","25","31","23","13","0","79","0","0","76","3","24","55","0","5","76","1","14",,"15","56","2","21","28","0","34","49","0"
"MD","25","0","0","136","9","97","0","91","96","3","9","25","32","20","13","3","150","0","1","155","0","26","115","12","1","146","9","15",,"16","121","2","7","82","6","10","139","2"
"ME","16","0","0","15","1","100","83","95","97","2","7","24","31","24","14","2","15","0","0","16","0","1","16","0","2","15","0","12",,"1","16","0","1","7","0","0","17","0"
"MI","22","0","0","173","17","97","90","93","96","2","8","26","32","22","12","1","192","12","1","190","11","27","171","3","0","177","17","11",,"31","143","4","8","101","4","4","199","5"
"MN","19","0","0","98","1","98","98","91","97","2","8","26","31","21","14","0","111","3","3","104","3","6","106","2","2","113","0","12",,"4","92","10","3","27","1","11","100","0"
"MO","19","0","0","141","4","94","92","93","97","2","8","25","30","23","14","0","155","6","4","153","3","9","137","9","5","148","1","11",,"11","133","5","4","73","1","1","159","4"
"MP","15","0","0","2","0",,,"89","90","2","4","20","27","28","21","0","2","0","0","2","0","0","1","1","0","1","1","14",,"0","1","0","0","0","1","0","0","2"
"MS","27","0","0","60","26","81","77","94","97","1","9","25","29","23","14","5","81","2","4","81","2","4","78","6","7","76","1","10",,"12","62","5","0","56","7","0","86","5"
"MT","13","1","0","14","0",,"100","93","96","2","7","22","26","27","17","0","14","0","2","9","1","0","14","0","2","13","0","13",,"4","10","0","0","7","0","0","14","1"
"NC","19","0","0","189","13","96","61","94","97","1","9","24","29","23","14","4","208","0","6","200","5","10","186","11","12","200","6","12",,"30","171","4","4","123","10","0","217","7"
"ND","36","0","0","12","1",,"36","84","96","3","10","28","28","22","11","2","13","0","2","12","0","1","14","0","2","12","0","12",,"0","10","3","3","2","0","1","13","0"
"NE","17","0","0","30","1","83","30","93","95","2","8","27","33","19","13","0","37","1","3","33","0","3","35","0","1","37","0","12",,"3","26","2","4","15","0","0","34","2"
"NH","18","0","0","17","0","100",,"92","97","2","7","23","29","25","16","0","18","0","0","18","0","5","13","0","0","19","0","17",,"3","14","1","3","6","0","2","16","0"
"NJ","16","0","0","158","5","100","32","93","98","2","10","28","32","19","10","4","166","1","2","163","5","49","116","4","22","147","5","11",,"24","136","3","19","75","1","11","163","1"
"NM","14","0","0","47","1","94","16","90","97","2","9","25","29","23","15","4","46","1","1","49","0","7","37","7","5","45","0","15",,"10","36","0","1","29","3","2","53","0"
"NV","18","0","0","46","1","69","60","94","97","2","8","24","32","21","14","0","43","5","1","43","5","4","42","1","1","46","0","13",,"16","29","1","0","32","9","0","42","8"
"NY","21","1","0","219","38","89","77","85","96","3","10","25","30","23","12","3","265","18","4","260","19","51","200","27","45","234","9","16",,"70","171","13","32","151","0","58","225","4"
