"State","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of Nephrologists’ communication and caring","Linearized score of quality of dialysis center care and operations","Linearized score of providing information to patients","Linearized score of rating of the nephrologist","Linearized score of rating of the dialysis center staff","Linearized score of rating of the dialysis facility"
"AK","15","12","73","17","19","64","16","84","13","19","68","12","20","68","13","14","73","85","81","84","87","86","88"
"AL","19","14","67","21","18","61","20","80","14","28","58","13","27","60","13","23","64","81","78","80","84","85","86"
"AR","18","14","68","20","18","62","18","82","13","27","60","12","28","60","13","23","64","82","79","82","85","85","86"
"AS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AZ","21","16","63","20","20","60","20","80","18","27","55","12","26","62","12","20","68","78","78","80","82","85","87"
"CA","17","15","68","17","19","64","20","80","12","26","62","10","25","65","10","20","70","82","81","80","85","87","88"
"CO","13","14","73","15","20","65","17","83","10","24","66","9","23","68","9","18","73","86","82","83","87","88","89"
"CT","20","16","64","19","19","62","21","79","14","29","57","11","25","64","12","20","68","79","79","79","84","86","87"
"DC","19","12","69","26","21","53","26","74","13","26","61","18","35","47","20","29","51","82","74","74","85","80","80"
"DE","17","18","65","18","23","59","21","79","17","28","55","14","31","55","12","24","64","81","79","79","83","83","86"
"FL","18","14","68","18","19","63","20","80","13","26","61","11","26","63","12","20","68","81","80","80","85","86","87"
"GA","18","14","68","22","18","60","22","78","13","27","60","15","27","58","14","22","64","82","77","78","85","83","86"
"GU","33","19","48","25","20","55","25","75","26","40","34","19","32","49","17","27","56","68","75","75","73","81","83"
"HI","17","14","69","17","20","63","22","78","14","23","63","11","24","65","11","17","72","82","80","78","85","87","88"
"IA","14","18","68","14","20","66","15","85","12","25","63","10","20","70","9","18","73","83","83","85","86","88","89"
"ID","13","14","73","10","19","71","16","84","10","22","68","7","18","75","6","14","80","86","86","84","88","90","92"
"IL","19","15","66","18","20","62","21","79","14","28","58","12","27","61","12","21","67","81","80","79","84","85","87"
"IN","17","17","66","17","21","62","18","82","14","28","58","12","25","63","12","21","67","81","80","82","84","85","87"
"KS","15","15","70","16","19","65","16","84","12","23","65","11","23","66","12","17","71","84","82","84","86","87","88"
"KY","16","15","69","15","20","65","17","83","12","25","63","10","22","68","10","18","72","82","82","83","86","88","89"
"LA","18","13","69","20","18","62","21","79","13","26","61","13","27","60","13","22","65","82","79","79","85","85","86"
"MA","15","16","69","16","20","64","20","80","12","24","64","10","24","66","10","20","70","83","81","80","86","87","88"
"MD","18","14","68","20","21","59","22","78","14","27","59","14","29","57","14","24","62","82","78","78","84","84","85"
