"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of pediatric HD patients with Kt/V>=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of adult PD patients with Kt/V>=1.7","Percentage of adult HD patients with Kt/V>=1.2","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected (State)","Hospitalizations - As expected (State)","Hospitalizations - Worse than expected (State)","Hospital Readmission - Better than expected (State)","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival- Better than expected (State)","Survival- As expected (State)","Survival- Worse than expected (State)","Fistula Rate - Better than expected (State)","Fistula Rate - As expected (State)","Fistula Rate - Worse than expected (State)","Percentage of Adult patients with long term catheter in use","Percentage of pediatric HD patients with nPCR in use","Infection - Better than expected (State)","Infection - As expected (State)","Infection - Worse than expected (State)","Incident Patients Transplant waitlisting- Better than expected (State)","Incident Patients Transplant waitlisting - As expected (State)","Incident Patients Transplant waitlisting - Worse than expected (State)","Prevalent Patients Transplant Waitlisting- Better than expected (State)","Prevalent Patients Transplant Waitlisting - As expected (State)","Prevalent Patients Transplant Waitlisting - Worse than expected (State)"
"AK","17","0","0","9","0","92","8","93","98","2","10","24","27","23","15","2","7","0","0","9","0","2","7","0","1","8","0","13",,"2","7","0","1","3","0","0","9","0"
"AL","17","0","0","145","15","96","75","94","97","1","8","23","29","23","16","1","169","6","4","164","4","1","148","22","6","147","17","8",,"21","135","4","2","95","2","3","173","2"
"AR","19","0","0","56","7","100","88","93","97","3","8","22","30","23","18","2","64","0","1","62","0","2","52","11","2","63","3","15",,"9","48","4","0","41","5","0","58","11"
"AS","8","5","0","1","0",,,,"96","8","8","22","32","27","11","0","1","0","0","1","0","0","1","0","0","1","0","19",,"0","0","1","0","0","1","0","0","1"
"AZ","15","0","0","109","2","94","90","95","97","2","9","25","30","22","15","1","113","3","5","111","1","8","94","13","9","108","0","12",,"27","84","2","6","74","4","4","116","1"
"CA","15","0","1","572","36","87","62","89","96","2","8","25","32","21","14","11","593","39","5","618","16","41","503","83","42","563","5","13",,"126","427","11","73","385","29","185","486","0"
"CO","22","0","0","62","0","96","44","92","98","1","8","27","32","22","12","4","71","1","4","71","0","7","66","1","11","66","0","11",,"8","62","1","13","30","0","12","68","0"
"CT","17","0","0","44","2","100","0","96","97","1","9","27","32","21","12","0","47","0","0","48","0","12","34","0","2","45","1","10",,"3","40","2","8","17","0","8","41","0"
"DC","23","0","0","18","1","93","92","90","97","2","10","25","29","23","13","1","18","0","0","17","2","8","11","0","0","18","1","10",,"3","15","1","1","14","1","3","17","0"
"DE","18","0","0","24","0","93","70","93","96","3","9","25","29","23","14","0","27","0","0","25","1","2","22","1","0","27","1","15",,"5","18","1","2","15","0","1","29","0"
"FL","21","0","0","384","22","91","65","92","96","2","8","25","33","21","13","0","397","49","4","406","37","13","383","43","8","432","13","14",,"52","327","13","8","259","23","4","453","13"
"GA","21","0","0","292","23","99","77","92","95","3","9","24","31","22","14","0","334","17","2","330","13","11","298","26","3","313","23","12",,"44","253","10","4","189","4","17","339","3"
"GU","16","0","0","5","0",,"70","93","94","4","8","20","27","28","17","0","5","0","0","5","0","0","2","2","0","5","0","13",,"1","3","1","0","0","4","0","1","4"
"HI","10","0","0","27","0","100","30","93","98","1","8","25","28","24","14","2","27","0","1","28","0","2","25","1","0","30","1","9",,"11","19","1","0","18","4","0","30","1"
"IA","19","0","0","49","1","100","79","94","98","1","8","25","32","22","13","3","62","0","1","61","0","4","59","3","4","64","0","12",,"4","55","3","4","16","0","0","62","2"
"ID","17","0","0","23","1","100","69","95","98","2","8","27","30","21","14","1","27","0","3","21","1","0","26","2","3","24","0","10",,"2","22","2","0","14","0","0","26","1"
"IL","21","0","0","253","10","96","54","84","97","2","9","26","31","22","13","1","292","4","2","284","11","53","224","10","7","252","13","14",,"44","192","6","10","144","9","13","284","6"
"IN","21","0","0","140","5","95","85","93","97","2","9","25","30","22","14","3","160","1","0","159","2","16","140","2","4","156","3","13",,"19","130","2","0","73","1","1","161","5"
"KS","17","0","0","46","2","100",,"94","98","2","8","25","33","20","14","0","54","0","2","49","0","3","47","3","3","58","0","12",,"3","46","1","2","29","0","0","59","2"
"KY","20","0","0","104","9","99","45","94","96","2","7","24","30","23","15","0","115","4","1","114","4","6","105","7","0","116","2","11",,"15","93","4","1","56","0","0","117","7"
