"State","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of Nephrologists’ communication and caring","Linearized score of quality of dialysis center care and operations","Linearized score of providing information to patients","Linearized score of rating of the nephrologist","Linearized score of rating of the dialysis center staff","Linearized score of rating of the dialysis facility","ICH-CAHPS survey response rate","Total number of completed interviews form the Fall and Spring Surveys"
"AK","13","14","73","17","19","64","16","84","11","23","66","12","25","63","11","17","72","85","81","84","87","86","89","36","205"
"AL","18","14","68","20","18","62","20","80","13","26","61","13","27","60","12","22","66","81","79","80","85","85","87","34","4347"
"AR","19","14","67","20","18","62","18","82","13","27","60","13","28","59","13","23","64","81","79","82","85","85","86","36","1987"
"AS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0","0"
"AZ","21","16","63","20","20","60","20","80","18","26","56","13","25","62","13","20","67","78","78","80","82","85","87","30","3852"
"CA","17","14","69","16","19","65","19","81","12","25","63","9","24","67","9","18","73","82","82","81","86","88","89","30","27766"
"CO","13","14","73","15","19","66","16","84","10","24","66","9","21","70","8","16","76","85","82","84","87","88","90","32","1782"
"CT","18","16","66","18","18","64","18","82","14","28","58","11","25","64","13","19","68","81","80","82","84","86","87","31","1608"
"DC","18","13","69","25","19","56","22","78","14","28","58","19","31","50","19","27","54","82","74","78","84","80","82","26","666"
"DE","20","17","63","21","22","57","23","77","16","31","53","16","29","55","16","21","63","79","77","77","82","83","85","27","565"
"FL","18","14","68","18","18","64","19","81","14","25","61","11","25","64","12","20","68","81","81","81","85","86","87","31","11807"
"GA","19","13","68","22","17","61","22","78","13","27","60","14","28","58","13","22","65","81","78","78","85","84","86","32","8658"
"GU","39","16","45","26","18","56","27","73","33","35","32","14","33","53","16","26","58","64","75","73","71","82","84","33","379"
"HI","16","13","71","17","19","64","21","79","11","24","65","10","23","67","10","18","72","84","81","79","87","87","89","33","1697"
"IA","17","15","68","14","20","66","16","84","13","25","62","10","21","69","10","17","73","82","82","84","85","88","89","39","1240"
"ID","13","15","72","12","17","71","16","84","9","21","70","7","19","74","6","16","78","85","85","84","88","89","91","37","544"
"IL","18","15","67","18","19","63","21","79","14","27","59","11","27","62","12","20","68","81","80","79","84","85","87","31","7652"
"IN","19","16","65","17","21","62","18","82","15","26","59","12","25","63","12","20","68","80","80","82","84","86","87","34","4047"
"KS","15","13","72","15","19","66","16","84","11","23","66","9","23","68","9","18","73","84","82","84","87","88","89","37","1444"
"KY","15","15","70","16","18","66","18","82","12","24","64","10","22","68","9","18","73","83","82","82","86","87","89","32","2429"
"LA","18","12","70","20","17","63","21","79","14","24","62","13","26","61","13","21","66","82","79","79","85","85","86","31","3956"
"MA","16","14","70","17","19","64","21","79","12","25","63","10","25","65","11","19","70","83","81","79","86","87","88","31","2670"
"MD","17","14","69","20","20","60","21","79","13","28","59","13","29","58","12","25","63","82","79","79","85","84","86","30","4071"
"ME","12","17","71","13","19","68","15","85","9","27","64","5","22","73","5","18","77","85","84","85","87","90","92","39","538"
"MI","17","15","68","17","20","63","20","80","13","27","60","11","25","64","11","21","68","82","80","80","85","86","87","33","5946"
"MN","14","15","71","15","19","66","15","85","13","25","62","10","21","69","10","16","74","84","83","85","85","88","89","33","1917"
"MO","17","13","70","17","19","64","18","82","13","25","62","11","25","64","11","19","70","82","81","82","85","86","88","33","3330"
"MP","29","11","60","22","18","60","26","74","24","21","55","10","25","65","9","20","71","73","78","74","77","87","91","23","71"
"MS","21","13","66","22","17","61","22","78","16","26","58","15","27","58","14","22","64","79","78","78","83","84","85","29","2765"
"MT","17","15","68","17","19","64","19","81","14","25","61","10","25","65","9","19","72","82","80","81","85","86","88","34","293"
"NC","20","15","65","22","19","59","20","80","15","28","57","14","29","57","14","23","63","80","77","80","83","84","85","32","7407"
"ND","18","15","67","13","19","68","18","82","16","26","58","6","21","73","6","15","79","81","84","82","83","90","92","33","280"
"NE","15","17","68","14","20","66","17","83","14","30","56","9","24","67","8","19","73","83","83","83","83","87","89","39","755"
"NH","18","19","63","15","21","64","16","84","15","29","56","10","24","66","13","19","68","80","82","84","83","87","87","35","453"
"NJ","17","13","70","16","19","65","20","80","12","25","63","9","26","65","9","20","71","83","82","80","85","87","89","29","5497"
"NM","27","15","58","23","18","59","22","78","24","27","49","17","24","59","16","19","65","73","76","78","78","83","85","33","1476"
"NV","26","15","59","18","17","65","20","80","21","29","50","11","23","66","13","16","71","74","81","80","79","86","87","28","1788"
