"STATE","Lower box percent of patients-nephrologists' communication and caring","Middle box percent of patients-nephrologists' communication and caring","Top box percent of patients-nephrologists' communication and caring","Linearized score of nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations ","Middle box percent of patients- quality of dialysis center care and operations","Top box percent of patients- quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Lower box percent of patients- providing information to patients","Top box percent of patients- providing information to patients","Linearized score of providing information to patients","Lower box percent of patients- rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff ","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","ICH-CAHPS survey response rate"
"AK",13,14,73,85,17,19,64,81,16,84,84,11,23,66,87,12,25,63,86,11,17,72,89,205,36
"AL",18,14,68,81,20,18,62,79,20,80,80,13,26,61,85,13,27,60,85,12,22,66,87,4347,34
"AR",19,14,67,81,20,18,62,79,18,82,82,13,27,60,85,13,28,59,85,13,23,64,86,1987,36
"AS",,,,,,,,,,,,,,,,,,,,,,,,0,0
"AZ",21,16,63,78,20,20,60,78,20,80,80,18,26,56,82,13,25,62,85,13,20,67,87,3852,30
"CA",17,14,69,82,16,19,65,82,19,81,81,12,25,63,86,9,24,67,88,9,18,73,89,27766,30
"CO",13,14,73,85,15,19,66,82,16,84,84,10,24,66,87,9,21,70,88,8,16,76,90,1782,32
"CT",18,16,66,81,18,18,64,80,18,82,82,14,28,58,84,11,25,64,86,13,19,68,87,1608,31
"DC",18,13,69,82,25,19,56,74,22,78,78,14,28,58,84,19,31,50,80,19,27,54,82,666,26
"DE",20,17,63,79,21,22,57,77,23,77,77,16,31,53,82,16,29,55,83,16,21,63,85,565,27
"FL",18,14,68,81,18,18,64,81,19,81,81,14,25,61,85,11,25,64,86,12,20,68,87,11807,31
"GA",19,13,68,81,22,17,61,78,22,78,78,13,27,60,85,14,28,58,84,13,22,65,86,8658,32
"GU",39,16,45,64,26,18,56,75,27,73,73,33,35,32,71,14,33,53,82,16,26,58,84,379,33
"HI",16,13,71,84,17,19,64,81,21,79,79,11,24,65,87,10,23,67,87,10,18,72,89,1697,33
"IA",17,15,68,82,14,20,66,82,16,84,84,13,25,62,85,10,21,69,88,10,17,73,89,1240,39
"ID",13,15,72,85,12,17,71,85,16,84,84,9,21,70,88,7,19,74,89,6,16,78,91,544,37
"IL",18,15,67,81,18,19,63,80,21,79,79,14,27,59,84,11,27,62,85,12,20,68,87,7652,31
"IN",19,16,65,80,17,21,62,80,18,82,82,15,26,59,84,12,25,63,86,12,20,68,87,4047,34
"KS",15,13,72,84,15,19,66,82,16,84,84,11,23,66,87,9,23,68,88,9,18,73,89,1444,37
"KY",15,15,70,83,16,18,66,82,18,82,82,12,24,64,86,10,22,68,87,9,18,73,89,2429,32
"LA",18,12,70,82,20,17,63,79,21,79,79,14,24,62,85,13,26,61,85,13,21,66,86,3956,31
"MA",16,14,70,83,17,19,64,81,21,79,79,12,25,63,86,10,25,65,87,11,19,70,88,2670,31
"MD",17,14,69,82,20,20,60,79,21,79,79,13,28,59,85,13,29,58,84,12,25,63,86,4071,30
"ME",12,17,71,85,13,19,68,84,15,85,85,9,27,64,87,5,22,73,90,5,18,77,92,538,39
